replay_id	gdt739_dispatch_id	page	locus	surface	old_manual_role_effect	old_manual_mode_effect	old_manual_tier	id_free_rule_trace	gdt741_grammar_tier	role_flags_match_gdt740	mode_matches_gdt740	render_matches_gdt740	functional_replay_match	dispatcher_uses_this_id_or_locus	old_manual_reason_audit_only
G741-O01	G739-D0003	f116r	f116r.17	lain	RETAIN_R2_AXIS	KEEP	RELAY_R2_MANUAL	G06A	RELAY_R2_GRAMMAR_SINGLETON	1	1	1	1	0	qokeey-okeey-lain continues one hot axis across the middle cell
G741-O02	G739-D0126	f52v	f52v.7	pcheol	RETAIN_R2_CARRIER	KEEP	RELAY_R2_MANUAL	G06C	RELAY_R2_GRAMMAR_SINGLETON	1	1	1	1	0	pcheol-sholoiin-cthor continues one broad material carrier across the middle cell
G741-O03	G739-D0013	f111v	f111v.23	lcheol	DROP_AXIS	KEEP	KEEP_CARRIER_ONLY	G03	KEEP_CARRIER_ONLY	1	1	1	1	0	dry left and heat right compete while the direct preparation carrier survives
G741-O04	G739-D0163	f112r	f112r.35	sain	DROP_AXIS	KEEP	KEEP_CARRIER_ONLY	G04	KEEP_CARRIER_ONLY	1	1	1	1	0	direct material carrier survives but neighboring counted material owns its own amount value
G741-O05	G739-D0158	f10v	f10v.1	sain	DROP_CARRIER	KEEP	DIRECT_BOUNDARY_HOLD	G01	DIRECT_BOUNDARY_HOLD	1	1	1	1	0	direct otydy is a closure boundary rather than a preparation carrier for sain
G741-O06	G739-D0195	f83r	f83r.19	sain	DROP_BOTH	KEEP	DIRECT_FLANK_CONFLICT_OPEN	G02	DIRECT_FLANK_CONFLICT_OPEN	1	1	1	1	0	separate left carrier and right dry axis must not fuse into one microentry
G741-O07	G739-D0006	f104v	f104v.20	lcheedy	KEEP	QUALITY_STATE	KEEP_CARRIER_ONLY	G07	KEEP_CARRIER_ONLY	1	1	1	1	0	soaked preparation supports state carrier but not an ordinal result stage
G741-O08	G739-D0009	f76v	f76v.21	lcheedy	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	G07	MODE_DOWNGRADED_OPEN	1	1	1	1	0	endpoint best-fit has no attached process-result host
G741-O09	G739-D0010	f82r	f82r.24	lcheedy	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	G07	MODE_DOWNGRADED_OPEN	1	1	1	1	0	endpoint best-fit has no attached process-result host
G741-O10	G739-D0117	f76r	f76r.52	lsheedy	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	G07	MODE_DOWNGRADED_OPEN	1	1	1	1	0	endpoint best-fit has no attached process-result host
G741-O11	G739-D0118	f76v	f76v.15	lsheedy	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	G07	MODE_DOWNGRADED_OPEN	1	1	1	1	0	endpoint best-fit has no attached process-result host
G741-O12	G739-D0120	f83r	f83r.9	lsheedy	KEEP	QUALITY_STATE	MODE_DOWNGRADED_OPEN	G07	MODE_DOWNGRADED_OPEN	1	1	1	1	0	endpoint best-fit has no attached process-result host
G741-O13	G739-D0145	f77v	f77v.8	rsheedy	KEEP	QUALITY_STATE	NEAR_ONLY_HOLD	G07	NEAR_ONLY_HOLD	1	1	1	1	0	endpoint best-fit is not independent of the held radius-two moist carrier
