rule_id	precedence	rule_name	targets_triggered	contacts_traced	cases_evaluated	renderer_or_mode_changes_from_unrepaired_gdt739	confidence_level	evidence	counterevidence	claim_limit
G00	0	NONBINDING_CONFLICT_STAYS_SILENT	1	0	1	0	HIGH_INTERNAL	G740-E0048/G739-N00627 is the selected scalar rival omitted from the binding deck	one occurrence only	evidence bookkeeping only
G01	1	REVERSE_CLOSURE_CROSSING	1	2	1	1	PROVISIONAL_SINGLETON	one exact closure-owned bridge at f10v.1 removes borrowed amount and preparation	no repeated frame; singleton rule	occurrence geometry only
G02	2	BILATERAL_ROLE_SPLIT	1	2	1	1	PROVISIONAL_SINGLETON	one exact bilateral split at f83r.19 prevents a synthetic axis-carrier phrase	no repeated frame; singleton rule	no general Voynich word order
G03	3	STATE_OPPOSITE_AXIS_RIVAL	1	1	1	1	PROVISIONAL_SINGLETON	one dry-versus-hot opposition at f111v.23	opposite rival has no W2/W3 renderer licence	working whole-field conflict only
G04	4	PURE_AMOUNT_FIELD_OWNS_VALUE	1	1	1	1	PROVISIONAL_SINGLETON	one complete counted-material field at f112r.35 owns its written quantity	one trigger; nearby amount/part frames fail the full pure-field condition	no unit or number lexeme
G05	5	SINGLE_HOST_COMPOSITE_CARRIER	2	4	2	2	SUPPORTED_INTERNAL	two independent direct split-carrier targets at f107r.24 and f112v.38	no shared bound practical span	broad carrier classes only
G06A	6	TIGHT_AXIS_RELAY	1	1	1	0	EXPLORATORY_SINGLETON	qokeey-okeey-lain continues one HOT quality signature through the middle field	no repeated radius-two full frame	manual working relay compressed into features
G06C	6	TIGHT_CARRIER_RELAY	1	1	1	0	EXPLORATORY_SINGLETON	pcheol-sholoiin-cthor continues MATERIAL through the middle field	no repeated radius-two full frame	manual working relay compressed into features
G07	7	DIRECT_PROCESS_RESULT_SUPPORT	8	0	8	7	SUPPORTED_INTERNAL	all eight old result cases are separated by direct process support	one positive result occurrence only	mode architecture only; no verb or result lexeme
G08	8	ZERO_EXPORT	95	103	202	0	HARD_GUARD	all inherited claim fields remain zero	none within scope	no lexeme language plaintext patient species or unseen form
