command_no	source_command_de	source_atoms	encoded_surface	surface_status	learning_mode	decoded_atoms_de	decoded_command_de	productive_atoms	memorized_items	page_owner_used	roundtrip
1	Den Posten kurz ansetzen	OK+E+Y	okey	ATTESTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · KURZ · POSTEN	den Posten kurz ansetzen	3	0	NO	PASS
2	Den Posten laenger ansetzen	OK+EE+Y	okeey	ATTESTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · LANG · POSTEN	den Posten laenger ansetzen	3	0	NO	PASS
3	Vollstaendig ansetzen und schliessen	OK+EEE+DY	qokeeedy	ATTESTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · VOLL · SCHLUSS	voll ansetzen und schliessen	3	0	NO	PASS
4	Wasser entnehmen	CH+AIR	chair	ATTESTED_CARD	COMPOSE_COMPONENTS	ENTNEHMEN · WASSER	Wasser entnehmen	2	0	NO	PASS
5	Wasser zugeben	K+AIR	kair	ATTESTED_CARD	COMPOSE_COMPONENTS	ZUGEBEN · WASSER	Wasser zugeben	2	0	NO	PASS
6	Wasser leiten	L+AIR	lair	PREDICTED_CARD	COMPOSE_COMPONENTS	LEITEN · WASSER	Wasser leiten	2	0	NO	PASS
7	Eine Portion ansetzen	OK+AIN	okain	ATTESTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · PORTION	eine Portion ansetzen	2	0	NO	PASS
8	Nach Sollmass ansetzen	OK+AIIN	okaiin	ATTESTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · SOLLMASS	nach Sollmass ansetzen	2	0	NO	PASS
9	Bis zur Stufe zugeben	K+IIN	kaiiin	ATTESTED_CARD	COMPOSE_COMPONENTS	ZUGEBEN · STUFE	bis zur Stufe zugeben	2	0	NO	PASS
10	An einer Stufe ansetzen	OK+IIN	qokaiiin	PREDICTED_CARD	COMPOSE_COMPONENTS	ANSETZEN · STUFE	an einer Stufe ansetzen	2	0	NO	PASS
11	Aus der Quelle	AR	char	ATTESTED_CARD	COMPOSE_COMPONENTS	QUELLE	aus der Quelle	1	0	NO	PASS
12	Zur Zielstelle	AL	al	ATTESTED_CARD	COMPOSE_COMPONENTS	ZIELSTELLE	zur Zielstelle	1	0	NO	PASS
13	Durchlass fuer den Posten	CKH+Y	chckhy	ATTESTED_CARD	COMPOSE_COMPONENTS	DURCHLASS · POSTEN	Durchlass fuer den Posten	2	0	NO	PASS
14	Den Posten voll waermen	CHK+EEE+Y	cheeeky	PREDICTED_CARD	COMPOSE_COMPONENTS	WAERMEN · VOLL · POSTEN	den Posten voll waermen	3	0	NO	PASS
15	Dem Posten eine Nachgabe zugeben	Y+K+AN	ykan	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	POSTEN · ZUGEBEN · NACHGABE	dem Posten eine Nachgabe zugeben	3	1	NO	PASS
16	Den Posten ansetzen, befestigen und schliessen	OK+Y+LD+DY	qokylddy	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	ANSETZEN · POSTEN · BEFESTIGEN · SCHLUSS	den Posten ansetzen, befestigen und schliessen	4	1	NO	PASS
17	Zweite Stufe	DA+IIN	daiiin	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	ZWEI · STUFE	zweite Stufe	2	1	NO	PASS
18	Dazu	OS	os	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	DAZU	dazu	1	1	NO	PASS
19	Davon	RESUME_CARD	dchol	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	DAVON	davon	1	1	NO	PASS
20	Beiseitestellen	TALAM	talam	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	BEISEITESTELLEN	beiseitestellen	1	1	NO	PASS
