prompt_no	shown_surface	recognize_as	say_de	surface_status	learning_mode	page_owner_used
1	okey	OK+E+Y	den Posten kurz ansetzen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
2	okeey	OK+EE+Y	den Posten laenger ansetzen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
3	qokeeedy	OK+EEE+DY	voll ansetzen und schliessen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
4	chair	CH+AIR	Wasser entnehmen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
5	kair	K+AIR	Wasser zugeben	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
6	lair	L+AIR	Wasser leiten	PREDICTED_CARD	COMPOSE_COMPONENTS	NO
7	okain	OK+AIN	eine Portion ansetzen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
8	okaiin	OK+AIIN	nach Sollmass ansetzen	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
9	kaiiin	K+IIN	bis zur Stufe zugeben	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
10	qokaiiin	OK+IIN	an einer Stufe ansetzen	PREDICTED_CARD	COMPOSE_COMPONENTS	NO
11	char	AR	aus der Quelle	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
12	al	AL	zur Zielstelle	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
13	chckhy	CKH+Y	Durchlass fuer den Posten	ATTESTED_CARD	COMPOSE_COMPONENTS	NO
14	cheeeky	CHK+EEE+Y	den Posten voll waermen	PREDICTED_CARD	COMPOSE_COMPONENTS	NO
15	ykan	WHOLE_OR_BOUND:Y+K+AN	dem Posten eine Nachgabe zugeben	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	NO
16	qokylddy	WHOLE_OR_BOUND:OK+Y+LD+DY	den Posten ansetzen, befestigen und schliessen	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	NO
17	daiiin	WHOLE_OR_BOUND:DA+IIN	zweite Stufe	ATTESTED_CARD	MEMORIZE_BOUND_FRAME	NO
18	os	WHOLE_OR_BOUND:OS	dazu	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	NO
19	dchol	WHOLE_OR_BOUND:RESUME_CARD	davon	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	NO
20	talam	WHOLE_OR_BOUND:TALAM	beiseitestellen	ATTESTED_CARD	MEMORIZE_WHOLE_CARD	NO
