type_template_ordinal	ordered_type_signature	event_count	recipe_count	physical_page_count	register_count	slot_count	typed_slot_template_de	example_recipes	example_default_phrases_de	composition_rule	historical_status
1	ACTION_HEAD+GRADE+STATE_CONTROL	370	14	19	5	3	HANDLUNG → GRAD → ZUSTANDSSTEUERUNG	K+E+DY | K+E+OL | K+EE+DY | K+EE+OL | OK+E+DY | OK+E+OL	geben; auf Grad I; weiter | setzen; auf Grad II; abschließen | setzen; auf Grad III; abschließen | setzen; auf Grad I; weiter | setzen; auf Grad II; weiter | halten; auf Grad I; weiter | halten; auf Grad II; abschließen | halten; auf Grad I; abschließen | setzen; auf Grad I; abschließen | einstellen; auf Grad I; abschließen | geben; auf Grad II; abschließen | halten; auf Grad II; weiter | geben; auf Grad I; abschließen | geben; auf Grad II; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
2	STATE_CONTROL	191	2	25	5	1	ZUSTANDSSTEUERUNG	OL | OT	weiter | danach	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
3	STATE_CONTROL+ARGUMENT	147	8	24	5	2	ZUSTANDSSTEUERUNG → ARGUMENT	OL+AIIN | OL+AIN | OL+OR | OL+Y | OT+AIIN | OT+AIN	weiter; den Anteil | danach; die Einheit | danach; den Posten | weiter; die Einheit | weiter; den Wert | weiter; den Posten | danach; den Wert | danach; den Anteil	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
4	ACTION_HEAD+STATE_CONTROL	84	9	26	5	2	HANDLUNG → ZUSTANDSSTEUERUNG	CHD+DY | CHD+OL | K+OL | OK+OL | P+OL | R+OL	halten; weiter | geben; weiter | einstellen; weiter | setzen; weiter | markieren; weiter | halten; abschließen | bearbeiten; weiter | einsetzen; weiter | bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
5	STATE_CONTROL+GRADE+STATE_CONTROL	73	5	14	5	3	ZUSTANDSSTEUERUNG → GRAD → ZUSTANDSSTEUERUNG	OT+E+DY | OT+E+OL | OT+EE+DY | OT+EE+OL | OT+EEE+DY	danach; auf Grad I; weiter | danach; auf Grad II; abschließen | danach; auf Grad I; abschließen | danach; auf Grad III; abschließen | danach; auf Grad II; weiter	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
6	STATE_CONTROL+GRADE+ARGUMENT	49	6	15	5	3	ZUSTANDSSTEUERUNG → GRAD → ARGUMENT	OL+E+OR | OT+E+AIIN | OT+E+OR | OT+E+Y | OT+EE+OR | OT+EE+Y	danach; auf Grad II; den Posten | danach; auf Grad I; den Posten | weiter; auf Grad I; die Einheit | danach; auf Grad II; die Einheit | danach; auf Grad I; die Einheit | danach; auf Grad I; den Wert	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
7	STATE_CONTROL+RELATION	45	4	15	4	2	ZUSTANDSSTEUERUNG → RELATION	OL+AL | OL+AR | OT+AL | OT+AR	danach; vom Ausgang | weiter; vom Ausgang | danach; zum Zielort | weiter; zum Zielort	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
8	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	42	10	20	5	3	HANDLUNG → HANDLUNG → ZUSTANDSSTEUERUNG	CH+K+OL | CH+P+OL | CH+S+DY | CH+T+OL | OK+CHD+DY | OK+SH+DY	einsetzen; halten; weiter | nehmen; einstellen; weiter | einstellen; halten; weiter | nehmen; geben; weiter | nehmen; einsetzen; weiter | einsetzen; bearbeiten; abschließen | setzen; halten; abschließen | setzen; bearbeiten; abschließen | halten; einstellen; weiter | nehmen; wählen; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
9	RELATION+ACTION_HEAD+STATE_CONTROL	40	2	10	4	3	RELATION → HANDLUNG → ZUSTANDSSTEUERUNG	AL+CHD+DY | L+CHD+DY	zum Zielort; bearbeiten; abschließen | über die Verbindung; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
10	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	33	4	17	4	3	ZUSTANDSSTEUERUNG → HANDLUNG → ZUSTANDSSTEUERUNG	OL+CHD+DY | OT+CH+OL | OT+CHD+DY | OT+SH+OL	danach; nehmen; weiter | danach; halten; weiter | weiter; bearbeiten; abschließen | danach; bearbeiten; abschließen	FILL_EACH_SLOT_WITH_ATOM_VALUE_AND_READ_LEFT_TO_RIGHT	EDITORIAL_WORKING_TEMPLATE__NOT_CONFIRMED_SYNTAX
