carrier_link_ordinal	layer	source_assignment_ordinal	source_artifact	cohort	event_id	statement_id	physical_page	register	surface	recipe	atom	atom_value_de	atom_position	carrier_envelope	specialized_default_reading_de	specialized_detail	unified_atom_category	unified_atom_value_de	position_and_value_match_unified_card	guard
1	GRADE	1	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	EE	GRAD II	2	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
2	GRADE	2	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	E	GRAD I	2	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
3	GRADE	3	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	E	GRAD I	2	OT>G<OL	danach Träger auf Grad I; den Träger weiterführen	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
4	GRADE	4	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	E	GRAD I	3	OT>G<END	danach Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
5	GRADE	5	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0661	G407-S032	f24v	HERBAL	keol	K+E+OL	E	GRAD I	2	START>G<OL	geben auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
6	GRADE	6	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0791	G407-S037	f55v	HERBAL	olkeechy	OL+K+EE+CH+Y	EE	GRAD II	3	OL>G<END	weiter mit geben auf Grad II	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
7	GRADE	7	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0851	G407-S040	f56r	HERBAL	chotchey	CH+OT+CH+E+Y	E	GRAD I	4	OT>G<END	danach nehmen auf Grad I	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
8	GRADE	8	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0900	G407-S040	f56r	HERBAL	keol	K+E+OL	E	GRAD I	2	START>G<OL	geben auf Grad I; den Träger weiterführen	VISIBLE_SAME_BLOCK_ACTION_CHAIN	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
9	GRADE	9	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E0959	G407-S048	f67r2	CELESTIAL	octhole	O+CH+T+OL+E	E	GRAD I	5	OL>G<END	weiter mit Träger auf Grad I	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD I	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
10	GRADE	10	GDT558_333_GRADE_CARRIER_ASSIGNMENTS	OLD26_GDT407	G407-E1030	G407-S052	f68r1	CELESTIAL	choteey	CH+OT+EE+Y	EE	GRAD II	3	OT>G<END	danach Träger auf Grad II	CONTROL_CARRIED_GRADE_VALUE	GRADE	GRAD II	YES	SOURCE_LINK_ONLY__NO_ATOM_REORDERING_OR_NEW_MEANING
