integration_ordinal	event_id	statement_id	physical_page	register	surface	recipe	grade_link_count	argument_link_count	relation_link_count	total_specialized_link_count	specialized_layers	ordered_all_atom_reading_de	all_atom_default_phrase_de	specialized_readings_de	integration_status
1	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	0	1	0	1	ARGUMENT	HALTEN → FORTSETZEN → HIER → POSTEN	halten; weiter; hier; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
2	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	1	1	0	2	ARGUMENT|GRADE	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
3	G407-E0033	G407-S001	f1r	SOURCE_SECTION_T	oteos	OT+E+O+S_ADDR	1	0	0	1	GRADE	DANACH → GRAD I → AUSFÜHRUNG → HIER	danach; auf Grad I; zur Ausführung; hier	GRADE:danach Träger auf Grad I	EXACT_EVENT_AND_ATOM_POSITION_JOIN
4	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	0	1	0	1	ARGUMENT	MARKIEREN → FORTSETZEN → DANACH → POSTEN	markieren; weiter; danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
5	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	0	0	1	1	RELATION	DANACH → BAHN → STUFE	danach; entlang der Bahn; auf der Stufe	RELATION:DANACH · BAHN	EXACT_EVENT_AND_ATOM_POSITION_JOIN
6	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	1	0	0	1	GRADE	DANACH → GRAD I → FORTSETZEN	danach; auf Grad I; weiter	GRADE:danach Träger auf Grad I; den Träger weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
7	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	0	1	0	1	ARGUMENT	FORTSETZEN → ANTEIL	weiter; den Anteil	ARGUMENT:weiter mit dem Anteil als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
8	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	0	1	0	1	ARGUMENT	POSTEN → ABSCHLIESSEN → HIER	den Posten; abschließen; hier	ARGUMENT:den Posten führen und den Schritt abschließen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
9	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	0	0	1	1	RELATION	NEHMEN → EINSTELLEN → FORTSETZEN → HIER → AUSGANG	nehmen; einstellen; weiter; hier; vom Ausgang	RELATION:FORTSETZEN · AUSGANG	EXACT_EVENT_AND_ATOM_POSITION_JOIN
10	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	0	1	0	1	ARGUMENT	NEHMEN → DANACH → POSTEN	nehmen; danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
11	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	1	1	0	2	ARGUMENT|GRADE	NEHMEN → DANACH → GRAD I → POSTEN	nehmen; danach; auf Grad I; den Posten	GRADE:danach Träger auf Grad I || ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
12	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	0	1	0	1	ARGUMENT	DANACH → POSTEN → EINSTELLEN → NEHMEN → FORTSETZEN	danach; den Posten; einstellen; nehmen; weiter	ARGUMENT:danach den Posten eröffnen und weiterführen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
13	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	0	1	0	1	ARGUMENT	DANACH → EINHEIT	danach; die Einheit	ARGUMENT:danach die Einheit als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
14	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	0	1	0	1	ARGUMENT	DANACH → POSTEN	danach; den Posten	ARGUMENT:danach den Posten als nächsten Träger eröffnen	EXACT_EVENT_AND_ATOM_POSITION_JOIN
15	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	0	1	0	1	ARGUMENT	BEGINNMARKER → AUSFÜHRUNG → NEHMEN → EINSTELLEN → FORTSETZEN → POSTEN	am Beginn; zur Ausführung; nehmen; einstellen; weiter; den Posten	ARGUMENT:weiter mit dem Posten als aktuellem Träger	EXACT_EVENT_AND_ATOM_POSITION_JOIN
