state_card_ordinal	cohort	event_id	source_event_id	statement_id	physical_page	register	card_ordinal_in_statement	statement_event_count	statement_position	statement_final	surface	recipe	recipe_atom_count	ordered_type_signature	state_marker_sequence	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	state_scope_reading_de	source_context_layer	context_template	contextual_clause_de	explicit_action_roots	inherited_action_root	explicit_argument_roots	inherited_argument_root	action_atom_count	grade_atom_count	argument_atom_count	relation_atom_count	state_control_atom_count	formal_control_atom_count	local_or_class_sign_count	specialized_carrier_layers	specialized_carrier_link_count	specialized_carrier_readings_de	every_atom_mapped	written_order_preserved	sequence_default_status	guard
1	OLD26_GDT407	G407-E0005	G404-E0005	G407-S001	f1r	SOURCE_SECTION_T	5	46	STATEMENT_INTERNAL	NO	shol	SH+OL	2	ACTION_HEAD+STATE_CONTROL	OL	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → FORTSETZEN	halten; weiter	HALTEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter halte den Kennwert [wie zuvor] fest.	SH	NONE	NONE	AIIN	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
2	OLD26_GDT407	G407-E0010	G404-E0010	G407-S001	f1r	SOURCE_SECTION_T	10	46	STATEMENT_INTERNAL	NO	sholdy	SH+OL+D_ADDR+Y	4	ACTION_HEAD+STATE_CONTROL+LOCAL_OR_CLASS_SIGN+ARGUMENT	OL	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > D_ADDR{LOKAL-/KLASSENZEICHEN=HIER} > Y{ARGUMENT=POSTEN}	HALTEN → FORTSETZEN → HIER → POSTEN	halten; weiter; hier; den Posten	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter halte den laufenden Eintrag fest; an der bezeichneten Stelle.	SH	NONE	Y	NONE	1	0	1	0	1	0	1	ARGUMENT	1	ARGUMENT:weiter mit dem Posten als aktuellem Träger	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
3	OLD26_GDT407	G407-E0032	G404-E0032	G407-S001	f1r	SOURCE_SECTION_T	32	46	STATEMENT_INTERNAL	NO	oteey	OT+EE+Y	3	STATE_CONTROL+GRADE+ARGUMENT	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > Y{ARGUMENT=POSTEN}	DANACH → GRAD II → POSTEN	danach; auf Grad II; den Posten	DANACH · GRAD II · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach im laufenden Gang wähle den laufenden Eintrag; auf Grad II.	NONE	S	Y	NONE	0	1	1	0	1	0	0	ARGUMENT|GRADE	2	GRADE:danach Träger auf Grad II || ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
4	OLD26_GDT407	G407-E0033	G404-E0033	G407-S001	f1r	SOURCE_SECTION_T	33	46	STATEMENT_INTERNAL	NO	oteos	OT+E+O+S_ADDR	4	STATE_CONTROL+GRADE+FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	OT	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > O{FORMSTEUERUNG=AUSFÜHRUNG} > S_ADDR{LOKAL-/KLASSENZEICHEN=HIER}	DANACH → GRAD I → AUSFÜHRUNG → HIER	danach; auf Grad I; zur Ausführung; hier	DANACH · GRAD I · AUSFÜHRUNG · HIER	GDT416_OLD26_IMPERATIVE	INHERITED_GRADE	Danach im laufenden Gang wähle den laufenden Eintrag [wie zuvor]; auf Grad I und als Ausführung; an der bezeichneten Stelle.	NONE	S	NONE	Y	0	1	0	0	1	1	1	GRADE	1	GRADE:danach Träger auf Grad I	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
5	OLD26_GDT407	G407-E0034	G404-E0034	G407-S001	f1r	SOURCE_SECTION_T	34	46	STATEMENT_INTERNAL	NO	roloty	R+OL+OT+Y	4	ACTION_HEAD+STATE_CONTROL+STATE_CONTROL+ARGUMENT	OL+OT	R{HANDLUNG=MARKIEREN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > OT{ZUSTANDSSTEUERUNG=DANACH} > Y{ARGUMENT=POSTEN}	MARKIEREN → FORTSETZEN → DANACH → POSTEN	markieren; weiter; danach; den Posten	MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter und danach kennzeichne den laufenden Eintrag.	R	NONE	Y	NONE	1	0	1	0	2	0	0	ARGUMENT	1	ARGUMENT:danach den Posten als nächsten Träger eröffnen	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
6	OLD26_GDT407	G407-E0048	G404-E0048	G407-S002	f1r	SOURCE_SECTION_T	2	10	STATEMENT_INTERNAL	NO	shol	SH+OL	2	ACTION_HEAD+STATE_CONTROL	OL	SH{HANDLUNG=HALTEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	HALTEN → FORTSETZEN	halten; weiter	HALTEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter halte fest.	SH	NONE	NONE	NONE	1	0	0	0	1	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
7	OLD26_GDT407	G407-E0056	G404-E0056	G407-S002	f1r	SOURCE_SECTION_T	10	10	STATEMENT_FINAL	YES	shody	SH+O+DY	3	ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	DY	SH{HANDLUNG=HALTEN} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → AUSFÜHRUNG → ABSCHLIESSEN	halten; zur Ausführung; abschließen	HALTEN · AUSFÜHRUNG · SCHLUSS	GDT416_OLD26_IMPERATIVE	ACTION_ONLY	Halte den laufenden Eintrag [wie zuvor] fest; als Ausführung; schließe den Schritt.	SH	NONE	NONE	Y	1	0	0	0	1	1	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
8	OLD26_GDT407	G407-E0058	G404-E0058	G407-S003	f1r	SOURCE_SECTION_T	2	12	STATEMENT_INTERNAL	NO	otchol	OT+CH+OL	3	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	OT+OL	OT{ZUSTANDSSTEUERUNG=DANACH} > CH{HANDLUNG=NEHMEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	DANACH → NEHMEN → FORTSETZEN	danach; nehmen; weiter	DANACH · NEHMEN · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Danach und weiter entnimm den laufenden Eintrag [wie zuvor].	CH	NONE	NONE	Y	1	0	0	0	2	0	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
9	OLD26_GDT407	G407-E0067	G404-E0067	G407-S003	f1r	SOURCE_SECTION_T	11	12	STATEMENT_INTERNAL	NO	cfhol	CH+LOCAL_CHAR_F+OL	3	ACTION_HEAD+LOCAL_OR_CLASS_SIGN+STATE_CONTROL	OL	CH{HANDLUNG=NEHMEN} > LOCAL_CHAR_F{LOKAL-/KLASSENZEICHEN=HIER} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	NEHMEN → HIER → FORTSETZEN	nehmen; hier; weiter	NEHMEN · HIER · FORTSETZEN	GDT416_OLD26_IMPERATIVE	ORDERED_ACTION	Weiter entnimm den Kennwert [wie zuvor]; an der bezeichneten Stelle.	CH	NONE	NONE	AIIN	1	0	0	0	1	0	1	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
10	OLD26_GDT407	G407-E0068	G404-E0068	G407-S003	f1r	SOURCE_SECTION_T	12	12	STATEMENT_FINAL	YES	shody	SH+O+DY	3	ACTION_HEAD+FORMAL_CONTROL+STATE_CONTROL	DY	SH{HANDLUNG=HALTEN} > O{FORMSTEUERUNG=AUSFÜHRUNG} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → AUSFÜHRUNG → ABSCHLIESSEN	halten; zur Ausführung; abschließen	HALTEN · AUSFÜHRUNG · SCHLUSS	GDT416_OLD26_IMPERATIVE	ACTION_ONLY	Halte den Kennwert [wie zuvor] fest; als Ausführung; schließe den Schritt.	SH	NONE	NONE	AIIN	1	0	0	0	1	1	0	NONE	0	NONE	YES	YES	EXACT_RECIPE_DEFAULT__NO_LEARNED_WHOLE_CARD_VALUE	WORKING_COMPOSITION_ONLY__STRUCTURAL_TYPES_NOT_PLAINTEXT_WORDS
