recipe_default_ordinal	recipe	event_count	physical_page_count	statement_count	surface_count	cohorts	registers	example_surfaces	example_event_ids	recipe_atom_count	atom_multiset	ordered_type_signature	ordered_typed_atom_trace	ordered_all_atom_reading_de	all_atom_default_phrase_de	specialized_carrier_layers	every_atom_mapped	written_order_preserved	default_scope
1	OL	189	25	126	5	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	chol	G407-E0099|G407-E0114|G407-E0115|G407-E0119|G407-E0163|G407-E0171|G407-E0210|G407-E0239	1	OL	STATE_CONTROL	OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	FORTSETZEN	weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
2	SH+E+DY	119	11	119	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	dshedy|shedy	G407-E1431|G407-E1520|G407-E1560|G407-E1563|G407-E1579|G407-E1584|G407-E1658|G407-E1699	3	DY+E+SH	ACTION_HEAD+GRADE+STATE_CONTROL	SH{HANDLUNG=HALTEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	HALTEN → GRAD I → ABSCHLIESSEN	halten; auf Grad I; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
3	OK+EE+DY	83	11	83	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	okeedy|qokeedy	G407-E0698|G407-E1151|G407-E1458|G407-E1475|G407-E1493|G407-E1513|G407-E1516|G407-E1640	3	DY+EE+OK	ACTION_HEAD+GRADE+STATE_CONTROL	OK{HANDLUNG=SETZEN} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	SETZEN → GRAD II → ABSCHLIESSEN	setzen; auf Grad II; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
4	OK+E+DY	79	11	79	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|PHARMA|SOURCE_SECTION_T	qokedy	G407-E1497|G407-E1536|G407-E1537|G407-E1538|G407-E1539|G407-E1709|G407-E1756|G407-E1759	3	DY+E+OK	ACTION_HEAD+GRADE+STATE_CONTROL	OK{HANDLUNG=SETZEN} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	SETZEN → GRAD I → ABSCHLIESSEN	setzen; auf Grad I; abschließen	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
5	OT+Y	40	18	33	4	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|SOURCE_SECTION_T	oty|qotchy|qoty	G407-E0238|G407-E0299|G407-E0305|G407-E0324|G407-E0362|G407-E0382|G407-E0801|G407-E0878	2	OT+Y	STATE_CONTROL+ARGUMENT	OT{ZUSTANDSSTEUERUNG=DANACH} > Y{ARGUMENT=POSTEN}	DANACH → POSTEN	danach; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
6	OT+E+DY	37	10	37	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|HERBAL|SOURCE_SECTION_T	otedy|qotedy	G407-E1806|G407-E1820|G407-E1821|G407-E1822|G407-E1863|G407-E1864|G407-E2230|G407-E2287	3	DY+E+OT	STATE_CONTROL+GRADE+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > E{GRAD=GRAD I} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	DANACH → GRAD I → ABSCHLIESSEN	danach; auf Grad I; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
7	L+CHD+DY	35	8	35	1	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|SOURCE_SECTION_T	lchedy	G407-E1512|G407-E1644|G407-E1972|G407-E2013|G407-E2024|G407-E2062|G407-E2069|G407-E2223	3	CHD+DY+L	RELATION+ACTION_HEAD+STATE_CONTROL	L{RELATION=VERBINDUNG} > CHD{HANDLUNG=BEARBEITEN} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	VERBINDUNG → BEARBEITEN → ABSCHLIESSEN	über die Verbindung; bearbeiten; abschließen	RELATION	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
8	OL+Y	33	13	32	7	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	choly|olchey|oly	G407-E0809|G407-E0814|G407-E1002|G407-E1228|G407-E1333|G407-E1515|G407-E1525|G407-E1589	2	OL+Y	STATE_CONTROL+ARGUMENT	OL{ZUSTANDSSTEUERUNG=FORTSETZEN} > Y{ARGUMENT=POSTEN}	FORTSETZEN → POSTEN	weiter; den Posten	ARGUMENT	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
9	OK+OL	28	16	22	6	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|HERBAL|PHARMA|SOURCE_SECTION_T	okchol|okol|qokchol|qokol	G407-E0184|G407-E0268|G407-E0363|G407-E0471|G407-E0531|G407-E0543|G407-E0583|G407-E0633	2	OK+OL	ACTION_HEAD+STATE_CONTROL	OK{HANDLUNG=SETZEN} > OL{ZUSTANDSSTEUERUNG=FORTSETZEN}	SETZEN → FORTSETZEN	setzen; weiter	NONE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
10	OT+EE+DY	28	8	28	2	CURRENT4_GDT539|OLD26_GDT407	BIOLOGICAL|CELESTIAL|SOURCE_SECTION_T	oteedy|qoteedy	G407-E1145|G407-E1311|G407-E1330|G407-E1784|G407-E1793|G407-E1926|G407-E2311|G407-E2362	3	DY+EE+OT	STATE_CONTROL+GRADE+STATE_CONTROL	OT{ZUSTANDSSTEUERUNG=DANACH} > EE{GRAD=GRAD II} > DY{ZUSTANDSSTEUERUNG=ABSCHLIESSEN}	DANACH → GRAD II → ABSCHLIESSEN	danach; auf Grad II; abschließen	GRADE	YES	YES	EXACT_RECIPE_ONLY__OWNER_CONTEXT_REMAINS_EVENT_LOCAL
