order_family_id	atom_multiset	variant_ordinal	variant_count	family_event_count	recipe	recipe_event_count	ordered_type_signature	ordered_all_atom_reading_de	all_atom_default_phrase_de	contrast_recipes	decision
G561-O01	OL+Y	1	2	34	OL+Y	33	STATE_CONTROL+ARGUMENT	FORTSETZEN → POSTEN	weiter; den Posten	Y+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O01	OL+Y	2	2	34	Y+OL	1	ARGUMENT+STATE_CONTROL	POSTEN → FORTSETZEN	den Posten; weiter	OL+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O02	CH+OL+OT	1	2	12	CH+OT+OL	1	ACTION_HEAD+STATE_CONTROL+STATE_CONTROL	NEHMEN → DANACH → FORTSETZEN	nehmen; danach; weiter	OT+CH+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O02	CH+OL+OT	2	2	12	OT+CH+OL	11	STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	DANACH → NEHMEN → FORTSETZEN	danach; nehmen; weiter	CH+OT+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O03	CH+OT+Y	1	2	10	CH+OT+Y	5	ACTION_HEAD+STATE_CONTROL+ARGUMENT	NEHMEN → DANACH → POSTEN	nehmen; danach; den Posten	OT+CH+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O03	CH+OT+Y	2	2	10	OT+CH+Y	5	STATE_CONTROL+ACTION_HEAD+ARGUMENT	DANACH → NEHMEN → POSTEN	danach; nehmen; den Posten	CH+OT+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O04	K+OL+Y	1	3	8	K+OL+Y	1	ACTION_HEAD+STATE_CONTROL+ARGUMENT	GEBEN → FORTSETZEN → POSTEN	geben; weiter; den Posten	OL+K+Y|Y+K+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O04	K+OL+Y	2	3	8	OL+K+Y	3	STATE_CONTROL+ACTION_HEAD+ARGUMENT	FORTSETZEN → GEBEN → POSTEN	weiter; geben; den Posten	K+OL+Y|Y+K+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O04	K+OL+Y	3	3	8	Y+K+OL	4	ARGUMENT+ACTION_HEAD+STATE_CONTROL	POSTEN → GEBEN → FORTSETZEN	den Posten; geben; weiter	K+OL+Y|OL+K+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O05	AL+OL	1	2	5	AL+OL	2	RELATION+STATE_CONTROL	ZIELORT → FORTSETZEN	zum Zielort; weiter	OL+AL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O05	AL+OL	2	2	5	OL+AL	3	STATE_CONTROL+RELATION	FORTSETZEN → ZIELORT	weiter; zum Zielort	AL+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O06	AR+OL	1	2	5	AR+OL	4	RELATION+STATE_CONTROL	AUSGANG → FORTSETZEN	vom Ausgang; weiter	OL+AR	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O06	AR+OL	2	2	5	OL+AR	1	STATE_CONTROL+RELATION	FORTSETZEN → AUSGANG	weiter; vom Ausgang	AR+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O07	CARRIER_Q+O+OL	1	2	3	CARRIER_Q+O+OL	2	FORMAL_CONTROL+FORMAL_CONTROL+STATE_CONTROL	BEGINNMARKER → AUSFÜHRUNG → FORTSETZEN	am Beginn; zur Ausführung; weiter	OL+CARRIER_Q+O	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O07	CARRIER_Q+O+OL	2	2	3	OL+CARRIER_Q+O	1	STATE_CONTROL+FORMAL_CONTROL+FORMAL_CONTROL	FORTSETZEN → BEGINNMARKER → AUSFÜHRUNG	weiter; am Beginn; zur Ausführung	CARRIER_Q+O+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O08	CHD+DY+OL+P	1	2	3	OL+P+CHD+DY	2	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	FORTSETZEN → EINSETZEN → BEARBEITEN → ABSCHLIESSEN	weiter; einsetzen; bearbeiten; abschließen	P+OL+CHD+DY	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O08	CHD+DY+OL+P	2	2	3	P+OL+CHD+DY	1	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+STATE_CONTROL	EINSETZEN → FORTSETZEN → BEARBEITEN → ABSCHLIESSEN	einsetzen; weiter; bearbeiten; abschließen	OL+P+CHD+DY	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O09	E+OL+SH+Y	1	2	3	OL+SH+E+Y	2	STATE_CONTROL+ACTION_HEAD+GRADE+ARGUMENT	FORTSETZEN → HALTEN → GRAD I → POSTEN	weiter; halten; auf Grad I; den Posten	SH+E+OL+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O09	E+OL+SH+Y	2	2	3	SH+E+OL+Y	1	ACTION_HEAD+GRADE+STATE_CONTROL+ARGUMENT	HALTEN → GRAD I → FORTSETZEN → POSTEN	halten; auf Grad I; weiter; den Posten	OL+SH+E+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O10	OL+SH+T	1	2	3	SH+T+OL	1	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	HALTEN → EINSTELLEN → FORTSETZEN	halten; einstellen; weiter	T+SH+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O10	OL+SH+T	2	2	3	T+SH+OL	2	ACTION_HEAD+ACTION_HEAD+STATE_CONTROL	EINSTELLEN → HALTEN → FORTSETZEN	einstellen; halten; weiter	SH+T+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O11	AL+K+OL	1	2	2	K+AL+OL	1	ACTION_HEAD+RELATION+STATE_CONTROL	GEBEN → ZIELORT → FORTSETZEN	geben; zum Zielort; weiter	OL+K+AL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O11	AL+K+OL	2	2	2	OL+K+AL	1	STATE_CONTROL+ACTION_HEAD+RELATION	FORTSETZEN → GEBEN → ZIELORT	weiter; geben; zum Zielort	K+AL+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O12	CH+E+O+OL+T	1	2	2	O+CH+T+E+OL	1	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	AUSFÜHRUNG → NEHMEN → EINSTELLEN → GRAD I → FORTSETZEN	zur Ausführung; nehmen; einstellen; auf Grad I; weiter	O+CH+T+OL+E	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O12	CH+E+O+OL+T	2	2	2	O+CH+T+OL+E	1	FORMAL_CONTROL+ACTION_HEAD+ACTION_HEAD+STATE_CONTROL+GRADE	AUSFÜHRUNG → NEHMEN → EINSTELLEN → FORTSETZEN → GRAD I	zur Ausführung; nehmen; einstellen; weiter; auf Grad I	O+CH+T+E+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O13	CHD+K+OL+Y	1	2	2	K+OL+CHD+Y	1	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+ARGUMENT	GEBEN → FORTSETZEN → BEARBEITEN → POSTEN	geben; weiter; bearbeiten; den Posten	OL+K+CHD+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O13	CHD+K+OL+Y	2	2	2	OL+K+CHD+Y	1	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD+ARGUMENT	FORTSETZEN → GEBEN → BEARBEITEN → POSTEN	weiter; geben; bearbeiten; den Posten	K+OL+CHD+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O14	CHD+OL+P	1	2	2	OL+P+CHD	1	STATE_CONTROL+ACTION_HEAD+ACTION_HEAD	FORTSETZEN → EINSETZEN → BEARBEITEN	weiter; einsetzen; bearbeiten	P+OL+CHD	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O14	CHD+OL+P	2	2	2	P+OL+CHD	1	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD	EINSETZEN → FORTSETZEN → BEARBEITEN	einsetzen; weiter; bearbeiten	OL+P+CHD	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O15	DY+E+K+SH+Y	1	2	2	SH+E+K+Y+DY	1	ACTION_HEAD+GRADE+ACTION_HEAD+ARGUMENT+STATE_CONTROL	HALTEN → GRAD I → GEBEN → POSTEN → ABSCHLIESSEN	halten; auf Grad I; geben; den Posten; abschließen	Y+K+SH+E+DY	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O15	DY+E+K+SH+Y	2	2	2	Y+K+SH+E+DY	1	ARGUMENT+ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	POSTEN → GEBEN → HALTEN → GRAD I → ABSCHLIESSEN	den Posten; geben; halten; auf Grad I; abschließen	SH+E+K+Y+DY	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O16	E+OL+S+SH	1	2	2	S+OL+SH+E	1	ACTION_HEAD+STATE_CONTROL+ACTION_HEAD+GRADE	WÄHLEN → FORTSETZEN → HALTEN → GRAD I	wählen; weiter; halten; auf Grad I	S+SH+E+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O16	E+OL+S+SH	2	2	2	S+SH+E+OL	1	ACTION_HEAD+ACTION_HEAD+GRADE+STATE_CONTROL	WÄHLEN → HALTEN → GRAD I → FORTSETZEN	wählen; halten; auf Grad I; weiter	S+OL+SH+E	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O17	OL+P	1	2	2	OL+P	1	STATE_CONTROL+ACTION_HEAD	FORTSETZEN → EINSETZEN	weiter; einsetzen	P+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O17	OL+P	2	2	2	P+OL	1	ACTION_HEAD+STATE_CONTROL	EINSETZEN → FORTSETZEN	einsetzen; weiter	OL+P	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O18	OL+T+Y	1	2	2	OL+T+Y	1	STATE_CONTROL+ACTION_HEAD+ARGUMENT	FORTSETZEN → EINSTELLEN → POSTEN	weiter; einstellen; den Posten	Y+T+OL	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
G561-O18	OL+T+Y	2	2	2	Y+T+OL	1	ARGUMENT+ACTION_HEAD+STATE_CONTROL	POSTEN → EINSTELLEN → FORTSETZEN	den Posten; einstellen; weiter	OL+T+Y	KEEP_WRITTEN_ORDER__DO_NOT_SORT_ATOMS
