atom	typed_category	working_value_de	default_fragment_de	atom_occurrence_count	state_card_count	recipe_count	physical_page_count	source_factor_family	source_semantic_layer	source_dictionary	value_status	reading_scope
OL	STATE_CONTROL	FORTSETZEN	weiter	761	747	201	28	ORDER_CONTROL	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
DY	STATE_CONTROL	ABSCHLIESSEN	abschließen	705	705	151	28	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT557_STATE_ROLE_OVERRIDE	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
E	GRADE	GRAD I	auf Grad I	498	487	114	21	GRADE	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
OT	STATE_CONTROL	DANACH	danach	404	404	98	28	ORDER_CONTROL	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
SH	ACTION_HEAD	HALTEN	halten	303	301	72	25	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
Y	ARGUMENT	POSTEN	den Posten	268	263	99	28	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
OK	ACTION_HEAD	SETZEN	setzen	248	248	27	25	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
EE	GRADE	GRAD II	auf Grad II	234	234	46	19	GRADE	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
CH	ACTION_HEAD	NEHMEN	nehmen	156	143	92	27	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
K	ACTION_HEAD	GEBEN	geben	146	145	69	25	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
O	FORMAL_CONTROL	AUSFÜHRUNG	zur Ausführung	146	144	96	26	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
CHD	ACTION_HEAD	BEARBEITEN	bearbeiten	113	113	28	11	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
L	RELATION	VERBINDUNG	über die Verbindung	92	92	24	16	RELATION	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
D_ADDR	LOCAL_OR_CLASS_SIGN	HIER	hier	86	83	59	24	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	GDT405	GDT413_VALUE_REUSED	STRUCTURAL_SIGN__NOT_AN_ENGLISH_OR_GERMAN_WORD_TRANSLATION
T	ACTION_HEAD	EINSTELLEN	einstellen	68	68	40	24	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
P	ACTION_HEAD	EINSETZEN	einsetzen	66	66	48	22	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AL	RELATION	ZIELORT	zum Zielort	60	59	30	17	RELATION	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AR	RELATION	AUSGANG	vom Ausgang	58	57	27	17	RELATION	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AIIN	ARGUMENT	WERT	den Wert	54	54	15	16	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
S	ACTION_HEAD	WÄHLEN	wählen	44	43	35	18	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
AIN	ARGUMENT	ANTEIL	den Anteil	34	34	8	10	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
OR	ARGUMENT	EINHEIT	die Einheit	34	34	17	17	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	GDT412	GDT413_VALUE_REUSED	SHORT_WORKING_VALUE__OWNER_SUPPLIES_CONCRETE_CONTENT
