register	family_class	global_statement_id	physical_page	owner_de	target_surface	target_recipe	statement_surface_sequence	statement_recipe_sequence	selected_full_statement_reading_de	local_expansion_rule
HERBAL	BARE_CHD_Y	G407-S700	f95v	F95V_WHOLE_PLANT	chdy	CHD+Y	okarar yty chdy otal shedy	OK+AR+AR | Y+T+Y | CHD+Y | OT+AL | SH+E+DY	SETZEN · AUSGANG · AUSGANG | POSTEN · EINSTELLEN · POSTEN | BEARBEITEN · POSTEN | DANACH · ZIELORT | HALTEN · GRAD I · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
HERBAL	TERMINAL_DY	G407-S708	f95v	F95V_WHOLE_PLANT	okchedy	OK+CHD+DY	okchedy	OK+CHD+DY	SETZEN · BEARBEITEN · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
HERBAL	OPEN_ARGUMENT_OR_RELATION	G407-S688	f95v	F95V_WHOLE_PLANT	ofchdy	O+LOCAL_CHAR_F+CHD+Y	qofaiin ofchdy otedy	CARRIER_Q+O+LOCAL_CHAR_F+AIIN | O+LOCAL_CHAR_F+CHD+Y | OT+E+DY	BEGINNMARKER · AUSFÜHRUNG · HIER · WERT | AUSFÜHRUNG · HIER · BEARBEITEN · POSTEN | DANACH · GRAD I · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
HERBAL	OTHER_OPEN	G407-S705	f95v	F95V_WHOLE_PLANT	chdam	CHD+AM_ADDR	ol shedar chdam dshey kain qokar olkar chy tar otar chdy kchdy dolkain otardy	OL | SH+E+D_ADDR+AR | CHD+AM_ADDR | D_ADDR+SH+E+Y | K+AIN | OK+AR | OL+K+AR | Y | T+AR | OT+AR | CHD+Y | K+CHD+Y | D_ADDR+OL+K+AIN | OT+AR+DY	FORTSETZEN | HALTEN · GRAD I · HIER · AUSGANG | BEARBEITEN · HIER | HIER · HALTEN · GRAD I · POSTEN | GEBEN · ANTEIL | SETZEN · AUSGANG | FORTSETZEN · GEBEN · AUSGANG | POSTEN | EINSTELLEN · AUSGANG | DANACH · AUSGANG | BEARBEITEN · POSTEN | GEBEN · BEARBEITEN · POSTEN | HIER · FORTSETZEN · GEBEN · ANTEIL | DANACH · AUSGANG · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
BIOLOGICAL	BARE_CHD_Y	G407-S202	f76r	unbebilderter Textabschnitt A1	chdy	CHD+Y	chdy qokchdy	CHD+Y | OK+CHD+DY	BEARBEITEN · POSTEN | SETZEN · BEARBEITEN · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
BIOLOGICAL	TERMINAL_DY	G407-S093	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	qokchdy	OK+CHD+DY	qokchdy	OK+CHD+DY	SETZEN · BEARBEITEN · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
BIOLOGICAL	OPEN_ARGUMENT_OR_RELATION	G407-S084	f75r	großes Bad-/Stationsblatt mit dreieckiger Insel	chedykar	CHD+Y+K+AR	chedykar chekeedy	CHD+Y+K+AR | CH+K+EE+DY	BEARBEITEN · POSTEN · GEBEN · AUSGANG | NEHMEN · GEBEN · GRAD II · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
BIOLOGICAL	OTHER_OPEN	G407-S306	f76r	unbebilderter Textabschnitt D	chdol	CHD+OL	chdol olchedy	CHD+OL | OL+CHD+DY	BEARBEITEN · FORTSETZEN | FORTSETZEN · BEARBEITEN · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
CELESTIAL	BARE_CHD_Y	G407-S079	f72r	Tierkreis-Ringgruppe I	chedy	CHD+Y	che shees opcholalaiin oteeor am sheal okaipchy oteees ar am olaiin otedar olol choty oteol sheshdy chedy chedy dy shes eedy	CH+E | SH+EE+S | O+P+CH+OL+AL+AIIN | OT+EE+OR | AM_ADDR | SH+E+AL | OK+A_ADDR+LOCAL_CHAR_I+P+CH+Y | OT+EEE+S_ADDR | AR | AM_ADDR | OL+AIIN | OT+E+D_ADDR+AR | OL+OL | CH+OT+Y | OT+E+OL | SH+E+O+D_ADDR+Y | CHD+Y | CHD+Y | Y | SH+E+S | EE+DY	NEHMEN · GRAD I | HALTEN · GRAD II · WÄHLEN | AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT | DANACH · GRAD II · EINHEIT | HIER | HALTEN · GRAD I · ZIELORT | SETZEN · HIER · VARIANTE · EINSETZEN · NEHMEN · POSTEN | DANACH · GRAD III · HIER | AUSGANG | HIER | FORTSETZEN · WERT | DANACH · GRAD I · HIER · AUSGANG | FORTSETZEN · FORTSETZEN | NEHMEN · DANACH · POSTEN | DANACH · GRAD I · FORTSETZEN | HALTEN · GRAD I · AUSFÜHRUNG · HIER · POSTEN | BEARBEITEN · POSTEN | BEARBEITEN · POSTEN | POSTEN | HALTEN · GRAD I · WÄHLEN | GRAD II · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
CELESTIAL	TERMINAL_DY	G407-S075	f72r	Tierkreis-Ringgruppe H	otochedy	OT+O+CHD+DY	otochedy	OT+O+CHD+DY	DANACH · AUSFÜHRUNG · BEARBEITEN · SCHLUSS	BEARBEITEN bleibt Kern; Richtung, Material, Körperteil oder Himmelswert kommt aus Hülle/Besitzer
