register	family_class	event_count	register_total_chd_events
HERBAL	BARE_CHD_Y	7	29
HERBAL	TERMINAL_DY	4	29
HERBAL	OPEN_ARGUMENT_OR_RELATION	16	29
HERBAL	OTHER_OPEN	2	29
BIOLOGICAL	BARE_CHD_Y	96	259
BIOLOGICAL	TERMINAL_DY	87	259
BIOLOGICAL	OPEN_ARGUMENT_OR_RELATION	67	259
BIOLOGICAL	OTHER_OPEN	9	259
CELESTIAL	BARE_CHD_Y	2	7
CELESTIAL	TERMINAL_DY	2	7
CELESTIAL	OPEN_ARGUMENT_OR_RELATION	3	7
CELESTIAL	OTHER_OPEN	0	7
PHARMA	BARE_CHD_Y	1	5
PHARMA	TERMINAL_DY	1	5
PHARMA	OPEN_ARGUMENT_OR_RELATION	3	5
PHARMA	OTHER_OPEN	0	5
SOURCE_SECTION_T	BARE_CHD_Y	1	1
SOURCE_SECTION_T	TERMINAL_DY	0	1
SOURCE_SECTION_T	OPEN_ARGUMENT_OR_RELATION	0	1
SOURCE_SECTION_T	OTHER_OPEN	0	1
