root	structural_category	selected_minimal_value_de	decision	rival_a_de	rival_b_de	portable_use_rule_de	atom_mention_count	page_count	register_count	decision_reason_de
Y	ARGUMENT	POSTEN	KEEP	DIES	GEGENSTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	1611	24	5	Referentrolle breit und registerübergreifend
OK	HANDLUNG	SETZEN	KEEP	ANSETZEN	AKTIVIEREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	774	24	5	produktiver Handlungskopf; genauer Verbton offen
OL	REIHENFOLGE	FORTSETZEN	KEEP	WEITER	GLEICHER GANG	als Fortsetzung oder nächsten Geschwistergang lesen	688	24	5	wiederkehrende Fortsetzungs-/Weiterführungslage
OT	REIHENFOLGE	DANACH	KEEP	NÄCHSTER	WECHSEL	als Fortsetzung oder nächsten Geschwistergang lesen	363	24	5	Geschwister-/Folgewechsel statt Stoffwort
AL	BEZIEHUNG	ZIELORT	KEEP	ZU	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	352	24	5	komplementäre Zieladresse zu AR
CH	HANDLUNG	NEHMEN	KEEP	BEARBEITEN	AUSWÄHLEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	843	24	5	CH geht stark vor K und T; ein entnommener Posten kann danach gegeben oder eingestellt werden.
SH	HANDLUNG	HALTEN	KEEP	RUHEN LASSEN	BEWAHREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	631	24	5	463 Gradfoki machen HALTEN breiter und sparsamer als RUHEN LASSEN.
AR	BEZIEHUNG	AUSGANG	KEEP	VON	QUELLE	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	323	23	5	komplementäre Quelladresse zu AL
K	HANDLUNG	GEBEN	KEEP	ZUORDNEN	ZUFÜHREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	492	24	5	K folgt CH 216-mal, aber CH folgt K nur 98-mal; der Übergang liest sich sparsam NEHMEN→GEBEN.
AIIN	ARGUMENT	WERT	KEEP	MASS	VORGABE	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	432	23	5	MASS wäre auf Himmelsseiten zu eng
S	HANDLUNG	WÄHLEN	KEEP	PRÜFEN	TRENNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	306	24	5	S nimmt Wert, Posten, Ausgang, Ziel und Anteil; WÄHLEN deckt diese Objektbreite knapp.
CHD	HANDLUNG	BEARBEITEN	KEEP	UMSETZEN	ABSCHLIESSEN	als allgemeinen Arbeitsgang lesen; genaue Technik kommt von Hülle und Besitzer	301	16	5	207 offene gegen 94 terminale Vorkommen; CHD+Y allein 107-mal, daher Prozesskern statt Transfer- oder Schlusswort
OR	ARGUMENT	EINHEIT	KEEP	ANSATZ	BESTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	266	24	5	ANSATZ wäre in Bio/Himmel zu eng
L	BEZIEHUNG	VERBINDUNG	KEEP	MIT	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	270	20	5	VERBINDUNG hält als neutraler Relationsname; MIT ist zu grammatisch eng.
T	HANDLUNG	EINSTELLEN	KEEP	ORDNEN	BESTIMMEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	296	24	5	EINSTELLEN deckt Wert-, Grad- und Zielkomplemente am gleichmäßigsten.
AIN	ARGUMENT	ANTEIL	KEEP	PORTION	TEIL	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	240	20	5	PORTION wäre in Himmels-/Adresskontexten zu stofflich
R	HANDLUNG	MARKIEREN	KEEP	VERWEISEN	KENNZEICHNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	114	22	5	MARKIEREN ist der kürzeste gemeinsame Wert für Kopf- und Schwanzlage.
P	HANDLUNG	EINSETZEN	KEEP	BEGINNEN	EINBRINGEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	160	24	5	BEGINNEN scheitert: P steht häufiger medial als initial; EINSETZEN bleibt.
AIR	BEZIEHUNG	BAHN	KEEP	LAUF	WEG	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	43	16	5	Ein neutraler Kurs-/Leitungsraum passt zu neun Köpfen, fünf Registern und Ring wie Becken.
