component_recipe	event_count	family_class	surface_counts	page_count	pages	register_count	register_counts	selected_atomic_reading_de
CHD+Y	107	BARE_CHD_Y	chedy:90|chdy:16|chedchy:1	13	f1r|f55v|f56r|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	5	BIOLOGICAL:96|HERBAL:7|CELESTIAL:2|SOURCE_SECTION_T:1|PHARMA:1	BEARBEITEN · POSTEN
L+CHD+DY	34	TERMINAL_DY	lchedy:34	7	f75r|f76r|f77r|f81r|f81v|f82r|f83r	1	BIOLOGICAL:34	VERBINDUNG · BEARBEITEN · SCHLUSS
OL+CHD+DY	13	TERMINAL_DY	olchedy:7|qolchedy:5|olchdy:1	6	f75r|f76r|f77r|f81v|f82r|f83r	1	BIOLOGICAL:13	FORTSETZEN · BEARBEITEN · SCHLUSS
P+CHD+DY	10	TERMINAL_DY	pchedy:10	6	f75r|f76r|f77r|f81r|f81v|f82r	1	BIOLOGICAL:10	EINSETZEN · BEARBEITEN · SCHLUSS
OK+CHD+DY	9	TERMINAL_DY	qokchdy:6|okchedy:2|okchdy:1	5	f75r|f76r|f81v|f83r|f95v	2	BIOLOGICAL:8|HERBAL:1	SETZEN · BEARBEITEN · SCHLUSS
CHD+AIIN	8	OPEN_ARGUMENT_OR_RELATION	chedaiin:8	5	f67r2|f72r|f77r|f83r|f95v	3	BIOLOGICAL:5|CELESTIAL:2|HERBAL:1	BEARBEITEN · WERT
CARRIER_Q+O+P+CHD+Y	6	OPEN_ARGUMENT_OR_RELATION	qopchedy:6	4	f76r|f77r|f81r|f83r	1	BIOLOGICAL:6	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · BEARBEITEN · POSTEN
AL+CHD+DY	5	TERMINAL_DY	dalchdy:2|alchdy:1|dalchedy:1|dalchom:1	5	f72r|f76r|f77r|f83r|f89r	3	BIOLOGICAL:3|CELESTIAL:1|PHARMA:1	ZIELORT · BEARBEITEN · SCHLUSS
OT+CHD+DY	5	TERMINAL_DY	qotchedy:2|otchdy:2|otchedy:1	2	f83r|f95v	2	BIOLOGICAL:4|HERBAL:1	DANACH · BEARBEITEN · SCHLUSS
T+CHD+Y	5	OPEN_ARGUMENT_OR_RELATION	tchedy:5	3	f75r|f83r|f95v	2	BIOLOGICAL:4|HERBAL:1	EINSTELLEN · BEARBEITEN · POSTEN
CHD+AIN	4	OPEN_ARGUMENT_OR_RELATION	chedain:4	4	f76r|f83r|f89r|f95v	3	BIOLOGICAL:2|PHARMA:1|HERBAL:1	BEARBEITEN · ANTEIL
CHD+DY	4	TERMINAL_DY	schedy:2|dchdy:2	3	f81v|f83r|f95v	2	BIOLOGICAL:3|HERBAL:1	BEARBEITEN · SCHLUSS
D_ADDR+CHD+Y	4	OPEN_ARGUMENT_OR_RELATION	dchedy:4	4	f75r|f81r|f81v|f82r	1	BIOLOGICAL:4	HIER · BEARBEITEN · POSTEN
OK+CHD+Y	4	OPEN_ARGUMENT_OR_RELATION	qokchedy:4	2	f81r|f83r	1	BIOLOGICAL:4	SETZEN · BEARBEITEN · POSTEN
