relation_id	label_locus	target_page	edition	token	family_surface	page_host	wrapper	inner_d	local_frame	right_family	dy_closure	b3	query_representation_provenance	semantic_role
RP01	f89v2.6	f48v	ZL3b	chokam	KAQAB	oka	ch	0	NONE	NONE	0	1	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP01	f89v2.6	f48v	IT2a	chokam	KAQAB	oka	ch	0	NONE	NONE	0	1	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP01	f89v2.6	f48v	RF1b	chokam	KAQAB	oka	ch	0	NONE	NONE	0	1	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP02	f102r2.21	f18v	ZL3b	koldarod	QABBACAB	koldarod	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP02	f102r2.21	f18v	IT2a	koldarod	QABBACAB	koldarod	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP02	f102r2.21	f18v	RF1b	koldarod	QABBACAB	koldarod	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP03	f102r2.22	f23r	ZL3b	odalydary	ABABABACA	odalydary	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP03	f102r2.22	f23r	IT2a	odalydary	ABABABACA	odalydary	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP03	f102r2.22	f23r	RF1b	odalydyry	ABABABACA	odalydyry	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP04	f102v1.17	f19r	ZL3b	loralody	BACABABA	loralo	NONE	0	NONE	NONE	1	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP04	f102v1.17	f19r	IT2a	loralody	BACABABA	loralo	NONE	0	NONE	NONE	1	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP04	f102v1.17	f19r	RF1b	losalody	BACABABA	losalo	NONE	0	NONE	NONE	1	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP05	f102r1.2	f37v	ZL3b	otodeeodor	AQABKABAC	otodeeodor	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP05	f102r1.2	f37v	IT2a	otodeeodor	AQABKABAC	otodeeodor	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
RP05	f102r1.2	f37v	RF1b	otodeeodor	AQABKABAC	otodeeodor	NONE	0	NONE	NONE	0	0	PUBLISHED_NEAREST_BASIC_DISPLAY_PLUS_SOURCE_FAMILY	UNASSIGNED
