representation	train_unhedged_loci	test_hedged_loci	positive_test_loci	baseline_bits	held_bits	gain_bits	positive_gain_folios	folio_gains	exact_local_p	exact_max_representation_p	selector_paid_gain_bits
RAW_CHAR3	83	35	4	26.0827060196	21.5637594233	4.51894659627	5	f100:0.474179;f102:0.779208;f88:0.347956;f89:2.795979;f99:0.121625	0.000534188034188	0.0101495726496	1.19701850138
PAGE_HOST_CHAR3	83	35	4	26.0827060196	21.7965732042	4.28613281544	4	f100:-0.460108;f102:1.005087;f88:0.417563;f89:2.836366;f99:0.487224	0.0106837606838	0.0101495726496	0.964204720548
HOST_B3_JOINT	83	35	4	26.0827060196	32.2480536568	-6.16534763714	0	f100:-2.041191;f102:-0.207145;f88:-0.998725;f89:-0.886470;f99:-2.031816	0.461538461538	0.0101495726496	-9.48727573203
HOST_RIGHT_JOINT	83	35	4	26.0827060196	33.1885387896	-7.10583276997	0	f100:-2.041191;f102:-0.207145;f88:-0.998725;f89:-1.588362;f99:-2.270409	0.705128205128	0.0101495726496	-10.4277608649
COMPILER_SIGNATURE	83	35	4	26.0827060196	34.0850617476	-8.00235572795	0	f100:-0.012296;f102:-0.028782;f88:-4.584506;f89:-1.016856;f99:-2.359916	0.123397435897	0.0101495726496	-11.3242838228
HOST_WRAPPER_JOINT	83	35	4	26.0827060196	34.4458972497	-8.36319123006	0	f100:-2.041191;f102:-0.207145;f88:-0.998725;f89:-1.831313;f99:-3.284817	0.705128205128	0.0101495726496	-11.6851193249
HOST_WRAPPER_RIGHT_JOINT	83	35	4	26.0827060196	35.1477893958	-9.06508337623	0	f100:-2.041191;f102:-0.207145;f88:-0.998725;f89:-2.533205;f99:-3.284817	1	0.0101495726496	-12.3870114711
WRAPPER_ONLY	83	35	4	26.0827060196	37.5329852535	-11.4502792339	0	f100:-2.420870;f102:-0.536193;f88:-1.027939;f89:-2.519428;f99:-4.945850	0.358974358974	0.0101495726496	-14.7722073288
RIGHT_ONLY	83	35	4	26.0827060196	38.6593501007	-12.5766440811	0	f100:-4.001434;f102:-0.536193;f88:-1.868814;f89:-2.720662;f99:-3.449540	0.235576923077	0.0101495726496	-15.898572176
B3_ONLY	83	35	4	26.0827060196	40.6243366613	-14.5416306417	0	f100:-5.542795;f102:-0.536193;f88:-1.333957;f89:-4.421192;f99:-2.707494	0.908653846154	0.0101495726496	-17.8635587365
