locus	register	physical_role	surface	candidate_page_role	translation_status
f57v.1	X1	OUTSIDE_START_LABEL	ZL:dairal;IT:dairol;RF:dairol	TITLE_OR_START_MARKER	UNTRANSLATED
f57v.2	R1	OUTER_CIRCULAR_TEXT	OPAQUE_CIRCULAR_SEQUENCE	COMMENTARY_OR_LEGEND	UNTRANSLATED
f57v.3	R2	FOUR_BY_SEVENTEEN_REPEATED_TABLE	FOUR_PERIODS_WITH_STABLE_SLOT9_F_F_P_P	FOUR_ELEMENT_PROPERTY_TABLE	PARTIAL_ROLE_READING
f57v.4	R3	MIDDLE_CIRCULAR_TEXT	OPAQUE_CIRCULAR_SEQUENCE	COMMENTARY_OR_LEGEND	UNTRANSLATED
f57v.5	R4	INNER_CIRCULAR_TEXT	OPAQUE_CIRCULAR_SEQUENCE	COMMENTARY_OR_LEGEND	UNTRANSLATED
f57v.6	N1	FIGURE_NEAR_LABEL	ZL:otodara[g:m];IT:otodarod;RF:otodarag	HOT_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.7	N1	FIGURE_NEAR_LABEL	ZL:oparairdly;IT:oparairdly;RF:oparairdly	MOIST_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.8	N1	FIGURE_NEAR_LABEL	ZL:olkeedal;IT:olkchdal;RF:olkchdal	COLD_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.9	N1	FIGURE_NEAR_LABEL	ZL:otardaly;IT:otardaly;RF:otardaly	DRY_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.10	D1	INTERFIGURE_RADIAL_TITLE	ZL:ark[a:o]ldy;IT:ackaldy;RF:askaldy	DRY_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.11	D1	INTERFIGURE_RADIAL_TITLE	ZL:ara?arar;IT:oralaror;RF:aralarar	HOT_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.12	D1	INTERFIGURE_RADIAL_TITLE	ZL:okeely;IT:okchoy;RF:okeely	MOIST_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
f57v.13	D1	INTERFIGURE_RADIAL_TITLE	ZL:ocfhor,okear;IT:ocfhor.okear;RF:ocfhor.okear	COLD_QUALITY_POSITION	PROVISIONAL_PAGE_LOCAL_ROLE_READING
