counterexample_type	physical_folio	eligible_loci	gain_bits	interpretation
HELD_FOLIO_BEHAVIOR_GAIN	f102	6	-18.6367419585	NEGATIVE_FOLIO
HELD_FOLIO_BEHAVIOR_GAIN	f101	10	-14.6107997259	NEGATIVE_FOLIO
HELD_FOLIO_BEHAVIOR_GAIN	f100	4	-2.86198908791	NEGATIVE_FOLIO
HELD_FOLIO_BEHAVIOR_GAIN	f88	1	-2.31337151216	NEGATIVE_FOLIO
HELD_FOLIO_BEHAVIOR_GAIN	f99	7	0.868284780481	POSITIVE_FOLIO
HELD_FOLIO_BEHAVIOR_GAIN	f89	3	4.23314647617	POSITIVE_FOLIO
ARCHIVE_POSTSELECTION	ALL	31	NA	GDT068 model and GDT109 target both previously exposed; no fresh confirmation.
FORMAL_COVERAGE	ALL	13	NA	13/44 target loci lack a completely behavior-profileable reading and are excluded by the frozen source-only rule.
READING_STABILITY	ALL	15	NA	Only 15/44 loci have all three alternate readings profileable.
RAW_READING_SENSITIVITY	ALL	15	-6.30612759768	The small primary raw lead reverses on the all-three-readings-profileable sensitivity.
