locus	page	physical_folio	section	currier	hand	paragraph_start	group_count	first_token	first_page_host	first_token_cross_folio_recurrent	first_page_host_cross_folio_recurrent	semantic_role
f75r.3	f75r	f75	B	B	2	0	9	qokain	ok	1	1	UNASSIGNED
f75r.7	f75r	f75	B	B	2	0	9	pchedy	pche	1	1	UNASSIGNED
f75r.9	f75r	f75	B	B	2	0	9	qokchdy	okch	1	1	UNASSIGNED
f75r.10	f75r	f75	B	B	2	0	10	dshor	shor	0	0	UNASSIGNED
f75r.13	f75r	f75	B	B	2	0	8	pchedy	pche	1	1	UNASSIGNED
f75r.17	f75r	f75	B	B	2	0	9	pchedar	pched	0	1	UNASSIGNED
f75r.18	f75r	f75	B	B	2	0	9	sol	l	1	1	UNASSIGNED
f75r.24	f75r	f75	B	B	2	0	7	qokain	ok	1	1	UNASSIGNED
f75r.31	f75r	f75	B	B	2	0	9	dshedy	she	1	1	UNASSIGNED
f75r.38	f75r	f75	B	B	2	0	6	qokeedy	okee	1	1	UNASSIGNED
f75r.40	f75r	f75	B	B	2	0	7	dar	ar	0	1	UNASSIGNED
f75r.43	f75r	f75	B	B	2	0	7	yshedy	yshe	1	1	UNASSIGNED
f75r.47	f75r	f75	B	B	2	1	2	sal	al	1	1	UNASSIGNED
f75r.48	f75r	f75	B	B	2	0	2	daly	aly	0	0	UNASSIGNED
f75r.50	f75r	f75	B	B	2	0	1	ychty	ychty	0	0	UNASSIGNED
f75r.51	f75r	f75	B	B	2	0	1	saino	aino	0	0	UNASSIGNED
f75r.52	f75r	f75	B	B	2	0	1	saldy	al	0	1	UNASSIGNED
f75r.53	f75r	f75	B	B	2	0	1	dainy	ainy	0	0	UNASSIGNED
f75v.14	f75v	f75	B	B	2	0	10	qol	l	1	1	UNASSIGNED
f75v.39	f75v	f75	B	B	2	0	12	qoqokeey	oqokeey	0	0	UNASSIGNED
f75v.45	f75v	f75	B	B	2	0	12	yshey	yshey	0	0	UNASSIGNED
f75v.46	f75v	f75	B	B	2	0	10	ychey	ychey	0	0	UNASSIGNED
f75v.60	f75v	f75	B	B	2	1	6	kolkedy	kolke	0	0	UNASSIGNED
f75v.67	f75v	f75	B	B	2	0	4	ykeedy	ykee	1	1	UNASSIGNED
f75v.69	f75v	f75	B	B	2	0	5	okeshey	okeshey	0	0	UNASSIGNED
f75v.70	f75v	f75	B	B	2	0	4	qokey	okey	0	0	UNASSIGNED
f76v.6	f76v	f76	B	B	2	0	10	qotees	ees	0	0	UNASSIGNED
f76v.9	f76v	f76	B	B	2	0	7	sheor	eor	1	1	UNASSIGNED
f76v.11	f76v	f76	B	B	2	0	10	cheor	or	0	1	UNASSIGNED
f76v.13	f76v	f76	B	B	2	0	11	saiin	aiin	1	1	UNASSIGNED
