page	unit	locus_a	locus_b	raw_a	raw_b	prefix_a	prefix_b	residual_a	residual_b	raw_similarity	residual_similarity	delta_residual_minus_raw	raw_common_prefix	residual_common_prefix	both_residual_nonempty	claim_state
f75v	N1	f75v.22	f75v.32	BABBA	BABBA	NONE	NONE	BABBA	BABBA	1.000000000000	1.000000000000	0.000000000000	5	5	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f80r	N1	f80r.3	f80r.4	AQABA	AQABA	AQAB	AQAB	A	A	1.000000000000	1.000000000000	0.000000000000	5	1	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f82v	N1	f82v.2	f82v.4	AQJBA	AQJBAB	NONE	NONE	AQJBA	AQJBAB	0.833333333333	0.833333333333	0.000000000000	5	5	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f82v	X2	f82v.43	f82v.47	AQJBAC	AQJBAB	NONE	NONE	AQJBAC	AQJBAB	0.833333333333	0.833333333333	0.000000000000	5	5	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f75v	N1	f75v.21	f75v.30	BACAB	BACA	NONE	NONE	BACAB	BACA	0.800000000000	0.800000000000	0.000000000000	4	4	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f80r	N1	f80r.5	f80r.9	AQACA	AQAC	AQAC	AQAC	A	EMPTY	0.800000000000	0.000000000000	-0.800000000000	4	0	0	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f82r	X1	f82r.35	f82r.38	BACAB	BACACA	NONE	NONE	BACAB	BACACA	0.666666666667	0.666666666667	0.000000000000	4	4	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f82r	N1	f82r.36	f82r.37	AQAB	AQABBA	AQAB	AQAB	EMPTY	BA	0.666666666667	0.000000000000	-0.666666666667	4	0	0	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f78r	X1	f78r.1	f78r.2	AQKBBBBA	AQKBA	NONE	NONE	AQKBBBBA	AQKBA	0.625000000000	0.625000000000	0.000000000000	4	4	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f80r	N1	f80r.3	f80r.8	AQABA	AQABLJBA	AQAB	AQAB	A	LJBA	0.625000000000	0.250000000000	-0.375000000000	4	0	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
f80r	N1	f80r.4	f80r.8	AQABA	AQABLJBA	AQAB	AQAB	A	LJBA	0.625000000000	0.250000000000	-0.375000000000	4	0	1	REGISTER_RESIDUAL_MECHANISM_DIAGNOSTIC_NO_GLOSS
