model	events	dy_boundaries	nuisance_bits	held_bits	gain_vs_nuisance_bits	selector_paid_gain_bits	gain_on_dy_bits	gain_on_non_dy_bits	average_precision	positive_gain_folios	positive_gain_registers	min_folio_gain	max_folio_gain
PREV_HOST_FINAL	12645	2255	6814.43886284	2155.48968471	4658.94917813	4655.62725003	2797.43886993	1861.5103082	0.946819440471	83	5	-5.88975052554	272.524716274
PREV_PAGE_HOST_CHAR3	12645	2255	6814.43886284	3047.25336977	3767.18549306	3763.86356497	1784.26307316	1982.9224199	0.905385307969	66	4	-13.2351342583	235.415538108
NEXT_PREV_PAGE_HOST_EDGE_PAIR	12645	2255	6814.43886284	3126.65891406	3687.77994877	3684.45802068	1534.96354233	2152.81640644	0.924081125609	57	3	-28.5750049457	271.989177095
NEXT_PREV_PAGE_HOST_CHAR3	12645	2255	6814.43886284	3907.75574213	2906.6831207	2903.36119261	689.630990767	2217.05212994	0.88646942816	58	3	-32.9274283308	205.490630953
NEXT_PAGE_HOST_EDGE_PAIR	12645	2255	6814.43886284	4683.15415133	2131.28471151	2127.96278341	71.6697027864	2059.61500872	0.83227409216	57	4	-25.6884137768	164.366284433
NEXT_COMPILER	12645	2255	6814.43886284	6814.43886284	0	-3.32192809489	0	0	0.452155775916	0	0	0	0
NUISANCE	12645	2255	6814.43886284	6814.43886284	0	-3.32192809489	0	0	0.452155775916	0	0	0	0
NEXT_HOST_FINAL	12645	2255	6814.43886284	6868.92716361	-54.4883007721	-57.810228867	33.114195027	-87.6024957991	0.463377002878	41	2	-13.0921419238	7.31682408438
NEXT_PAGE_HOST_CHAR3	12645	2255	6814.43886284	8448.80698872	-1634.36812588	-1637.69005398	-2964.0908327	1329.72270682	0.425381459684	23	0	-115.89153853	11.0667481249
NEXT_RAW_CHAR3	12645	2255	6814.43886284	9194.3711948	-2379.93233196	-2383.25426006	-3566.62420171	1186.69186975	0.443603057095	17	0	-143.942179079	15.6413307021
