descriptor_token	representation	positive_loci	gain_bits	positive_gain_folios
level	RIGHT_ONLY	12	16.707131682	4
ground	B3_ONLY	9	15.9517414302	4
level	B3_ONLY	12	15.68434538	4
ground	RIGHT_ONLY	9	15.5901179068	4
level	RAW_CHAR3	12	13.6809557476	5
ground	RAW_CHAR3	9	11.7163512097	5
dark	HOST_B3_JOINT	46	7.01192094078	5
level	COMPILER_SIGNATURE	12	6.70646431329	3
level	PAGE_HOST_CHAR3	12	6.45180821926	4
ground	PAGE_HOST_CHAR3	9	5.95731497819	3
flower	PAGE_HOST_CHAR3	4	4.99932202107	4
large	HOST_WRAPPER_JOINT	6	4.92411523844	3
large	HOST_WRAPPER_RIGHT_JOINT	6	4.92411523844	3
dark	HOST_RIGHT_JOINT	46	3.52601596001	5
dark	HOST_WRAPPER_JOINT	46	3.31900183807	3
dark	HOST_WRAPPER_RIGHT_JOINT	46	3.31900183807	3
leaf	HOST_RIGHT_JOINT	42	3.09118138725	3
leaf	HOST_WRAPPER_JOINT	42	2.51152689207	2
leaf	HOST_WRAPPER_RIGHT_JOINT	42	2.51152689207	2
stem	PAGE_HOST_CHAR3	23	2.40826395586	3
level	HOST_RIGHT_JOINT	12	2.23496744384	5
large	HOST_B3_JOINT	6	2.01356062242	4
stem	HOST_RIGHT_JOINT	23	1.85144476746	4
dark	PAGE_HOST_CHAR3	46	1.78659022091	3
leaf	PAGE_HOST_CHAR3	42	1.73061735858	3
stem	HOST_WRAPPER_JOINT	23	1.72909058324	3
stem	HOST_WRAPPER_RIGHT_JOINT	23	1.72909058324	3
ground	HOST_RIGHT_JOINT	9	1.70524128839	5
large	HOST_RIGHT_JOINT	6	1.66084214935	4
edge	HOST_B3_JOINT	8	1.62373474037	5
stem	B3_ONLY	23	1.40847225285	4
leaf	HOST_B3_JOINT	42	1.29138506332	3
edge	HOST_RIGHT_JOINT	8	1.15622879243	5
level	HOST_WRAPPER_JOINT	12	1.09413530181	3
level	HOST_WRAPPER_RIGHT_JOINT	12	1.09413530181	3
edge	PAGE_HOST_CHAR3	8	1.01573912041	4
many	HOST_B3_JOINT	4	0.977402021178	5
round	HOST_B3_JOINT	4	0.938834982882	5
serrated	HOST_B3_JOINT	4	0.938834982882	5
flower	HOST_B3_JOINT	4	0.932684890673	5
ground	HOST_WRAPPER_JOINT	9	0.838695297173	3
ground	HOST_WRAPPER_RIGHT_JOINT	9	0.838695297173	3
base	HOST_WRAPPER_JOINT	11	0.78508774231	3
base	HOST_WRAPPER_RIGHT_JOINT	11	0.78508774231	3
many	HOST_RIGHT_JOINT	4	0.76754065112	5
ground	COMPILER_SIGNATURE	9	0.73690952643	2
flower	HOST_RIGHT_JOINT	4	0.72277077503	5
round	HOST_RIGHT_JOINT	4	0.713694151922	5
serrated	HOST_RIGHT_JOINT	4	0.713694151922	5
light	RIGHT_ONLY	36	0.597524913744	3
shaped	HOST_WRAPPER_JOINT	7	0.560300868713	3
shaped	HOST_WRAPPER_RIGHT_JOINT	7	0.560300868713	3
edge	HOST_WRAPPER_JOINT	8	0.512019078035	3
edge	HOST_WRAPPER_RIGHT_JOINT	8	0.512019078035	3
