locus	page	physical_folio	group_index	token	family_surface	record_state	source_family_roles	residual_host_roles	union_roles	source_family_features	residual_host_features	claim_state
f100r.22	f100r	f100	7	shey	ACJCA	CARRIER_STATE	REL_ENCLOSURE		REL_ENCLOSURE	F2:CJ		FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100r.24	f100r	f100	1	saiichor	CAFKAC	ENTRY_STATE	REL_ENCLOSURE	REL_ENCLOSURE|REL_EXPLICIT_ATTACHMENT	REL_ENCLOSURE|REL_EXPLICIT_ATTACHMENT	F3:CAF	H3:hor	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100r.25	f100r	f100	4	daiin	BAG	ENTRY_STATE	STAR_OR_SKY	STAR_OR_SKY	STAR_OR_SKY	FAMILY_EXACT:BAG	HOST_EXACT:aiin	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100r.25	f100r	f100	6	olcheol	ABKJAB	OL_STATE	REL_EXPLICIT_ATTACHMENT	REL_EXPLICIT_ATTACHMENT	REL_EXPLICIT_ATTACHMENT	F3:BKJ	H3:olc	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100r.25	f100r	f100	9	cheockhy	KJAUA	CARRIER_STATE	REL_EXPLICIT_ATTACHMENT		REL_EXPLICIT_ATTACHMENT	F3:UA$		FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100r.27	f100r	f100	5	otolchey	AQABKJA	OT_OL_LOCAL	REL_EXPLICIT_ATTACHMENT	REL_EXPLICIT_ATTACHMENT	REL_EXPLICIT_ATTACHMENT	F3:BKJ	H3:olc	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100v.15	f100v	f100	3	dair	BAF	ENTRY_STATE		REL_ENCLOSURE	REL_ENCLOSURE		H3:air	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100v.15	f100v	f100	6	qoolkeey	DAABQKA	O_OL_LOCAL	FIGURE|REL_PROXIMITY|STAR_OR_SKY|WATER_OR_APPARATUS	FIGURE|REL_PROXIMITY	FIGURE|REL_PROXIMITY|STAR_OR_SKY|WATER_OR_APPARATUS	F2:AA|F2:BQ|F3:ABQ|F3:BQK	H2:lk|H3:olk	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100v.20	f100v	f100	1	ycheoky	AKJAQA	OTHER		PLANT	PLANT		H3:oky	FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
f100v.20	f100v	f100	4	chokeol	KAQJAB	OL_STATE	PLANT		PLANT	F3:KAQ		FULL_CENSUS_FORMAL_ANCHOR_MATCH_NOT_MEANING
