locus	page	physical_folio	array_id	ordinal	visual_state	dy	right	dy_or_right	b3	wrapper	frame	zl3b_hosts	it2a_hosts	rf1b_hosts	reading_policy	semantic_role
f100r.6	f100r	f100	F100R_L2	1	CLEAR_GAP	0	0	0	0	0	0	oraro	osaro	oraro	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100r.7	f100r	f100	F100R_L2	2	CONTACT	0	1	1	0	1	0	als	als	eeals	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100r.8	f100r	f100	F100R_L2	3	CLEAR_GAP	0	0	0	0	1	0	oity	oity	oity	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100r.9	f100r	f100	F100R_L2	4	CLEAR_GAP	0	0	0	1	1	0	osa	osa	osa	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100r.10	f100r	f100	F100R_L2	5	CLEAR_GAP	0	0	0	0	1	0	akocth	akocth	akocth	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100r.11	f100r	f100	F100R_L2	6	CLEAR_GAP	0	0	0	0	1	0	ofa	of	ofag	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100v.1	f100v	f100	F100V_L1	1	CLEAR_GAP	0	0	0	0	1	1	lchd	lchd	lchd	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100v.2	f100v	f100	F100V_L1	2	CLEAR_GAP	0	0	0	0	1	0	ols	ols	ols	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100v.3	f100v	f100	F100V_L1	3	CLEAR_GAP	0	0	0	0	0	0	opchor	opchor	opchor	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f100v.4	f100v	f100	F100V_L1	4	CLEAR_GAP	0	0	0	0	1	0	olsy	rolsy	olsy	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f89r2.32	f89r2	f89	F89R2_L4	1	CONTACT	0	0	0	0	0	0	otalsy	otalsy	otalsy	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f89r2.33	f89r2	f89	F89R2_L4	2	UNCERTAIN	0	0	0	1	0	0	ytare	ytare	ytase	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f89r2.34	f89r2	f89	F89R2_L4	3	CONTACT	0	0	0	0	0	0	otolarol	otolarol	otolarol	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f99v.2	f99v	f99	F99V_L1	1	CLEAR_GAP	1	0	1	0	0	1	ol	ol	ol	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f99v.3	f99v	f99	F99V_L1	2	CONTACT	0	0	0	0	1	1	or|y	or|y	ot|y	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f99v.4	f99v	f99	F99V_L1	3	CLEAR_GAP	1	0	1	0	0	1	l	l	l	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f99v.5	f99v	f99	F99V_L1	4	CONTACT	0	0	0	0	1	0	ar|ary	ar|ary	as|ary	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
f99v.6	f99v	f99	F99V_L1	5	CONTACT	0	0	0	0	0	0	otaly	otaly	otaly	TWO_OF_THREE_BINARY_MAJORITY;AVERAGED_COUNTERS_FOR_PREDICTION	UNASSIGNED
