edition	model	eligible_records	candidate_strata	top1_accuracy	null_top1_expectation	mrr	null_mrr_mean	pairwise_accuracy	top1_local_p	top1_max_four_p	mrr_local_p	mrr_max_four_p
ZL3b	WRAPPER7	99	44	0.525252525253	0.444444444444	0.750000000000	0.701165750934	0.601449275362	0.043202343178	0.180864046864	0.020502806932	0.094459360508
ZL3b	COMPILER12	99	44	0.585858585859	0.444444444444	0.777777777778	0.700530286590	0.637681159420	0.002196729314	0.005369782768	0.001952648279	0.003417134489
ZL3b	EDGE29	99	44	0.464646464646	0.444444444444	0.704377104377	0.701868086792	0.478260869565	0.377837442031	0.758359775445	0.465218452526	0.838418354894
ZL3b	RAW_CHAR3_HASH32	99	44	0.474747474747	0.444444444444	0.714141414141	0.701152064262	0.514492753623	0.286307053942	0.671222845985	0.301684159141	0.690749328777
IT2a	WRAPPER7	99	43	0.555555555556	0.434343434343	0.759259259259	0.692957776002	0.611111111111	0.004637539663	0.016841591408	0.002684891384	0.010007322431
IT2a	COMPILER12	99	43	0.474747474747	0.434343434343	0.724747474747	0.692990245883	0.583333333333	0.225774957286	0.515743226751	0.106175250183	0.272394434952
IT2a	EDGE29	99	43	0.474747474747	0.434343434343	0.717003367003	0.692619267216	0.534722222222	0.183060776178	0.515743226751	0.145960458872	0.412252867952
IT2a	RAW_CHAR3_HASH32	99	43	0.393939393939	0.434343434343	0.674242424242	0.693206437750	0.486111111111	0.861850134245	0.994386136197	0.797412741030	0.987795948255
RF1b	WRAPPER7	99	43	0.515151515152	0.434343434343	0.736531986532	0.692375743108	0.575342465753	0.039052965585	0.158652672687	0.029777886258	0.123993165731
RF1b	COMPILER12	99	43	0.545454545455	0.434343434343	0.758417508418	0.692367810593	0.630136986301	0.013912618990	0.032462777642	0.007322431047	0.013424456920
RF1b	EDGE29	99	43	0.464646464646	0.434343434343	0.706902356902	0.692413679438	0.513698630137	0.288015621186	0.674395899439	0.279228703930	0.653649011472
RF1b	RAW_CHAR3_HASH32	99	43	0.434343434343	0.434343434343	0.688888888889	0.691911999224	0.486301369863	0.534781547474	0.917988772272	0.554308030266	0.925067122285
