candidate_rank	page_host	external_axis	direction	locus	physical_folio	tokens	wrappers	right_families	observed_tags	annotation_certainty	raw_source_description
2	okeey	STAR_OR_SKY	DEPLETED	f72r1.16	f72	okeey	NONE	NONE	FIGURE;REL_EXPLICIT_ATTACHMENT;STAR_OR_SKY	HEDGED	Labels on star/nymph band 2 (inner). || Label at 06:00. Kluge's 04A. Grove's #4. Star/nymph at 05:00?
2	okeey	STAR_OR_SKY	DEPLETED	f72r2.12	f72	okeey	NONE	NONE	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 02:00. Grove's #6. Kluge's 15A. Star/nymph at 02:00?
2	okeey	STAR_OR_SKY	DEPLETED	f72v1.25	f72	okeey	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 2 (inner). || Label at 11:45. Grove's #3. Star/nymph at 11:30?
3	okeey	PLANT	ENRICHED	f67r1.18	f67	okeey	NONE	NONE	REL_ENCLOSURE	UNHEDGED	Radial labels in circle sectors. || At 10:00.
3	okeey	PLANT	ENRICHED	f72r1.16	f72	okeey	NONE	NONE	FIGURE;REL_EXPLICIT_ATTACHMENT;STAR_OR_SKY	HEDGED	Labels on star/nymph band 2 (inner). || Label at 06:00. Kluge's 04A. Grove's #4. Star/nymph at 05:00?
3	okeey	PLANT	ENRICHED	f72r2.12	f72	okeey	NONE	NONE	FIGURE;REL_ENCLOSURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost band inside diagram). || Label at 02:00. Grove's #6. Kluge's 15A. Star/nymph at 02:00?
3	okeey	PLANT	ENRICHED	f72v1.25	f72	okeey	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 2 (inner). || Label at 11:45. Grove's #3. Star/nymph at 11:30?
3	okeey	PLANT	ENRICHED	f75v.51	f75	okeey	NONE	NONE	REL_PROXIMITY;WATER_OR_APPARATUS	HEDGED	Labels above the lower pond. || Line 1, label 2. May be words 3 and 4 of <f75v.P3.24>. May be two labels.
4	d	REL_ENCLOSURE	ENRICHED	f67r2.24	f67	sodar	s	ar	REL_PROXIMITY;STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 00:30, line 2. Grove's T5.2. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.
4	d	REL_ENCLOSURE	ENRICHED	f67r2.39	f67	chedaiin	che	aiin	STAR_OR_SKY	UNHEDGED	Text lines in sectors with moons. || Sector at 05:30, line 2. Grove's T10.2.
4	d	REL_ENCLOSURE	ENRICHED	f69r.45	f69	d	NONE	NONE	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY;STAR_OR_SKY	UNHEDGED	Letter labels on central disk sectors, between star arms. || At 11:30.
4	d	REL_ENCLOSURE	ENRICHED	f72v1.10	f72	odal	NONE	al	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 01:45. Grove's #9. Star/nymph at 01:30?
4	d	REL_ENCLOSURE	ENRICHED	f76r.7	f76	d	NONE	NONE	NONE	UNHEDGED	letter labels
4	d	REL_ENCLOSURE	ENRICHED	f89r2.17	f89	sodar	s	ar	PLANT;REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	HEDGED	Labels on row of plants 3. || There are six plants and six labels. However, given the pattern thus far, it seems safer to assign the first label to the container at left. Either the last plant <f89r2>[3,6] is unlabeled, or the last label is actually two labels. Or perhaps the last word of <f89r2.P3.8> is the plant's label. plant <f89r2>[3,1] spotted? roots, dark leaves with light stripe East of plant <f89r2>[3,1]. Latham's m2.2. Kluge's 41A in <f89v>. Grove's X.19.
5	okaly	REL_ENCLOSURE	ENRICHED	f72v3.17	f72	okaly	NONE	NONE	FIGURE;STAR_OR_SKY	HEDGED	Labels in star/nymph band 1 (outermost) || Label at 08:45. Grove's #17. Star/nymph at 08:30?
