page	physical_folio	currier	hand	illustration_profile	catalogue_prose_lines	paragraph_starts	catalogue_label_presence	formal_lines	formal_groups	DAISY_CUP	BROAD_CALYX	GRASS	ROOT_PLATFORM	LEAVES_ONE_SIDE	FUSED_PARALLEL_LEAVES	BULB_OR_TUBER_ROOT	LARGE_OR_EXTENSIVE_ROOT	MULTIPLE_PLANTS	BLUE_FLOWERS_OR_BUDS	FINGERED_OR_FRILLED_LEAVES	MULTIPLE_STEMS_OR_STALKS	illustrations_sha256	source_url	provenance	semantic_role
f10r	f10	A	1	ALPHA	12	2	0	9	51	0	0	0	0	0	0	0	0	0	0	0	0	2df7c19622dd62e94b6c4ed95ed5243d0bbd50656f09e93f0ad139bfc0163b6f	https://www.voynich.nu/q02/index.html#f10r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f10v	f10	A	1	ALPHA	7	2	0	6	35	0	0	0	0	0	0	0	0	0	0	0	0	585ee6d5e9ebea0193d14b4e4af658f268d07bc91f0093dbe09c2e7269910dd4	https://www.voynich.nu/q02/index.html#f10v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f11r	f11	A	1	ALPHA	7	2	0	5	19	0	0	0	0	0	0	0	0	0	1	0	0	57a2339333e4ebde2621cfe12de3466e577ea2d9778c160000ef4fc69e3fc8ff	https://www.voynich.nu/q02/index.html#f11r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f11v	f11	A	1	ALPHA	6	1	1	4	22	0	0	0	0	0	0	0	0	0	0	0	0	3a3d7d4d9b4fbf3863fb765f1c884c17b66607bc99354cda0bbc61ef1e068acf	https://www.voynich.nu/q02/index.html#f11v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f13r	f13	A	1	ALPHA	10	2	0	5	26	0	0	0	0	0	0	0	0	0	0	0	0	961ae7091c3e7041e4d06c088991fd7f9e82f2b19f119203a37326dd2361c201	https://www.voynich.nu/q02/index.html#f13r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f13v	f13	A	1	ALPHA	10	2	0	7	34	0	0	0	0	0	0	0	0	0	0	0	0	d8ee8b19caef5d3c7e577be765a2fb98cf64a91054b823ab6e767b04942a9a94	https://www.voynich.nu/q02/index.html#f13v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f14r	f14	A	1	MIXED	13	2	0	8	37	0	1	0	0	0	0	0	0	0	0	0	0	878bfc19463e9a306d942b7811f44a10672922d48a0b5d3242e39024ebc28e7b	https://www.voynich.nu/q02/index.html#f14r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f14v	f14	A	1	UNCLASSIFIED	9	1	0	5	27	0	0	0	0	0	0	0	0	0	0	0	1	c0dc5c87cb6ea8af383d9224bd09f4a9a7418c259536b9ad33de210d63f0677b	https://www.voynich.nu/q02/index.html#f14v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f15r	f15	A	1	ALPHA	15	1	0	15	73	0	0	0	0	0	0	0	0	0	0	0	0	bcd9d70bcae76a101f4db7da2a713418d232d73a98bd659cdaf271966c185a82	https://www.voynich.nu/q02/index.html#f15r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f15v	f15	A	1	ALPHA	12	1	0	9	41	0	0	0	0	0	0	0	0	0	0	0	0	53fbca7ab9e01198b3f6ac638097ccef7f639ff3bbb8df2529352b47505d872c	https://www.voynich.nu/q02/index.html#f15v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f16r	f16	A	1	ALPHA	13	3	0	9	37	0	0	0	0	0	0	0	0	0	0	0	0	9d7b9039461e99c5bdbef5d93a5f8f501e32d97a04a166798b214fde113f3c7f	https://www.voynich.nu/q02/index.html#f16r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f16v	f16	A	1	ALPHA	13	2	0	10	48	0	0	0	0	0	0	0	0	0	1	0	0	d20bff3dd144c6953a4b8cfa44bb41d0c6f3be77968a7807001abff3c3966bf7	https://www.voynich.nu/q02/index.html#f16v	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
f17r	f17	A	1	ALPHA	12	3	1	6	24	0	0	0	0	0	0	0	0	0	1	0	0	5605127f037c7e275e58d64cfec057dd315c2d5efad87c2e36e6391f57de01c9	https://www.voynich.nu/q03/index.html#f17r	EXISTING_HUMAN_ANNOTATION	UNASSIGNED
