rank	core	rank_score	hb_count	hb_folios	sb_count	sb_folios	ha_count	ob_count	min_log2_enrichment_vs_ha	min_log2_specificity_vs_ob	lofo_min_ha	lofo_min_ob	hb_sb_abs_log2_rate_difference	target_wrappers	target_states	formal_attribution	annotated_groups	annotated_folios	annotated_object_classes	annotated_relation_classes	grounding_state
1	okair	6.869612252	3	3	7	5	0	2	3.933924526	1.377739674	3.309596362	0.753411510	0.884103898	q:5;NONE:5	Q_OUTER_STATE:5;OTHER:5	UNATTRIBUTED_RESIDUAL	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
2	otar	5.931048003	15	7	44	11	5	35	3.043335743	0.118763485	2.909652929	-0.014919328	0.462102451	NONE:37;q:19;ch:3	OT_AR_LOCAL:59	ANONYMOUS_STATE_DEFINED	1	1	PLANT	REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
3	odain	5.413308586	3	2	15	7	4	2	1.648103422	2.261843572	0.683991877	1.297732027	0.163201817	NONE:6;q:5;che:4;ch:2;sh:1	CARRIER_STATE:7;OTHER:6;Q_OUTER_STATE:5	GDT043_OD_AIN_SHORT_VARIANT	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
4	okain	5.285419421	15	6	90	10	3	125	4.157514890	-1.240930499	3.816924760	-1.581520628	0.562010006	q:58;NONE:41;ch:4;che:2	Q_OUTER_STATE:58;OTHER:41;CARRIER_STATE:6	GENERIC_CURRIER_B_OR_CONTROL_RICH	3	3	FIGURE;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
5	okar	5.280720050	25	8	41	10	3	64	3.594718440	-0.843410650	3.413672385	-1.024456705	1.281025482	NONE:33;q:29;ch:2;sh:1;t:1	AR_REFERENCE:66	ANONYMOUS_STATE_DEFINED	1	1	PLANT	REL_PROXIMITY	SPARSE_SINGLE_CLASS_LABEL_CAPACITY
6	okaiin	5.182588790	31	7	125	11	32	92	1.965585612	0.222315208	1.706638164	-0.036632240	0.010624059	q:76;NONE:74;ch:4;che:2	Q_OUTER_STATE:76;OTHER:74;CARRIER_STATE:6	UNATTRIBUTED_RESIDUAL	4	4	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
7	kain	5.052496155	4	3	12	6	0	17	4.670890120	-0.692649653	4.445137283	-0.918402490	0.509708383	NONE:9;che:3;q:2;sh:1;ch:1	OTHER:9;CARRIER_STATE:5;Q_OUTER_STATE:2	GENERIC_CURRIER_B_OR_CONTROL_RICH	0	0			UNGROUNDED_NO_ANNOTATED_LABEL_HIT
8	olaiin	4.897150525	6	5	9	5	1	6	2.689998943	0.340264969	2.261671701	-0.088062273	1.436151776	NONE:14;s:1	OL_STATE:15	ANONYMOUS_STATE_DEFINED	2	2	FIGURE;PLANT	REL_ARRAY_OR_GROUP;REL_ENCLOSURE;REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
9	okal	4.864356400	14	9	45	10	7	74	2.627937975	-0.918596707	2.356408365	-1.190126317	0.333825926	NONE:29;q:28;s:1;ch:1	AL_STATE:59	ANONYMOUS_STATE_DEFINED	11	6	FIGURE;PLANT;STAR_OR_SKY;WATER_OR_APPARATUS	REL_ARRAY_OR_GROUP;REL_ENCLOSURE;REL_OVERLAP_OR_CONTACT;REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
10	os	4.554872461	6	6	11	6	15	1	-0.403600424	2.731376629	-0.737007296	2.397969757	1.160517333	che:7;ch:7;sh:2;q:1	CARRIER_STATE:16;Q_OUTER_STATE:1	UNATTRIBUTED_RESIDUAL	2	2	PLANT;STAR_OR_SKY	REL_PROXIMITY	VISUAL_OBJECT_DIVERSE_COUNTEREXAMPLE
