host_feature	q_groups	l_groups	q_folios	l_folios	log2_q_vs_l_enrichment	direction	claim_state
ke$	301	0	39	0	8.010677493948	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
lsh	0	54	0	19	-7.993521022729	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
te	275	0	33	0	7.880571810619	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
he$	1	130	1	30	-7.668280193801	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ote	235	0	32	0	7.654246551661	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
she	2	165	1	32	-7.274096009872	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
^ls	0	31	0	16	-7.202616621452	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
sh	3	165	2	32	-6.788669182702	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
te$	126	0	31	0	6.757656876742	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
tee	125	0	27	0	6.746206855999	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ols	0	22	0	11	-6.717189794282	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
oke	520	2	37	2	6.476489560460	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
hed	0	18	0	12	-6.434790063581	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
s	4	166	3	32	-6.434790063581	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
he	4	165	3	32	-6.426099103317	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ls	1	54	1	19	-6.408558522008	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
hee	0	16	0	12	-6.269730817310	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ks	0	16	0	13	-6.269730817310	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ksh	0	16	0	13	-6.269730817310	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
kee	376	2	34	2	6.009241261833	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
^ys	0	12	0	10	-5.869192887727	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ps	0	12	0	9	-5.869192887727	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
psh	0	12	0	9	-5.869192887727	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ys	0	12	0	10	-5.869192887727	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ysh	0	12	0	10	-5.869192887727	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ke	718	5	39	4	5.804076029868	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
kc	61	0	28	0	5.717177807387	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
kch	61	0	28	0	5.717177807387	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ts	0	10	0	9	-5.617654120731	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
tsh	0	10	0	9	-5.617654120731	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
^s	2	42	2	24	-5.312799539202	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
^sh	2	42	2	24	-5.312799539202	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ked	41	0	20	0	5.149702733395	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
okc	40	0	23	0	5.114513304933	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
tc	38	0	18	0	5.041449842743	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
tch	38	0	18	0	5.041449842743	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
lke	105	1	26	1	4.910799990034	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
ch$	93	1	30	1	4.736595261214	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
h$	93	1	30	1	4.736595261214	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
^e$	20	228	16	33	-4.703835048392	L	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
yte	29	0	17	0	4.657306351410	Q	ORTHOGRAPHIC_HOST_COMPATIBILITY_NOT_MEANING
