axis	metric	placement	comparability	reason
HOST_RECOVERY	held_host_accuracy	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	NOT_COMPARABLE_NO_VOYNICH_ORACLE	Voynich has no lexical-ID oracle.
HOST_RECOVERY	exact_true_host_rate	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	NOT_COMPARABLE_NO_VOYNICH_ORACLE	Voynich has no true-host boundary oracle.
HOST_RECURRENCE_PROXY	recurrent_host_mass	OUTSIDE_SYNTHETIC_RANGE	DIRECT_PROXY_NOT_RECOVERY	Exact inferred/PAGE_HOST recurrence; not recovery.
HOST_RECURRENCE_PROXY	cross_folio_host_mass	OUTSIDE_SYNTHETIC_RANGE	DIRECT_PROXY_NOT_RECOVERY	Mass whose exact host occurs on at least two physical folios.
LEFT_RIGHT_COMPATIBILITY	selected_left_operations	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	COUNT_SIZE_DEPENDENT	Frozen cap is twelve.
LEFT_RIGHT_COMPATIBILITY	selected_right_operations	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	COUNT_SIZE_DEPENDENT	Frozen cap is twelve.
LEFT_RIGHT_COMPATIBILITY	compatibility_density	FACTORIAL_B_LIKE	DIRECT	Exact GDT173 surface-operation definition.
LEFT_RIGHT_COMPATIBILITY	null_density	OUTSIDE_SYNTHETIC_RANGE	DIRECT	Null mean compatible pairs divided by the frozen operation-pair denominator.
LEFT_RIGHT_COMPATIBILITY	null_excess	B2_LIKE	DIRECT	Observed density minus null density.
LEFT_RIGHT_COMPATIBILITY	inclusive_p	UNRESOLVED_TEST_TAIL_NOT_ARCHITECTURE	DIRECT_TEST_TAIL	Inferential tail, not an architectural coordinate.
SHORT_HOST_STRUCTURE	length_2_3_mass	OUTSIDE_SYNTHETIC_RANGE	DIRECT	Token-weighted PAGE_HOST/inferred-host mass.
SAME_GROUP_SUBSTITUTION	mean_delta_cosine	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	STRUCTURALLY_ANALOGOUS_HPR2_SIGNATURE	Voynich profile has six frozen HPR2 compiler fields.
EXTERNAL_SUBSTITUTION	mean_delta_cosine	OUTSIDE_SYNTHETIC_RANGE	DIRECT	Exact +/-2 host-window endpoint.
NEXT_HOST	held_gain_bits	OUTSIDE_SYNTHETIC_RANGE	DIRECTION_ONLY_UNEQUAL_CORPUS	Raw bits are not magnitude-comparable.
WHOLE_LINE	held_gain_bits	FACTORIAL_B_LIKE_DIRECTION	DIRECTION_ONLY_UNEQUAL_CORPUS	Raw bits are not magnitude-comparable.
CLOSURE	right_marked_record_end_precision	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	STRUCTURALLY_ANALOGOUS_EDITORIAL_PARAGRAPH_END	HPR2 right marks and editorial paragraph ends differ from synthetic records.
CLOSURE	record_end_right_mark_recall	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	STRUCTURALLY_ANALOGOUS_EDITORIAL_PARAGRAPH_END	HPR2 right marks and editorial paragraph ends differ from synthetic records.
REGISTER_ALIGNMENT	greedy_matched_mean_cosine	UNRESOLVED_NOT_DIRECTLY_COMPARABLE	NOT_DIRECTLY_COMPARABLE_NONPARALLEL_CONTENT	Synthetic renderers share content; Voynich registers do not.
