page	star_ordinal	sheedy_fields	rays	tail	counterexample
f104r	1	o|l|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f104v	6	qotol|sheedy;yshor|sheedy	8	1	PRIMARY_Q_SHEEDY_NOT_EXACT_IN_ALL_READINGS
f104v	11	psheodar|sheedy	8	1	EIGHT_RAYS_WITHOUT_Q_SHEEDY
f106r	14	shaiin|ar|aiin|sheey|lkaiin|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f112v	1	sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f112v	6	ycheol|keeor|olkeeey|chedain|ol|cheedaiin|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f112v	8	polor|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f113v	12	chokor|sheedy	8	1	EIGHT_RAYS_WITHOUT_Q_SHEEDY
f114r	8	cheeo|daiin|sheedy	8	2	EIGHT_RAYS_WITHOUT_Q_SHEEDY
f114v	3	qockhed|skaiin|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f114v	4	sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f115v	5	okeeo|kaiin|lkeeey|lkor|sheedy	8	1	EIGHT_RAYS_WITHOUT_Q_SHEEDY
f115v	9	polor|sheedy	7	1	SHEEDY_WITH_SEVEN_RAYS
f103r	15	qokal|sheedy	8	0	FROZEN_1_TAIL_PREDICTION_FAILED;PRIMARY_Q_SHEEDY_NOT_EXACT_IN_ALL_READINGS
