world_view	scope	side	operation	selected_rank	distinct_hosts	exact_pair_types	synthetic_folios	transformed_occurrences	annotation_rank_adjustment
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	s	1	807	807	176	1294	-3.5730514889471725
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	b	2	32	32	173	81	-2.5167237164579466
CONTROL_P	ALL_PARTITIONED_REGISTERS	LEFT	sb	3	15	15	164	18	-1.4374279666410192
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	y	1	632	632	176	925	-2.633928354553899
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	k	2	382	382	176	521	2.7451816372196878
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	hb	3	63	63	112	95	-4.548477637180755
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	gm	4	28	28	46	33	-4.112445220122803
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	gc	5	23	23	50	37	-4.380830613064778
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	hby	6	22	22	44	25	-0.8551579268371385
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	hc	7	22	22	56	28	-4.217869097978614
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	gh	8	20	20	45	28	-4.477856833091272
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	b	9	17	17	87	58	-4.939190484045509
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	gt	10	17	17	44	23	-2.824790601960174
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	e	11	16	16	81	43	-3.96830739419155
CONTROL_P	ALL_PARTITIONED_REGISTERS	RIGHT	j	12	16	16	68	45	-3.4311147280549035
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	s	1	808	808	176	1296	-3.5499020443462395
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	q	2	190	190	176	951	1.5560587753179047
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	d	3	167	167	175	640	-3.5222824430978865
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	o	4	137	137	176	652	-2.7363539115812596
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	sq	5	93	93	175	171	-1.7862251459012843
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	so	6	84	84	175	137	-1.6792263197932553
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	sd	7	75	75	175	130	-1.5629184887748944
CONTROL_Q	ALL_PARTITIONED_REGISTERS	LEFT	do	8	60	60	153	117	-3.011141602064342
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	y	1	652	652	176	1174	-2.804771983136777
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	k	2	411	411	176	735	2.4986434622307403
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	s	3	144	144	176	921	-4.827705487723856
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	u	4	143	143	173	895	-4.767347119456429
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	t	5	142	142	175	967	-4.967710189741488
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	r	6	125	125	175	545	-5.875512379968492
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	ty	7	74	74	169	138	-1.0165674001661906
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	sy	8	70	70	172	146	-1.0859217048091585
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	uy	9	68	68	171	130	-0.9462771627668922
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	hb	10	63	63	112	95	-4.536157078211214
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	uk	11	47	47	161	75	2.732649621932611
CONTROL_Q	ALL_PARTITIONED_REGISTERS	RIGHT	tk	12	45	45	154	76	2.733331122463437
