candidate	candidate_type	external_axis	loci	feature_loci	feature_positive	feature_negative	axis_positive_without_feature	physical_folios	pooled_risk_difference	informative_strata	eligible_feature_loci	conditional_effect	conditional_z	local_two_sided_p	unhedged_loci	unhedged_conditional_effect	unhedged_local_p	lofo_min_effect	lofo_max_effect	lofo_sign_stable	global_exact_host_wrapper_types	label	bonferroni_all_p
NGRAM_2:yp	NGRAM_2	REL_EXPLICIT_ATTACHMENT	560	5	0	5	102	4	-0.183783783784	1	1	-0.914893617021	-3.27871926215	0.0010427931909	316	-0.9	0.00269979606326	-0.914893617021	0	1	0	LIKELY_PAGE_CONFOUND	1
NGRAM_3:yke	NGRAM_3	REL_EXPLICIT_ATTACHMENT	560	18	0	18	102	7	-0.188191881919	1	1	-0.914893617021	-3.27871926215	0.0010427931909	316	-0.9	0.00269979606326	-0.914893617021	0	1	0	LIKELY_PAGE_CONFOUND	1
PREFIX_2:yp	PREFIX_2	REL_EXPLICIT_ATTACHMENT	560	5	0	5	102	4	-0.183783783784	1	1	-0.914893617021	-3.27871926215	0.0010427931909	316	-0.9	0.00269979606326	-0.914893617021	0	1	0	LIKELY_PAGE_CONFOUND	1
PREFIX_3:yke	PREFIX_3	REL_EXPLICIT_ATTACHMENT	560	18	0	18	102	7	-0.188191881919	1	1	-0.914893617021	-3.27871926215	0.0010427931909	316	-0.9	0.00269979606326	-0.914893617021	0	1	0	LIKELY_PAGE_CONFOUND	1
NGRAM_3:tch	NGRAM_3	REL_EXPLICIT_ATTACHMENT	560	5	3	2	99	4	0.421621621622	2	3	0.596996245307	3.16049328044	0.00157502237989	316	0.1	0.738882680364	0.0851063829787	0.852941176471	1	0	WEAK	1
EXACT:d	EXACT	REL_ENCLOSURE	560	12	6	6	56	7	0.397810218978	3	8	0.404542136003	3.00695224688	0.00263881212231	316	0.7	0.00660126657892	0.149509803922	0.495947315096	1	7	INTERESTING_EXPLORATORY	1
PREFIX_1:d	PREFIX_1	REL_ENCLOSURE	560	12	6	6	56	7	0.397810218978	3	8	0.404542136003	3.00695224688	0.00263881212231	316	0.7	0.00660126657892	0.149509803922	0.495947315096	1	0	INTERESTING_EXPLORATORY	1
EXACT:o	EXACT	REL_ARRAY_OR_GROUP	560	10	1	9	54	6	0.00181818181818	1	1	0.894736842105	2.91547594742	0.00355146480771	316	0	1	0	0.894736842105	1	8	LIKELY_PAGE_CONFOUND	1
EXACT:ot	EXACT	STAR_OR_SKY	560	12	6	6	294	10	-0.036496350365	1	1	0.888888888889	2.82842712475	0.00467773498105	316	0.888888888889	0.00467773498105	0	0.888888888889	1	6	LIKELY_PAGE_CONFOUND	1
SUFFIX_1:t	SUFFIX_1	STAR_OR_SKY	560	14	8	6	292	11	0.03663003663	1	1	0.888888888889	2.82842712475	0.00467773498105	316	0.888888888889	0.00467773498105	0	0.888888888889	1	0	LIKELY_PAGE_CONFOUND	1
SUFFIX_2:ot	SUFFIX_2	STAR_OR_SKY	560	12	6	6	294	10	-0.036496350365	1	1	0.888888888889	2.82842712475	0.00467773498105	316	0.888888888889	0.00467773498105	0	0.888888888889	1	0	LIKELY_PAGE_CONFOUND	1
NGRAM_2:ry	NGRAM_2	REL_ENCLOSURE	560	29	7	22	55	11	0.137801155919	3	6	0.514909509903	2.81215154962	0.00492113109877	316	0.2	0.531786062941	0.265113137454	0.692577030812	1	0	INTERESTING_EXPLORATORY	1
SUFFIX_2:ry	SUFFIX_2	REL_ENCLOSURE	560	29	7	22	55	11	0.137801155919	3	6	0.514909509903	2.81215154962	0.00492113109877	316	0.2	0.531786062941	0.265113137454	0.692577030812	1	0	INTERESTING_EXPLORATORY	1
PREFIX_2:oc	PREFIX_2	REL_EXPLICIT_ATTACHMENT	560	18	8	10	94	7	0.271012710127	3	6	0.335904255319	2.6919857397	0.00710279822574	316	0.1	0.487752031649	0.228085106383	0.8375	1	0	INTERESTING_EXPLORATORY	1
EXACT:ok	EXACT	WATER_OR_APPARATUS	560	19	6	13	41	11	0.240003891429	4	4	0.59375	2.64901465034	0.00807268320808	316	0.857142857143	0.0143058784354	0.569444444444	0.625	1	7	INTERESTING_EXPLORATORY	1
