page	unit	unit_description	locus_a	locus_b	family_expression_a	family_expression_b	family_length_a	family_length_b	leading_common_family_length	trailing_common_family_length	normalized_edit_similarity	exact_family_equal	certainty_a	certainty_b	local_relation_a	local_relation_b	local_comment_a	local_comment_b	claim_state
f75v	N1	Two-line labels near the ten nymphs in the top pond.	f75v.22	f75v.32	BABBA	BABBA	5	5	5	5	1.000000000000	1	UNHEDGED	UNHEDGED			Label L3, line 1.	Label L8, line 1.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f80r	N1	Labels on nymphs along top margin.	f80r.3	f80r.4	AQABA	AQABA	5	5	5	5	1.000000000000	1	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label above nymph 3.	Label high up between nymphs 3 and 4.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f82v	N1	Labels on nymphs at top of page.	f82v.2	f82v.4	AQJBA	AQJBAB	5	6	5	0	0.833333333333	0	UNHEDGED	HEDGED	REL_PROXIMITY	REL_EXPLICIT_ATTACHMENT;REL_PROXIMITY	Label near North nymph.	Label near Northeast nymph. The label may be attached to the right end of the arched structure.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f82v	X2	Non-nymph labels at bottom of page.	f82v.43	f82v.47	AQJBAC	AQJBAB	6	6	5	0	0.833333333333	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label above upper curved channel.	Label between the two curved channels.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f75v	N1	Two-line labels near the ten nymphs in the top pond.	f75v.21	f75v.30	BACAB	BACA	5	4	4	0	0.800000000000	0	UNHEDGED	UNHEDGED			Label L2, line 2.	Label L7, line 1.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f80r	N1	Labels on nymphs along top margin.	f80r.5	f80r.9	AQACA	AQAC	5	4	4	0	0.800000000000	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label high up between nymphs 4 and 5.	Label between nymphs 8 and 9, top.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f82r	X1	"Labels on ""waterfalls"" at bottom of page."	f82r.35	f82r.38	BACAB	BACACA	5	6	4	0	0.666666666667	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label near left waterfall. Grove's #3.	Label near right waterfall. Grove's #2.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f82r	N1	Labels near nymphs at bottom of page.	f82r.36	f82r.37	AQAB	AQABBA	4	6	4	0	0.666666666667	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Top row, between nymph 2 and waterfall. Grove's #7.	Top row, near to nymph 3. Grove's #6.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f78r	X1	Labels on illustrations.	f78r.1	f78r.2	AQKBBBBA	AQKBA	8	5	4	2	0.625000000000	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	"Original line numbers by Stolfi were changed to Grove's. Label near the Northwest ""grapes""."	"Label near the Northeast ""grapes""."	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f80r	N1	Labels on nymphs along top margin.	f80r.3	f80r.8	AQABA	AQABLJBA	5	8	4	2	0.625000000000	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label above nymph 3.	Label above nymph 8.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
f80r	N1	Labels on nymphs along top margin.	f80r.4	f80r.8	AQABA	AQABLJBA	5	8	4	2	0.625000000000	0	UNHEDGED	UNHEDGED	REL_PROXIMITY	REL_PROXIMITY	Label high up between nymphs 3 and 4.	Label above nymph 8.	EXPLORATORY_VISUAL_HOMOLOG_FORMAL_SIMILARITY_NO_GLOSS
