representation	formal_feature	support_loci	positive_with_feature	negative_with_feature	positive_without_feature	within_folio_effect	local_permutation_p	max_search_p	positive_effect_folios	informative_folios	folio_contributions	leave_one_folio_effects	semantic_role
PAGE_HOST_CHAR3	pch	6	6	0	28	3.84278074866	0.0005999700015	0.146892655367	3	3	f100:0.454545;f102:2.588235;f88:0.000000;f89:0.800000;f99:0.000000	f100:3.388235;f102:1.254545;f88:3.842781;f89:3.042781;f99:3.842781	UNASSIGNED
RAW_CHAR3	pch	6	6	0	28	3.84278074866	0.0005999700015	0.146892655367	3	3	f100:0.454545;f102:2.588235;f88:0.000000;f89:0.800000;f99:0.000000	f100:3.388235;f102:1.254545;f88:3.842781;f89:3.042781;f99:3.842781	UNASSIGNED
RAW_CHAR3	dy$	16	8	8	26	3.71021823963	0.0196490175491	0.172641367932	3	4	f100:1.363636;f102:1.941176;f88:0.000000;f89:1.000000;f99:-0.594595	f100:2.346582;f102:1.769042;f88:3.710218;f89:2.710218;f99:4.304813	UNASSIGNED
PAGE_HOST_CHAR3	opc	5	5	0	29	3.19572192513	0.00249987500625	0.288385580721	3	3	f100:0.454545;f102:1.941176;f88:0.000000;f89:0.800000;f99:0.000000	f100:2.741176;f102:1.254545;f88:3.195722;f89:2.395722;f99:3.195722	UNASSIGNED
RAW_CHAR3	opc	5	5	0	29	3.19572192513	0.00249987500625	0.288385580721	3	3	f100:0.454545;f102:1.941176;f88:0.000000;f89:0.800000;f99:0.000000	f100:2.741176;f102:1.254545;f88:3.195722;f89:2.395722;f99:3.195722	UNASSIGNED
PAGE_HOST_CHAR3	^op	7	5	2	29	2.79572192513	0.0238988050597	0.591570421479	3	3	f100:0.454545;f102:1.941176;f88:0.000000;f89:0.400000;f99:0.000000	f100:2.341176;f102:0.854545;f88:2.795722;f89:2.395722;f99:2.795722	UNASSIGNED
RAW_CHAR3	^op	7	5	2	29	2.79572192513	0.0238988050597	0.591570421479	3	3	f100:0.454545;f102:1.941176;f88:0.000000;f89:0.400000;f99:0.000000	f100:2.341176;f102:0.854545;f88:2.795722;f89:2.395722;f99:2.795722	UNASSIGNED
PAGE_HOST_CHAR3	ch$	5	5	0	29	2.61818181818	0.013599320034	0.691515424229	2	2	f100:1.818182;f102:0.000000;f88:0.000000;f89:0.800000;f99:0.000000	f100:0.800000;f102:2.618182;f88:2.618182;f89:1.818182;f99:2.618182	UNASSIGNED
RAW_CHAR3	chd	5	5	0	29	2.46524064171	0.0249487525624	0.759162041898	2	2	f100:1.818182;f102:0.647059;f88:0.000000;f89:0.000000;f99:0.000000	f100:0.647059;f102:1.818182;f88:2.465241;f89:2.465241;f99:2.465241	UNASSIGNED
PAGE_HOST_CHAR3	cho	7	5	2	29	2.06524064171	0.0857957102145	0.932853357332	3	3	f100:0.818182;f102:0.647059;f88:0.000000;f89:0.600000;f99:0.000000	f100:1.247059;f102:1.418182;f88:2.065241;f89:1.465241;f99:2.065241	UNASSIGNED
