rank	opening_member	support	observed_pairs	expected_pairs	pair_excess	opening_support	b3_closers	lines	eligible_strata	one_sided_p	bonferroni_p	null_min	null_max
1	Q2	112	31	23.9330613831	7.06693861694	112	145	1164	40	0.00710227459127	0.0710227459127	11	45
2	D1	168	25	22.6868575869	2.31314241314	168	145	1164	42	0.276169618849	1	5	50
3	P1	89	14	12.5105783106	1.48942168942	89	145	1164	17	0.276980634382	1	6	21
4	K1	50	3	2.29499389499	0.705006105006	50	145	1164	6	0.38663003663	1	1	6
5	C2	127	17	15.8327367077	1.16726329226	127	145	1164	26	0.391583523598	1	4	39
6	B1	174	19	19.3730880231	-0.373088023088	174	145	1164	32	0.614185002748	1	3	49
7	A2	162	13	14.8799145299	-1.87991452991	162	145	1164	31	0.810665436423	1	2	38
8	L1	69	7	8.90769230769	-1.90769230769	69	145	1164	18	0.885264978843	1	2	22
9	B2	26	2	3.71538461538	-1.71538461538	26	145	1164	9	0.936971153846	1	0	11
10	A1	156	10	15.3822510823	-5.38225108225	156	145	1164	27	0.990285353718	1	3	36
