locus	page	section	currier	hand	kind	grammar_scope	family_surface	strict_zero_alternative	claim_state
f102v1.17	f102v1	P	A	1	L	DIAGNOSTIC_NONPROSE	BACABABA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f42r.6	f42r	H	A	1	P	CONFIRMED_PROSE	BACAF	0	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f58r.18	f58r	S	A	3	P	CONFIRMED_PROSE	BACAC	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f66r.4	f66r	T	B	5	L	DIAGNOSTIC_NONPROSE	BACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f68r1.6	f68r1	A		4	P	DIAGNOSTIC_NONPROSE	BACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f68r3.20	f68r3	A		4	L	DIAGNOSTIC_NONPROSE	BACABB	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f69r.29	f69r	C		4	R	DIAGNOSTIC_NONPROSE	BACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f75v.21	f75v	B	B	2	L	DIAGNOSTIC_NONPROSE	BACAB	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f75v.30	f75v	B	B	2	L	DIAGNOSTIC_NONPROSE	BACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f82r.35	f82r	B	B	2	L	DIAGNOSTIC_NONPROSE	BACAB	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f82r.38	f82r	B	B	2	L	DIAGNOSTIC_NONPROSE	BACACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f83r.51	f83r	B	B	2	L	DIAGNOSTIC_NONPROSE	BACABCA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f85r1.14	f85r1	T	B	2	P	CONFIRMED_PROSE	BACAC	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f86v5.2	f86v5	T	B	2	P	CONFIRMED_PROSE	BACAF	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f88r.14	f88r	P	A	1	L	DIAGNOSTIC_NONPROSE	BACA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f88v.27	f88v	P	A	1	L	DIAGNOSTIC_NONPROSE	BACABBAB	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f99r.3	f99r	P	A	1	L	DIAGNOSTIC_NONPROSE	BACAC	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f99v.21	f99v	P	A	1	P	CONFIRMED_PROSE	BACAC	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
f99v.25	f99v	P	A	1	L	DIAGNOSTIC_NONPROSE	BACABABA	1	POSTSELECTED_FAMILY_PREFIX_REGISTER_CENSUS_NO_GLOSS
