page_host	form_a	role_a	events_a	gain_a	form_b	role_b	events_b	gain_b	classification
a	dam	LAST	20	1.211610418188	otam	MIDDLE	19	-0.401554831599	PROVISIONAL_CONTRAST
aiin	aiin	MIDDLE	104	27.056005654418	taiin	FIRST	16	-0.986953995587	PROVISIONAL_CONTRAST
aiin	aiin	MIDDLE	104	27.056005654418	daiin	LAST	249	0.829956724997	PROVISIONAL_CONTRAST
aiin	aiin	MIDDLE	104	27.056005654418	saiin	FIRST	37	27.794998169421	PROVISIONAL_CONTRAST
aiin	aiin	MIDDLE	104	27.056005654418	chaiin	LAST	20	2.456434548450	PROVISIONAL_CONTRAST
aiin	taiin	FIRST	16	-0.986953995587	daiin	LAST	249	0.829956724997	PROVISIONAL_CONTRAST
aiin	taiin	FIRST	16	-0.986953995587	chaiin	LAST	20	2.456434548450	PROVISIONAL_CONTRAST
aiin	daiin	LAST	249	0.829956724997	saiin	FIRST	37	27.794998169421	PROVISIONAL_CONTRAST
aiin	saiin	FIRST	37	27.794998169421	chaiin	LAST	20	2.456434548450	PROVISIONAL_CONTRAST
ain	dain	LAST	50	-1.930645336185	chain	MIDDLE	8	1.331065616640	PROVISIONAL_CONTRAST
ain	dain	LAST	50	-1.930645336185	sain	FIRST	19	0.447404738221	PROVISIONAL_CONTRAST
ain	chain	MIDDLE	8	1.331065616640	sain	FIRST	19	0.447404738221	PROVISIONAL_CONTRAST
air	dair	LAST	22	-2.136103150645	air	MIDDLE	9	2.203858083412	PROVISIONAL_CONTRAST
air	dair	LAST	22	-2.136103150645	sair	FIRST	8	3.524519713374	PROVISIONAL_CONTRAST
air	air	MIDDLE	9	2.203858083412	sair	FIRST	8	3.524519713374	PROVISIONAL_CONTRAST
al	cheal	FIRST	14	1.449154470496	al	MIDDLE	33	0.120876834379	PROVISIONAL_CONTRAST
al	cheal	FIRST	14	1.449154470496	dal	LAST	64	-2.327086660630	PROVISIONAL_CONTRAST
al	chal	FIRST	10	-0.536638039278	al	MIDDLE	33	0.120876834379	PROVISIONAL_CONTRAST
al	chal	FIRST	10	-0.536638039278	dal	LAST	64	-2.327086660630	PROVISIONAL_CONTRAST
al	al	MIDDLE	33	0.120876834379	dal	LAST	64	-2.327086660630	PROVISIONAL_CONTRAST
al	al	MIDDLE	33	0.120876834379	sal	FIRST	10	3.794931838872	PROVISIONAL_CONTRAST
al	dal	LAST	64	-2.327086660630	sal	FIRST	10	3.794931838872	PROVISIONAL_CONTRAST
ar	char	MIDDLE	16	1.975243129796	dar	LAST	51	-1.213808349353	PROVISIONAL_CONTRAST
ar	char	MIDDLE	16	1.975243129796	tar	FIRST	11	6.227590094954	PROVISIONAL_CONTRAST
ar	char	MIDDLE	16	1.975243129796	sar	FIRST	13	3.956339315323	PROVISIONAL_CONTRAST
ar	dar	LAST	51	-1.213808349353	shar	MIDDLE	13	-1.062948413748	PROVISIONAL_CONTRAST
