world	STRUCTURE_ONLY	WRAPPER	RIGHT	COMPILER	RAW_EXACT	PAGE_HOST_EXACT	RAW_CHAR3	PAGE_HOST_CHAR3	max_correct
0	60	81	67	65	72	74	63	72	81
1	78	87	81	85	96	84	81	82	96
2	68	69	81	79	90	86	81	82	90
3	66	69	87	65	70	68	71	72	87
4	72	69	63	61	68	64	69	66	72
5	68	73	65	81	74	76	75	76	81
6	68	71	65	69	74	76	69	70	76
7	60	67	75	73	86	80	81	76	86
8	74	75	83	93	90	80	91	86	93
9	74	59	77	75	76	72	81	72	81
10	80	75	75	83	68	74	79	80	83
11	64	65	77	65	76	74	69	68	77
12	68	65	77	59	58	66	55	68	77
13	76	81	83	79	78	76	71	80	83
14	78	73	75	83	82	74	79	80	83
15	64	73	75	77	82	78	75	78	82
16	70	69	71	75	62	80	71	72	80
17	78	65	59	69	66	58	69	62	78
18	56	69	65	63	58	60	53	60	69
19	84	81	59	79	72	66	69	66	84
20	74	69	69	75	66	76	81	76	81
21	82	71	59	67	60	64	67	62	82
22	78	69	75	81	82	82	83	90	90
23	74	75	81	77	70	72	79	76	81
24	76	71	53	71	62	60	65	62	76
25	76	69	57	61	48	60	57	62	76
26	84	83	67	87	86	78	79	80	87
27	78	71	75	69	66	68	69	74	78
28	64	61	77	69	72	68	65	64	77
29	60	71	69	63	68	74	59	70	74
30	76	57	85	85	84	86	91	82	91
31	62	77	77	63	56	60	53	58	77
32	70	75	65	67	68	64	65	72	75
33	74	69	69	63	64	64	63	62	74
34	86	69	73	77	80	82	87	90	90
35	68	61	75	75	76	74	85	74	85
36	80	73	67	75	68	60	63	68	80
37	68	79	81	63	66	64	67	64	81
38	62	69	59	67	68	68	57	66	69
39	72	71	71	71	76	74	75	70	76
40	62	67	65	55	60	66	61	64	67
41	68	79	73	75	80	74	79	72	80
42	70	71	71	71	70	74	65	70	74
43	80	75	69	75	72	82	81	82	82
44	86	73	67	81	72	68	81	68	86
45	74	83	77	69	76	70	73	70	83
46	74	67	69	73	78	82	75	82	82
47	78	69	61	69	46	64	61	64	78
48	74	71	85	73	86	72	75	78	86
49	74	79	79	77	84	86	79	84	86
50	80	81	67	77	78	74	79	78	81
51	68	61	81	77	72	76	65	70	81
52	76	63	75	75	66	68	73	72	76
53	82	69	57	75	72	70	87	78	87
54	78	75	81	67	70	62	69	68	81
55	76	71	69	75	64	74	65	68	76
56	74	89	79	77	80	82	79	86	89
57	72	69	67	75	66	70	75	72	75
58	66	87	69	79	86	82	79	78	87
59	70	71	83	65	62	74	75	76	83
60	78	67	63	69	60	68	63	64	78
61	74	79	59	73	68	66	69	70	79
62	64	71	93	75	76	76	79	76	93
63	68	61	63	65	68	62	67	66	68
64	80	79	69	87	78	74	77	72	87
65	78	73	67	73	60	62	67	66	78
66	74	67	71	81	80	74	81	80	81
67	76	75	63	75	72	76	83	80	83
68	70	57	75	67	62	62	73	68	75
69	82	59	63	71	68	74	71	72	82
70	62	77	79	61	62	72	55	62	79
71	70	77	67	69	88	76	73	72	88
72	66	59	85	81	90	90	87	80	90
73	80	73	73	75	70	72	67	74	80
74	86	65	87	79	86	76	87	86	87
75	86	69	67	77	68	68	73	72	86
76	70	67	71	63	72	68	67	68	72
77	64	51	77	55	68	68	69	64	77
78	72	77	77	71	72	72	75	80	80
79	78	85	79	77	82	74	73	80	85
80	74	65	77	81	78	70	83	72	83
81	64	73	67	65	82	72	69	68	82
82	72	73	71	69	74	70	73	70	74
83	80	73	75	87	80	74	81	78	87
84	62	73	75	75	78	74	69	72	78
85	74	77	77	67	70	64	65	70	77
86	64	77	67	63	56	64	55	58	77
87	70	73	59	77	62	74	63	66	77
88	74	67	75	75	66	72	71	78	78
89	68	77	81	81	80	74	81	76	81
90	66	79	71	67	62	66	67	66	79
91	68	67	73	75	72	70	73	72	75
92	74	75	57	67	58	62	63	64	75
93	64	73	79	71	74	70	75	74	79
94	74	79	69	83	72	76	83	80	83
95	72	65	75	65	58	64	59	62	75
96	64	77	69	79	86	80	71	80	86
97	74	75	83	89	88	82	91	82	91
98	66	69	71	59	64	64	69	70	71
99	74	75	63	67	62	76	79	72	79
100	66	71	61	73	56	70	61	64	73
101	74	73	73	67	70	74	75	76	76
102	80	73	63	79	68	76	81	72	81
103	76	79	71	73	82	72	77	76	82
104	62	83	89	71	84	82	65	76	89
105	88	89	89	95	94	88	99	92	99
106	76	81	65	81	74	78	73	72	81
107	60	71	85	73	88	80	71	80	88
108	88	87	53	83	66	68	69	68	88
109	74	75	77	73	92	82	77	80	92
110	72	65	77	67	68	68	75	68	77
111	76	75	53	73	70	76	69	68	76
112	78	77	75	79	76	86	91	84	91
113	76	71	77	85	82	82	79	72	85
114	58	65	63	51	58	64	47	60	65
115	64	67	63	67	60	62	59	62	67
116	64	69	69	69	72	70	69	66	72
117	70	73	77	67	66	66	61	68	77
118	66	77	77	67	66	66	57	70	77
119	72	75	79	79	88	88	77	86	88
120	82	79	65	77	80	76	69	70	82
121	86	73	67	75	74	76	83	82	86
122	74	69	65	77	70	82	75	74	82
123	72	77	77	77	92	76	77	78	92
124	76	75	75	83	76	74	79	70	83
125	66	71	61	79	72	74	77	74	79
126	82	79	75	83	80	72	79	82	83
127	64	77	67	59	78	76	63	74	78
