site_id	book	record_id	surface_bare	expanded_truth	page_host	compiler_signature	raw_prediction	page_host_prediction	compiler_prediction	contrast
AS5B0602921C11AC	Band2	NB_B2_R000001	Hanſ	Hanſen	hans	NONE|NONE|NONE|NONE|1	hanns	hansen	haben	HOST_CORRECT_RAW_WRONG
AS897BF3E123AC78	Band2	NB_B2_R000009	günſtikl	günſtiklichen	günstikl	NONE|NONE|NONE|NONE|1	günstiklich	günstiklichen	haben	HOST_CORRECT_RAW_WRONG
AS7C988A45BE911C	Band2	NB_B2_R000022	gnedıgkl	gnedıgklichen	gnedigkl	NONE|NONE|NONE|NONE|1	gnedigklich	gnedigklichen	haben	HOST_CORRECT_RAW_WRONG
ASF7178A59DE0380	Band2	NB_B2_R000022	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS3B40226B10AF14	Band2	NB_B2_R000029	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS334944CA63BA5D	Band2	NB_B2_R000034	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASC6A381F710BB55	Band2	NB_B2_R000046	vnſen	vnſern	vns	NONE|NONE|NONE|en|1	vnseren	vnsern	egenanten	HOST_CORRECT_RAW_WRONG
AS59B495C59620C0	Band2	NB_B2_R000047	deſ	deſſelben	des	NONE|NONE|NONE|NONE|1	demselben	desselben	haben	HOST_CORRECT_RAW_WRONG
AS57A4AB92A9EAE9	Band2	NB_B2_R000050	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
ASC22E4A2D52FC5F	Band2	NB_B2_R000073	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
AS8957B0DD35ADF8	Band2	NB_B2_R000099	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
AS29BDD33427DE7E	Band2	NB_B2_R000108	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS9BA45EE933AFD0	Band2	NB_B2_R000141	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASAED65E09EEE208	Band2	NB_B2_R000148	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASC92D2EEA786A64	Band2	NB_B2_R000152	günſtikl	günſtiklichen	günstikl	NONE|NONE|NONE|NONE|1	günstiklich	günstiklichen	haben	HOST_CORRECT_RAW_WRONG
AS9CC1CABEF5795D	Band2	NB_B2_R000157	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS24AA4563A23A28	Band2	NB_B2_R000169	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS4453C442FF1AA8	Band2	NB_B2_R000175	künigkl	künigklichen	künigkl	NONE|NONE|NONE|NONE|1	künigklich	künigklichen	haben	HOST_CORRECT_RAW_WRONG
AS903213041C876B	Band2	NB_B2_R000179	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASC2CC406368D15C	Band2	NB_B2_R000185	domıca	domınicam	domica	NONE|NONE|NONE|NONE|1	dominica	dominicam	haben	HOST_CORRECT_RAW_WRONG
ASFCDC8AF79778E0	Band2	NB_B2_R000196	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASA52882E5636E8E	Band2	NB_B2_R000198	de	der	d	NONE|NONE|NONE|e|1	dem	der	haben	HOST_CORRECT_RAW_WRONG
AS15A01B595A983C	Band2	NB_B2_R000199	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS57141070B81A84	Band2	NB_B2_R000199	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS80FC53BE90E71E	Band2	NB_B2_R000201	künigkl	künigklichen	künigkl	NONE|NONE|NONE|NONE|1	künigklich	künigklichen	haben	HOST_CORRECT_RAW_WRONG
AS205937982A1D8D	Band2	NB_B2_R000218	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS246A84BF6C6B17	Band2	NB_B2_R000221	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
AS15941519E4F372	Band2	NB_B2_R000251	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS20955EF5ABC2CE	Band2	NB_B2_R000251	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS3AE669306B6118	Band2	NB_B2_R000251	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS0FA66A336AC637	Band2	NB_B2_R000252	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS33A2B1C5F3D7C8	Band2	NB_B2_R000271	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS7A725BC31D8731	Band2	NB_B2_R000277	künigkl	künigklichen	künigkl	NONE|NONE|NONE|NONE|1	künigklich	künigklichen	haben	HOST_CORRECT_RAW_WRONG
ASDFEBE16F2E7163	Band2	NB_B2_R000289	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
AS84A917C605A9A2	Band2	NB_B2_R000295	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS9515FCF38787B4	Band2	NB_B2_R000320	domıca	dominıcam	domica	NONE|NONE|NONE|NONE|1	dominica	dominicam	haben	HOST_CORRECT_RAW_WRONG
AS22416AA5621AA9	Band2	NB_B2_R000359	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASB66F0BB8146477	Band2	NB_B2_R000369	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS56A28000040F1E	Band2	NB_B2_R000375	vnſ	vnſern	vns	NONE|NONE|NONE|NONE|1	vnser	vnsern	haben	HOST_CORRECT_RAW_WRONG
ASD3374AF094976C	Band2	NB_B2_R000382	de	der	d	NONE|NONE|NONE|e|1	dem	der	haben	HOST_CORRECT_RAW_WRONG
ASE12BC90DFF9F44	Band2	NB_B2_R000382	frewntl	frewntlichen	frewntl	NONE|NONE|NONE|NONE|1	frewntlich	frewntlichen	haben	HOST_CORRECT_RAW_WRONG
AS9FC5C9D50A5B3A	Band2	NB_B2_R000387	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASC87EF36BF73819	Band2	NB_B2_R000392	eıne	eınen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS8C59C247002CF8	Band2	NB_B2_R000395	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASF202E91936ADCA	Band2	NB_B2_R000396	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
AS12678D2FA70E9B	Band2	NB_B2_R000441	eine	einen	ein	NONE|NONE|NONE|e|1	einem	einen	haben	HOST_CORRECT_RAW_WRONG
ASAC30929DDD4B2C	Band2	NB_B2_R000466	gut	guten	gut	NONE|NONE|NONE|NONE|1	guter	guten	haben	HOST_CORRECT_RAW_WRONG
