base_a	base_b	matched_terminals	terminal_strata	directional_z_a_minus_b	absolute_z	target_o_y	rank_by_absolute_z
a	o	k;l;r	3	-10.6728080276	10.6728080276	0	1
o	y	k;l;p;s;t	5	9.69892853966	9.69892853966	1	2
l	o	k;l;r;s;t	5	-9.17020648196	9.17020648196	0	3
e	y	d;k;s;t	4	3.74662075191	3.74662075191	0	4
e	l	d;k;o;s;t;y	6	3.08665731862	3.08665731862	0	5
e	k	e;o;y	3	3.06430399597	3.06430399597	0	6
e	o	k;s;t	3	-2.29432667958	2.29432667958	0	7
k	l	a;l;o;y	4	1.11803398875	1.11803398875	0	8
l	y	d;k;l;s;t	5	-1.05220856162	1.05220856162	0	9
e	p	d;o;y	3	0.840006206949	0.840006206949	0	10
e	r	o;y	2	0.718803097851	0.718803097851	0	11
k	r	a;o;y	3	0.707106781187	0.707106781187	0	12
k	p	o;y	2	0.5	0.5	0	13
a	y	k;l	2	-0.231455024943	0.231455024943	0	14
