evidence_record_id	folio	panel_id	visual_unit_id	provenance	annotation_source	source_sha256	source_locator	confidence	unit_type	repetition_group	ordinal_in_group	x_order	y_order	relative_position	inside_outside	left_right	upper_lower	mirror_role	contained_in	connected_to	connection_type	endpoint_role	repeated_shape_class	visible_color_state	visible_pose_class	local_text_loci	ownership_evidence	prior_ai_visual_state	prior_ai_visual_source	raw_source_description	neutral_description	interpretation_excluded
HUMAN_PAGE_f80r_PAGE_LOWER_LEFT_FIGURE	f80r	f80r_PAGE	f80r:PAGE_LOWER_LEFT_FIGURE	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	FIGURE					LOWER_LEFT	UNKNOWN	LEFT	LOWER					UNKNOWN					UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	A further figure occupies the lower-left corner.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_PAGE_f80r_PAGE_LOWER_RIGHT_FIGURE	f80r	f80r_PAGE	f80r:PAGE_LOWER_RIGHT_FIGURE	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	FIGURE					RIGHT_LOWER	UNKNOWN	RIGHT	LOWER					UNKNOWN					UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	A figure terminates the second descending right-margin linear element.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_PAGE_f80r_PAGE_MIDDLE_BLUE_REGION	f80r	f80r_PAGE	f80r:PAGE_MIDDLE_BLUE_REGION	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	BOUNDED_REGION					MIDDLE	UNKNOWN							UNKNOWN		BLUE			UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	A blue bounded region spans the page middle and has figures at both ends.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_PAGE_f80r_PAGE_RIGHT_CONNECTOR_TO_MIDDLE	f80r	f80r_PAGE	f80r:PAGE_RIGHT_CONNECTOR_TO_MIDDLE	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	LINEAR_CONNECTOR					MIDDLE_RIGHT	UNKNOWN	RIGHT				f80r:PAGE_MIDDLE_BLUE_REGION	DRAWN_LINEAR_CONNECTION	TERMINATES_AT_DRAWN_UNIT					UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	A right-margin linear element terminates at a blue bounded region spanning the page middle.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_PAGE_f80r_PAGE_RIGHT_DESCENDING_CONNECTOR	f80r	f80r_PAGE	f80r:PAGE_RIGHT_DESCENDING_CONNECTOR	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	LINEAR_CONNECTOR					RIGHT_LOWER	UNKNOWN	RIGHT	LOWER			f80r:PAGE_LOWER_RIGHT_FIGURE	DRAWN_LINEAR_CONNECTION	TERMINATES_AT_DRAWN_UNIT					UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	A second right-margin linear element descends to a figure.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_PAGE_f80r_PAGE_TOP_FIGURE_ROW	f80r	f80r_PAGE	f80r:PAGE_TOP_FIGURE_ROW	EXISTING_HUMAN_ANNOTATION	voynich.nu q13 catalogue	424956a525b3bc0cf63aee266e8fd92c3c8c98c3f6d36427eeb3f62085ad6437	q13.html#f80r	SOURCE_ASSERTED	FIGURE_ARRAY	F80_TOP_FIGURE_ARRAY				UPPER	UNKNOWN		UPPER					UNKNOWN	F80_TOP_FIGURE_ARRAY				UNKNOWN			There is a row of small figures across the top of the page, mostly, but not all, female. A tube in the right margin ends in a pool of blue water spanning the middle of the page. It has female figures at both ends, who might be arguing or fighting. In the right margin there is another tube going down to another female figure, and a further one is in the lower left corner.	Repeated small-figure row along the upper page edge.	OBJECT_IDENTITY;PROCESS;MATERIAL;MEDICAL_FUNCTION;LEXICAL_MEANING
HUMAN_LOCUS_f80r.1	f80r	f80r_TEXT_ASSOCIATED	f80r:f80r.1	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt#f80r.1;derived=existing_human_exact_locus_annotations.tsv@79c7f06e91f90054aff4cdf27f098a5977d820acdf91f239a14c6ddf553a7f61	0509b276fcb7c98c574ccc92e70a1272567851816c5a8ebbfda95da084a3da4b	f80r.1	UNHEDGED	FIGURE_ASSOCIATED_TEXT_POSITION	F80_TOP_TEXT_POSITIONS	1	1	UPPER_1	UPPER	UNKNOWN		UPPER					UNKNOWN				f80r.1	PROXIMITY_ONLY			Labels on nymphs along top margin. | Label above nymph 1, Northwest corner, facing right. There is a stain before the @o, but no trace of characters in it.	Label above figure 1, Northwest corner, facing right. There is a stain before the @o, but no trace of characters in it.	FIGURE_IDENTITY;APPARATUS_FUNCTION;FLOW;ACTION;LEXICAL_MEANING
HUMAN_LOCUS_f80r.2	f80r	f80r_TEXT_ASSOCIATED	f80r:f80r.2	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt#f80r.2;derived=existing_human_exact_locus_annotations.tsv@79c7f06e91f90054aff4cdf27f098a5977d820acdf91f239a14c6ddf553a7f61	0509b276fcb7c98c574ccc92e70a1272567851816c5a8ebbfda95da084a3da4b	f80r.2	UNHEDGED	FIGURE_ASSOCIATED_TEXT_POSITION	F80_TOP_TEXT_POSITIONS	2	2	UPPER_1	UPPER	UNKNOWN		UPPER					UNKNOWN				f80r.2	PROXIMITY_ONLY	BFE001:OPEN_OR_COMMUNAL	bfe001_bio_figure_enclosure_capacity.json	Labels on nymphs along top margin. | Label above nymph 2.	Label above figure 2.	FIGURE_IDENTITY;APPARATUS_FUNCTION;FLOW;ACTION;LEXICAL_MEANING
HUMAN_LOCUS_f80r.3	f80r	f80r_TEXT_ASSOCIATED	f80r:f80r.3	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt#f80r.3;derived=existing_human_exact_locus_annotations.tsv@79c7f06e91f90054aff4cdf27f098a5977d820acdf91f239a14c6ddf553a7f61	0509b276fcb7c98c574ccc92e70a1272567851816c5a8ebbfda95da084a3da4b	f80r.3	UNHEDGED	FIGURE_ASSOCIATED_TEXT_POSITION	F80_TOP_TEXT_POSITIONS	3	3	UPPER_1	UPPER	UNKNOWN		UPPER					UNKNOWN				f80r.3	PROXIMITY_ONLY	RRA001:SINGULAR_COMMON_CLASS_OWNED	rra001_recurrent_label_owner_atlas_result.json	Labels on nymphs along top margin. | Label above nymph 3.	Label above figure 3.	FIGURE_IDENTITY;APPARATUS_FUNCTION;FLOW;ACTION;LEXICAL_MEANING
HUMAN_LOCUS_f80r.4	f80r	f80r_TEXT_ASSOCIATED	f80r:f80r.4	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt#f80r.4;derived=existing_human_exact_locus_annotations.tsv@79c7f06e91f90054aff4cdf27f098a5977d820acdf91f239a14c6ddf553a7f61	0509b276fcb7c98c574ccc92e70a1272567851816c5a8ebbfda95da084a3da4b	f80r.4	UNHEDGED	FIGURE_ASSOCIATED_TEXT_POSITION	F80_TOP_TEXT_POSITIONS	4	3.5	UPPER_1	UPPER	UNKNOWN		UPPER					UNKNOWN				f80r.4	PROXIMITY_ONLY			Labels on nymphs along top margin. | Label high up between nymphs 3 and 4.	Label high up between figures 3 and 4.	FIGURE_IDENTITY;APPARATUS_FUNCTION;FLOW;ACTION;LEXICAL_MEANING
