relation_id	relation_class	component	representation	source_page	true_target_page	true_similarity	true_partner_rank_of_5	centered_leave_pair_effect
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	PAGE_HOST_IDENTITY	f17v	f96v	0.0865384615385	4	-0.0373607850296
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	PAGE_HOST_IDENTITY	f44r	f1v	0.0862068965517	2	0.0278568541029
MHI004	COMPONENT_SIMILARITY	LEAVES	PAGE_HOST_IDENTITY	f6r	f51r	0.133333333333	4	-0.0397867431565
MHI006	COMPONENT_SIMILARITY	FLOWER	PAGE_HOST_IDENTITY	f19r	f2v	0.261538461538	1	0.131169585798
MHI007	COMPONENT_SIMILARITY	BULBS	PAGE_HOST_IDENTITY	f90r1	f3v	0.140845070423	1	0.0538076938695
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	PAGE_HOST_CHAR3	f17v	f96v	0.20245398773	1	0.0307370375767
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	PAGE_HOST_CHAR3	f44r	f1v	0.174358974359	2	0.00304918047388
MHI004	COMPONENT_SIMILARITY	LEAVES	PAGE_HOST_CHAR3	f6r	f51r	0.248447204969	3	0.0162190007396
MHI006	COMPONENT_SIMILARITY	FLOWER	PAGE_HOST_CHAR3	f19r	f2v	0.282608695652	1	0.0986101525375
MHI007	COMPONENT_SIMILARITY	BULBS	PAGE_HOST_CHAR3	f90r1	f3v	0.209756097561	1	0.0348307963783
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	RAW_CHAR3	f17v	f96v	0.166315789474	4	-0.0468981371324
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	RAW_CHAR3	f44r	f1v	0.231939163498	2	0.0201840545833
MHI004	COMPONENT_SIMILARITY	LEAVES	RAW_CHAR3	f6r	f51r	0.190114068441	4	-0.0489456610931
MHI006	COMPONENT_SIMILARITY	FLOWER	RAW_CHAR3	f19r	f2v	0.294701986755	2	0.0859473142941
MHI007	COMPONENT_SIMILARITY	BULBS	RAW_CHAR3	f90r1	f3v	0.207667731629	3	0.0131408718144
MHI002	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	COMPILER_SIGNATURE	f17v	f96v	0.215053763441	3	-0.00718618092398
MHI003	WHOLE_PLANT_SIMILARITY	WHOLE_PLANT	COMPILER_SIGNATURE	f44r	f1v	0.235294117647	4	-0.0596190170984
MHI004	COMPONENT_SIMILARITY	LEAVES	COMPILER_SIGNATURE	f6r	f51r	0.133333333333	5	-0.141108521109
MHI006	COMPONENT_SIMILARITY	FLOWER	COMPILER_SIGNATURE	f19r	f2v	0.28125	2	0.0329048122686
MHI007	COMPONENT_SIMILARITY	BULBS	COMPILER_SIGNATURE	f90r1	f3v	0.306451612903	2	0.043505238679
