external_axis	target_section	target_loci	target_positive	target_folios	training_loci	training_positive	training_sections	representation	nuisance_bits	held_bits	gain_bits	gain_per_prediction	positive_gain_folios	min_folio_gain	max_folio_gain
REL_ENCLOSURE	A	55	18	2	277	19	B;C;P;T;Z	RAW_CHAR3	77.9921565172	79.3521738493	-1.36001733208	-0.0247275878561	1	-1.96198382181	0.60196648973
REL_ENCLOSURE	A	55	18	2	277	19	B;C;P;T;Z	PAGE_HOST_CHAR3	77.9921565172	81.7581800322	-3.76602351504	-0.0684731548188	0	-2.54805357681	-1.21796993823
REL_ENCLOSURE	A	55	18	2	277	19	B;C;P;T;Z	BEHAVIOR_SELF_NEIGHBOR_NOPOS	77.9921565172	75.0428016769	2.94935484029	0.0536246334598	1	-8.12297872239	11.0723335627
REL_EXPLICIT_ATTACHMENT	B	50	12	6	281	46	A;C;P;T;Z	RAW_CHAR3	48.0917356507	44.7845390352	3.30719661558	0.0661439323116	3	-2.15976291541	3.62055621504
REL_EXPLICIT_ATTACHMENT	B	50	12	6	281	46	A;C;P;T;Z	PAGE_HOST_CHAR3	48.0917356507	42.9354466339	5.1562890168	0.103125780336	4	-1.90641021938	3.74617402101
REL_EXPLICIT_ATTACHMENT	B	50	12	6	281	46	A;C;P;T;Z	BEHAVIOR_SELF_NEIGHBOR_NOPOS	48.0917356507	49.2204002933	-1.12866464258	-0.0225732928515	2	-6.48230631802	6.43925938025
REL_ARRAY_OR_GROUP	B	50	27	6	281	8	A;C;P;T;Z	RAW_CHAR3	115.346978966	135.187507834	-19.8405288675	-0.396810577351	2	-13.0258177577	0.0208205949743
REL_ARRAY_OR_GROUP	B	50	27	6	281	8	A;C;P;T;Z	PAGE_HOST_CHAR3	115.346978966	130.852882151	-15.5059031852	-0.310118063704	1	-9.29477253815	0.0203111740763
REL_ARRAY_OR_GROUP	B	50	27	6	281	8	A;C;P;T;Z	BEHAVIOR_SELF_NEIGHBOR_NOPOS	115.346978966	129.030094383	-13.6831154171	-0.273662308343	2	-7.34826354058	0.168004435403
REL_EXPLICIT_ATTACHMENT	P	73	12	5	257	46	A;B;C;T;Z	RAW_CHAR3	41.3692192019	53.7695726204	-12.4003534185	-0.169867855047	0	-4.14734439903	-1.45007259329
REL_EXPLICIT_ATTACHMENT	P	73	12	5	257	46	A;B;C;T;Z	PAGE_HOST_CHAR3	41.3692192019	50.6937306263	-9.32451142438	-0.127733033211	1	-3.9726244864	0.568733482276
REL_EXPLICIT_ATTACHMENT	P	73	12	5	257	46	A;B;C;T;Z	BEHAVIOR_SELF_NEIGHBOR_NOPOS	41.3692192019	58.7790345122	-17.4098153103	-0.238490620689	0	-4.97732044849	-1.8670825506
REL_ARRAY_OR_GROUP	P	73	6	5	257	28	A;B;C;T;Z	RAW_CHAR3	32.4726591605	34.5681042981	-2.09544513764	-0.0287047279129	2	-2.23357827669	2.88792610863
REL_ARRAY_OR_GROUP	P	73	6	5	257	28	A;B;C;T;Z	PAGE_HOST_CHAR3	32.4726591605	40.0102731918	-7.53761403134	-0.103254986731	1	-5.56205513242	1.34963664727
REL_ARRAY_OR_GROUP	P	73	6	5	257	28	A;B;C;T;Z	BEHAVIOR_SELF_NEIGHBOR_NOPOS	32.4726591605	45.9819734253	-13.5093142649	-0.185059099519	1	-7.72712016575	0.651715162436
REL_ENCLOSURE	Z	103	14	4	229	23	A;B;C;P;T	RAW_CHAR3	85.2615861778	82.7555580557	2.50602812206	0.0243303701171	3	-0.614642647521	1.40064848812
REL_ENCLOSURE	Z	103	14	4	229	23	A;B;C;P;T	PAGE_HOST_CHAR3	85.2615861778	77.1482667424	8.11331943532	0.0787700916051	3	-0.620509544209	4.40852414735
REL_ENCLOSURE	Z	103	14	4	229	23	A;B;C;P;T	BEHAVIOR_SELF_NEIGHBOR_NOPOS	85.2615861778	78.9905193095	6.27106686829	0.0608841443523	4	0.193019940304	3.38963225628
REL_EXPLICIT_ATTACHMENT	Z	103	5	4	229	53	A;B;C;P;T	RAW_CHAR3	254.181673808	207.037728176	47.143945632	0.45770821002	4	0.0352919351637	28.3807700162
REL_EXPLICIT_ATTACHMENT	Z	103	5	4	229	53	A;B;C;P;T	PAGE_HOST_CHAR3	254.181673808	184.540935947	69.6407378615	0.676123668558	4	6.12525070632	28.0586836737
REL_EXPLICIT_ATTACHMENT	Z	103	5	4	229	53	A;B;C;P;T	BEHAVIOR_SELF_NEIGHBOR_NOPOS	254.181673808	279.663613535	-25.4819397264	-0.247397473072	0	-14.9015780239	-0.318263738354
