model	held_folio	covered	feature_correct	baseline_correct	feature_wins	feature_losses
STABLE_PREFIX	f100	2	2	2	0	0
STABLE_PREFIX	f102	9	9	9	0	0
STABLE_PREFIX	f67	4	3	0	3	0
STABLE_PREFIX	f68	7	2	1	1	0
STABLE_PREFIX	f75	1	0	0	0	0
STABLE_PREFIX	f77	5	5	5	0	0
STABLE_PREFIX	f80	5	5	5	0	0
STABLE_PREFIX	f82	7	5	5	0	0
STABLE_PREFIX	f88	7	7	7	0	0
STABLE_PREFIX	f89	13	11	10	1	0
STABLE_PREFIX	f99	8	7	7	0	0
RAW_FAMILY	f100	8	5	8	0	3
RAW_FAMILY	f102	11	10	11	0	1
RAW_FAMILY	f67	4	4	0	4	0
RAW_FAMILY	f68	11	1	1	0	0
RAW_FAMILY	f75	3	0	0	0	0
RAW_FAMILY	f77	9	8	9	0	1
RAW_FAMILY	f78	2	1	2	0	1
RAW_FAMILY	f80	5	4	5	0	1
RAW_FAMILY	f81	1	1	1	0	0
RAW_FAMILY	f82	12	7	9	1	3
RAW_FAMILY	f83	2	0	0	0	0
RAW_FAMILY	f88	12	6	9	0	3
RAW_FAMILY	f89	11	5	8	0	3
RAW_FAMILY	f99	21	13	17	1	5
