page_host	occurrences	physical_folios	registers	eligible_register_folds	training_aiin_high_folds	held_aiin_high_folds	binary_agreement_folds	training_high_fraction	held_high_fraction	agreement_fraction	global_aiin_rate	explicit_right_occurrences	explicit_right_entropy	dominant_explicit_right	dominant_wrapper	dominant_wrapper_rate	formal_class
a	100	44	5	5	0	0	5	0	0	1	0	0	0	ar	NONE	0.35	AIIN_UNSTABLE_OR_LOW
aiiin	31	20	5	2	0	0	2	0	0	1	0	0	0	ar	NONE	0.58064516129	AIIN_UNSTABLE_OR_LOW
aiin	747	90	5	5	0	0	5	0	0	1	0	1	-0	al	d	0.555555555556	AIIN_UNSTABLE_OR_LOW
ain	185	60	5	5	0	0	5	0	0	1	0	1	-0	al	d	0.52972972973	AIIN_UNSTABLE_OR_LOW
air	81	40	5	5	0	0	5	0	0	1	0	3	-0	al	d	0.543209876543	AIIN_UNSTABLE_OR_LOW
al	295	65	5	5	0	0	5	0	0	1	0.00677966101695	12	1.88791850267	al	d	0.423728813559	AIIN_UNSTABLE_OR_LOW
ar	354	70	5	5	0	0	5	0	0	1	0.0141242937853	25	1.67262919227	al	NONE	0.35593220339	AIIN_UNSTABLE_OR_LOW
ch	68	44	5	4	0	1	3	0	0.25	0.75	0.132352941176	27	1.75271527898	ar	NONE	0.294117647059	AIIN_UNSTABLE_OR_LOW
che	85	34	4	3	0	0	3	0	0	1	0.0352941176471	5	0.970950594455	aiin	t	0.294117647059	AIIN_UNSTABLE_OR_LOW
chey	60	35	4	3	0	0	3	0	0	1	0	0	0	ar	NONE	0.316666666667	AIIN_UNSTABLE_OR_LOW
chy	100	46	5	3	0	0	3	0	0	1	0	0	0	ar	q	0.39	AIIN_UNSTABLE_OR_LOW
ckhey	32	24	5	4	0	0	4	0	0	1	0	0	0	ar	NONE	0.5	AIIN_UNSTABLE_OR_LOW
ckhy	130	50	5	5	0	0	5	0	0	1	0	0	0	ar	ch	0.453846153846	AIIN_UNSTABLE_OR_LOW
cth	33	25	4	1	0	0	1	0	0	1	0.151515151515	21	1.96990002262	ar	NONE	0.757575757576	AIIN_UNSTABLE_OR_LOW
cthey	30	23	5	2	0	0	2	0	0	1	0	0	0	ar	NONE	0.7	AIIN_UNSTABLE_OR_LOW
cthy	138	57	5	4	0	0	4	0	0	1	0	0	0	ar	NONE	0.398550724638	AIIN_UNSTABLE_OR_LOW
d	312	74	5	5	5	4	4	1	0.8	0.8	0.403846153846	268	1.93115625865	aiin	ch	0.291666666667	AIIN_STABLE_HIGH
e	437	50	5	5	0	0	5	0	0	1	0.0114416475973	37	1.81174101941	al	sh	0.597254004577	AIIN_UNSTABLE_OR_LOW
ed	62	25	3	3	1	1	1	0.333333333333	0.333333333333	0.333333333333	0.209677419355	50	2.09312759065	ar	sh	0.532258064516	AIIN_UNSTABLE_OR_LOW
ee	178	35	5	3	0	0	3	0	0	1	0	9	1.39214722366	ar	NONE	0.325842696629	AIIN_UNSTABLE_OR_LOW
eey	173	49	5	5	0	0	5	0	0	1	0	0	0	ar	sh	0.42774566474	AIIN_UNSTABLE_OR_LOW
eky	31	23	5	1	0	0	1	0	0	1	0	0	0	ar	sh	0.58064516129	AIIN_UNSTABLE_OR_LOW
eo	90	34	5	5	0	0	5	0	0	1	0	3	0.918295834054	ar	sh	0.477777777778	AIIN_UNSTABLE_OR_LOW
eol	92	42	5	5	0	0	5	0	0	1	0	1	-0	air	sh	0.630434782609	AIIN_UNSTABLE_OR_LOW
eor	34	23	5	4	0	0	4	0	0	1	0	0	0	ar	sh	0.617647058824	AIIN_UNSTABLE_OR_LOW
es	25	17	5	1	0	0	1	0	0	1	0	1	-0	al	che	0.72	AIIN_UNSTABLE_OR_LOW
ey	200	52	5	5	0	0	5	0	0	1	0	0	0	ar	sh	0.625	AIIN_UNSTABLE_OR_LOW
k	145	47	5	4	4	2	2	1	0.5	0.5	0.337931034483	143	2.12036384548	aiin	NONE	0.593103448276	AIIN_UNSTABLE_OR_LOW
