page_host	base_axis	terminal_axis	right_family	occurrences	physical_folios	example_token	example_locus	cell
ok	o	k	aiin	287	56	okaiin	f103r.19	PRESENT
ok	o	k	air	15	11	qokair	f104r.11	PRESENT
ok	o	k	ain	234	31	qokain	f103r.13	PRESENT
ok	o	k	ar	145	37	okar	f100v.21	PRESENT
ok	o	k	al	155	43	qokal	f103r.21	PRESENT
ot	o	t	aiin	129	38	otaiin	f103r.10	PRESENT
ot	o	t	air	12	8	qotair	f104r.39	PRESENT
ot	o	t	ain	87	25	qotain	f103r.24	PRESENT
ot	o	t	ar	102	36	qotar	f103r.22	PRESENT
ot	o	t	al	93	34	otal	f103r.21	PRESENT
yk	y	k	aiin	27	21	ykaiin	f105v.1	PRESENT
yk	y	k	air	4	3	ykair	f112r.1	PRESENT
yk	y	k	ain	3	2	ykain	f55v.5	PRESENT
yk	y	k	ar	16	13	ykar	f106r.46	PRESENT
yk	y	k	al	3	3	ykal	f58r.17	PRESENT
yt	y	t	aiin	22	16	ytaiin	f104v.18	PRESENT
yt	y	t	air	3	2	ytair	f52r.1	PRESENT
yt	y	t	ain	9	7	ytain	f106v.10	PRESENT
yt	y	t	ar	10	8	ytar	f106v.46	PRESENT
yt	y	t	al	11	7	ytal	f13v.9	PRESENT
