locus	page	physical_folio	section	currier	hand	register	group_index	group_count	token	outer_wrapper	base_host	record_state	variant
f40v.8	f40v	f40	H	B	2	HB	1	3	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f43r.9	f43r	f43	H	B	2	HB	5	5	odain	NONE	ain	OTHER	SHORT_AIN
f55r.4	f55r	f55	H	B	2	HB	9	10	odaiin	NONE	aiin	OTHER	LONG_AIIN
f94v.11	f94v	f94	H	B	3	HB	1	10	todaiin	t	aiin	ENTRY_STATE	LONG_AIIN
f95r1.1	f95r1	f95	H	B	3	HB	9	9	odain	NONE	ain	OTHER	SHORT_AIN
f95r2.3	f95r2	f95	H	B	3	HB	1	10	todaiin	t	aiin	ENTRY_STATE	LONG_AIIN
f95v1.13	f95v1	f95	H	B	3	HB	2	5	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f95v1.5	f95v1	f95	H	B	3	HB	3	4	odaiin	NONE	aiin	OTHER	LONG_AIIN
f95v1.8	f95v1	f95	H	B	3	HB	3	8	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f104r.15	f104r	f104	S	B	3	SB	2	8	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f104r.7	f104r	f104	S	B	3	SB	3	11	odaiin	NONE	aiin	OTHER	LONG_AIIN
f104r.7	f104r	f104	S	B	3	SB	5	11	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f104r.7	f104r	f104	S	B	3	SB	8	11	qodain	q	ain	Q_OUTER_STATE	SHORT_AIN
f104v.21	f104v	f104	S	B	3	SB	6	6	chodain	ch	ain	CARRIER_STATE	SHORT_AIN
f104v.29	f104v	f104	S	B	3	SB	2	13	shodaiin	sh	aiin	CARRIER_STATE	LONG_AIIN
f104v.40	f104v	f104	S	B	3	SB	5	7	odain	NONE	ain	OTHER	SHORT_AIN
f105r.19	f105r	f105	S	B	3	SB	9	11	odaiin	NONE	aiin	OTHER	LONG_AIIN
f105r.34	f105r	f105	S	B	3	SB	5	11	odaiin	NONE	aiin	OTHER	LONG_AIIN
f105v.16	f105v	f105	S	B	3	SB	10	12	chodaiin	ch	aiin	CARRIER_STATE	LONG_AIIN
f105v.2	f105v	f105	S	B	3	SB	4	12	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
f105v.22	f105v	f105	S	B	3	SB	2	6	cheodaiin	che	aiin	CARRIER_STATE	LONG_AIIN
f106r.22	f106r	f106	S	B	3	SB	3	10	odain	NONE	ain	OTHER	SHORT_AIN
f106v.10	f106v	f106	S	B	3	SB	4	7	qodaiin	q	aiin	Q_OUTER_STATE	LONG_AIIN
