fold_id	operation_id	operation_family	old_edge	new_edge	stratum	rank_within_stratum	training_edge_types	training_edge_occurrence_support	training_edge_folios	operation_set_sha256	held_folio_excluded_before_discovery	claim_state
f1	PREFIX_ADD:a	PREFIX_ADD		a	PREFIX_ADD:NEW1	10	54	928	84	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:al	PREFIX_ADD		al	PREFIX_ADD:NEW2	10	48	3099	101	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:ar	PREFIX_ADD		ar	PREFIX_ADD:NEW2	28	16	1419	99	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:c	PREFIX_ADD		c	PREFIX_ADD:NEW1	13	14	104	55	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:ch	PREFIX_ADD		ch	PREFIX_ADD:NEW2	1	282	7437	101	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:chd	PREFIX_ADD		chd	PREFIX_ADD:NEW3	32	19	1487	99	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:che	PREFIX_ADD		che	PREFIX_ADD:NEW3	1	159	5670	101	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:chk	PREFIX_ADD		chk	PREFIX_ADD:NEW3	31	19	1497	100	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:cho	PREFIX_ADD		cho	PREFIX_ADD:NEW3	2	137	4189	101	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
f1	PREFIX_ADD:cph	PREFIX_ADD		cph	PREFIX_ADD:NEW3	20	24	1212	97	b9275d172d4006ac54aa6805df2ea4d1f07a2aad9d7d71bc92bba52e7c70d1bb	1	TRAINING_DISCOVERED_FORMAL_RULE_NO_LINGUISTIC_STATUS
