page	physical_folio	currier	hand	illustration_profile	groups	lines	mean_groups_per_line	dy_checkpoints	dy_per_100_groups	possible_internal_group_boundaries	internal_field_boundaries	internal_boundaries_per_100_possible	claim_state
f10r	f10	A	1	ALPHA	51	9	5.666666666667	1	1.960784313725	42	1	2.380952380952	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f10v	f10	A	1	ALPHA	35	6	5.833333333333	1	2.857142857143	29	1	3.448275862069	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f11r	f11	A	1	ALPHA	19	5	3.800000000000	2	10.526315789474	14	1	7.142857142857	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f11v	f11	A	1	ALPHA	22	4	5.500000000000	3	13.636363636364	18	3	16.666666666667	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f13r	f13	A	1	ALPHA	26	5	5.200000000000	0	0.000000000000	21	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f13v	f13	A	1	ALPHA	34	7	4.857142857143	1	2.941176470588	27	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f14r	f14	A	1	MIXED	37	8	4.625000000000	5	13.513513513514	29	3	10.344827586207	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f14v	f14	A	1	UNCLASSIFIED	27	5	5.400000000000	1	3.703703703704	22	1	4.545454545455	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f15r	f15	A	1	ALPHA	73	15	4.866666666667	0	0.000000000000	58	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f15v	f15	A	1	ALPHA	41	9	4.555555555556	0	0.000000000000	32	0	0.000000000000	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f16r	f16	A	1	ALPHA	37	9	4.111111111111	2	5.405405405405	28	2	7.142857142857	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
f16v	f16	A	1	ALPHA	48	10	4.800000000000	3	6.250000000000	38	1	2.631578947368	LENGTH_NORMALIZED_FORMAL_SEGMENTATION_NOT_MEANING
