page_host	occurrences	physical_folios	dominant_wrapper	dominant_frame	dominant_right_family	mean_position_quartile
a	100	44	NONE	NONE	NONE	3.22
ai	4	4	t	NONE	NONE	2.25
aii	6	5	d	NONE	NONE	1.5
aiiin	31	20	NONE	NONE	NONE	2.06451612903
aiil	3	3	d	NONE	NONE	3
aiin	747	90	d	NONE	NONE	1.54886211513
aiiny	2	2	d	NONE	NONE	3
aiir	11	8	NONE	NONE	NONE	1.27272727273
ail	5	3	NONE	NONE	NONE	2.4
ain	185	60	d	NONE	NONE	1.3027027027
air	81	40	d	NONE	NONE	1.16049382716
airo	3	3	d	NONE	NONE	2.33333333333
airol	3	3	NONE	NONE	NONE	0
airy	5	4	d	NONE	NONE	3.2
ak	3	3	NONE	NONE	air	1.66666666667
aky	2	2	NONE	NONE	NONE	1
al	295	65	d	NONE	NONE	1.90169491525
ala	5	4	NONE	NONE	NONE	4
alch	6	6	d	NONE	NONE	2.16666666667
alche	6	4	d	NONE	NONE	1.66666666667
alchy	2	2	d	NONE	NONE	0.5
ald	9	7	d	NONE	aiin	3.44444444444
alg	2	2	NONE	NONE	NONE	4
alk	16	9	NONE	NONE	ar	2.125
alkee	2	2	ch	NONE	NONE	2
alky	2	2	sh	NONE	NONE	1
alo	5	5	NONE	NONE	NONE	2.4
alol	12	10	NONE	NONE	NONE	1.58333333333
alor	5	5	d	NONE	NONE	1.6
als	3	3	d	NONE	NONE	1.66666666667
alsh	4	3	d	NONE	NONE	3
alt	2	2	ch	NONE	ar	1.5
aly	23	16	d	NONE	NONE	2.73913043478
an	25	17	d	NONE	NONE	2.64
ar	354	70	NONE	NONE	NONE	1.58192090395
ara	8	8	d	NONE	NONE	2.625
arl	2	2	NONE	NONE	NONE	1.5
aro	6	6	NONE	NONE	NONE	2.33333333333
arol	4	4	NONE	NONE	NONE	1.25
aror	7	5	NONE	NONE	NONE	2.57142857143
ary	26	20	d	NONE	NONE	3.57692307692
cfhey	2	2	NONE	NONE	NONE	2.5
cfhhy	2	2	ch	NONE	NONE	3.5
