locus	physical_folio	register	length_bucket	paragraph_start	group_count	b3_close	opening_member	closing_member	internal_dy_count	any_internal_dy	two_plus_internal_dy	three_plus_internal_dy
f10r.2	f10	HA	10PLUS	0	10	0	B1	B1	0	0	0	0
f10r.5	f10	HA	4	0	4	0	D1	A2	0	0	0	0
f10r.6	f10	HA	9	1	9	0	A2	A2	0	0	0	0
f10r.8	f10	HA	8	0	8	0	D1	C1	0	0	0	0
f10r.9	f10	HA	7	0	7	0	A1	G1	0	0	0	0
f10v.1	f10	HA	9	1	9	0	P1	F1	1	1	0	0
f10v.2	f10	HA	9	0	9	0	B1	G1	0	0	0	0
f11r.1	f11	HA	8	1	8	0	Q2	A2	1	1	0	0
f11r.4	f11	HA	5	0	5	0	B1	G1	0	0	0	0
f11r.7	f11	HA	4	0	4	0	D1	A2	0	0	0	0
f11v.1	f11	HA	8	1	8	0	P1	A2	2	1	1	0
f13r.10	f13	HA	3	0	3	0	C2	A2	0	0	0	0
f13r.4	f13	HA	3	0	3	0	D1	C1	0	0	0	0
f13v.1	f13	HA	7	1	7	0	Q1	C2	0	0	0	0
f13v.2	f13	HA	6	0	6	0	A1	A2	0	0	0	0
f13v.3	f13	HA	5	0	5	0	D1	A2	0	0	0	0
f13v.5	f13	HA	2	0	2	0	D1	G1	0	0	0	0
f14r.13	f14	HA	5	0	5	0	C2	A2	0	0	0	0
f14r.3	f14	HA	5	0	5	0	A2	B2	0	0	0	0
f14r.6	f14	HA	5	0	5	0	A2	A2	0	0	0	0
f14r.7	f14	HA	3	0	3	0	A1	A2	0	0	0	0
f14v.1	f14	HA	8	1	8	0	P1	F1	0	0	0	0
f14v.5	f14	HA	8	0	8	0	A1	A2	0	0	0	0
f14v.8	f14	HA	7	0	7	1	K1	B3	1	1	0	0
f14v.9	f14	HA	3	0	3	0	B1	A2	0	0	0	0
f15r.1	f15	HA	7	1	7	0	Q2	G1	0	0	0	0
f15r.10	f15	HA	5	0	5	0	A2	C2	0	0	0	0
f15r.11	f15	HA	6	0	6	0	A1	C2	0	0	0	0
f15r.12	f15	HA	6	0	6	0	D1	E2	0	0	0	0
f15r.13	f15	HA	8	0	8	0	A2	A2	0	0	0	0
f15r.14	f15	HA	8	0	8	1	A1	B3	0	0	0	0
f15r.2	f15	HA	6	0	6	0	A1	A2	0	0	0	0
f15r.4	f15	HA	6	0	6	0	C2	B2	0	0	0	0
f15r.5	f15	HA	7	0	7	0	D1	A2	0	0	0	0
f15r.7	f15	HA	5	0	5	0	B1	A2	0	0	0	0
f15v.10	f15	HA	5	0	5	0	C2	G1	0	0	0	0
f15v.12	f15	HA	4	0	4	0	B1	C1	0	0	0	0
f15v.3	f15	HA	5	0	5	0	U2	G1	0	0	0	0
f15v.4	f15	HA	5	0	5	0	B1	B1	0	0	0	0
f15v.6	f15	HA	6	0	6	0	D1	G1	0	0	0	0
f15v.8	f15	HA	7	0	7	0	A2	G1	0	0	0	0
f16r.1	f16	HA	10PLUS	1	10	1	P1	B3	1	1	0	0
f16r.4	f16	HA	2	0	2	0	B1	B1	0	0	0	0
f16r.8	f16	HA	6	0	6	0	L1	G1	1	1	0	0
