unit	selected_provisional_function	rank	support	counterevidence	claim_class
LINE	TECHNICAL_ASSERTION_OR_RECORD	STRONG_ARCHITECTURAL	A line serializes one bounded description/update under a reset coordinate.	Could still be a synthetic production unit.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
PAGE_ROOT_INVENTORY	LOCAL_REFERENTS	STRONG_ARCHITECTURAL	Page coherence plus directional root assembly fits a local inventory of items/processes/conditions.	No root referent is known.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
q-	CURRENT_FRAME_OR_DEPENDENT_SCOPE	PROVISIONAL	Productive outer prepend; combines with DY/DAL/DAR; survives every nested training fold.	Held prediction does not beat string baselines; may be graphic onset class.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
t / d / s at entry	NEW_RECORD / TWO_CONTINUATION_MODES	PROVISIONAL	Confirmed paragraph-state association and line-entry position.	Editorial paragraph state and no lexical gloss.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
bound d-	SET_OR_ACTIVE_MODE	WEAK_PROVISIONAL	d/s minimal pairs and exact DAROL/DAROLSY fit an active rendering.	No repeated visual active/static contrast.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
bound s-	DESCRIBE_OR_STATE_MODE	WEAK_PROVISIONAL	Contrasts with d on shared hosts; SAROL appears as a plant-associated label.	Polarity could be reversed or purely orthographic.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
o- / ot-	ITEM_OR_LOCAL_FRAME	WEAK	o/ot participates inside q-scoped grids and labels.	o+TE versus OT+E segmentation is unresolved.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
che-	VALUE_OR_ASSIGNMENT_CARRIER	STRONG_FORMAL_PROVISIONAL_SEMANTICS	Exact che+VALUE productivity is confirmed and root-conditioned.	Not established as a copula, preposition, or word.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
AR	ASSOCIATION_OR_OPERATION_LINK	PROVISIONAL	Free/bound reuse, split/join with OL, and cross-object AROL contexts favor an abstract link.	Very frequent; segmentation nonunique; direct visual effects weak.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
OL	REFERENT_OR_ITEM_FIELD	PROVISIONAL	Most diverse host inventory; free/bound; appears after AR and che and across object ecologies.	Could be a formal terminal class with no referential semantics.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
AR+OL	ASSOCIATED_ITEM_OR_RELATION_TO_REFERENT	PROVISIONAL	Exact flow-adjacent DAROL plus plant AROL/SAROL and split/join AR|OL demand a cross-object function.	Opaque lexical AROL remains possible.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
AI / AII + N	REDUCED / EXPANDED GRADE	PROVISIONAL	AII+N precedes AI+N more often than reverse.	No number or intensity value identified.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
TE / TEE	COMPACT / EXPANDED INTERNAL GRADE	WEAK	TE/TEE minimal pairs nest inside identical q/o/DY frames.	Almost never free; substring parse may be accidental.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
DAL	RESULT_CONFIGURATION_A	PROVISIONAL	Free/bound, right-biased, forms DAL+DY, weak upper/inside hints.	Upper/lower p=.151 and inside/outside p=.301; no direction assigned.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
DAR	RESULT_CONFIGURATION_B_OR_DIRECTED_VARIANT	PROVISIONAL	Free/bound, strongly right-concentrated, contrasts with DAL/DY.	Often ambiguously d+AR; no source/destination proof.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
SY	SECONDARY_OR_EXCEPTION_STATUS	WEAK_PROVISIONAL	82.8% right-concentrated and exact occurrences are notably label/final-position heavy.	Sparse and no replicated visual state.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
DY	CLOSED_DEFAULT_OR_RESOLVED_STATE	STRONG_POSITION_PROVISIONAL_SEMANTICS	98% right concentration, 1,527 hosts, q compatibility, and DAL|DY split/join.	Could be a high-frequency formal ending without meaning; GDT003 null remains.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
SOURCE SPACE / JOIN	EXPAND_OR_CONTRACT_FIELDS	STRONG_ARCHITECTURAL	AR|OL, DAL|DY, OL|CHEDY and other split/join analogues.	Not proof of author-intended linguistic morphemes.	PROVISIONAL_FUNCTION_NOT_TRANSLATION
