null_id	test_id	null_type	parameters	statistic_primary	statistic_secondary	tail_member	notes
T1_CARD_3_4_7_8	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,8	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_10	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,10	3	16	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_12	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,12	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_16	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,16	3	11	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_19	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,19	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,27	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,28	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,29	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,30	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_7_36	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,7,36	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_10	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,10	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_12	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,12	3	12	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_16	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,16	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_19	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,19	3	7	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,27	2	6	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,28	3	7	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,29	3	7	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,30	2	6	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_8_36	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,8,36	2	6	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_12	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,12	3	19	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_16	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,16	3	16	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_19	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,19	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,27	2	13	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,28	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,29	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,30	2	13	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_10_36	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,10,36	2	13	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_16	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,16	3	14	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_19	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,19	3	12	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,27	2	11	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,28	3	12	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,29	3	12	1	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,30	2	11	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_12_36	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,12,36	2	11	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_19	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,19	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,27	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,28	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,29	3	9	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,30	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_16_36	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,16,36	2	8	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_19_27	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,19,27	2	6	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_19_28	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,19,28	3	7	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_19_29	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,19,29	3	7	0	Lexicographic score: distinct target sizes, then arrays hit
T1_CARD_3_4_19_30	KART001-T1	EXHAUSTIVE_FOUR_OF_THIRTEEN_MEDIEVAL_CARDINALITIES	3,4,19,30	2	6	0	Lexicographic score: distinct target sizes, then arrays hit
