locus	physical_folio	register	hand	group_index	group_count	token	wrapper	residual_host	base_host	inner_d	field_position	late_half	field_start	preclose_or_close	after_dy	before_dy	physical_line_end
f26r.10	f26	HB	2	1	5	shese	sh	ese	ese	0	FIELD_START	0	1	0	0	0	0
f26r.10	f26	HB	2	3	5	sheos	sh	eos	eos	0	PRECLOSE	1	0	1	0	1	0
f26r.10	f26	HB	2	4	5	cheody	che	o	o	0	FIELD_CLOSE	1	0	1	0	0	0
f26r.4	f26	HB	2	2	10	cheos	che	os	os	0	FIELD_START	0	1	0	1	1	0
f26r.4	f26	HB	2	6	10	chekedy	che	ke	ke	0	SINGLE	1	0	0	1	0	0
f26v.3	f26	HB	2	4	12	cheeol	che	eol	eol	0	PRECLOSE	0	0	1	0	1	0
f26v.7	f26	HB	2	3	10	cheoet	che	oet	oet	0	FIELD_INTERNAL	0	0	0	0	0	0
f26v.7	f26	HB	2	6	10	chees	che	es	es	0	FIELD_INTERNAL	1	0	0	0	0	0
f26v.7	f26	HB	2	8	10	chkeeey	ch	keeey	keeey	0	FIELD_INTERNAL	1	0	0	0	0	0
f26v.7	f26	HB	2	10	10	sheey	sh	eey	eey	0	OPEN_FIELD_END	1	0	0	0	0	1
f31r.10	f31	HB	2	2	8	shso	sh	so	so	0	PRECLOSE	0	0	1	0	1	0
f31r.10	f31	HB	2	8	8	shedshey	sh	edshey	edshey	0	OPEN_FIELD_END	1	0	0	0	0	1
f31r.12	f31	HB	2	4	6	sheey	sh	eey	eey	0	FIELD_START	1	1	0	1	0	0
f31r.12	f31	HB	2	5	6	chedaiin	che	daiin	aiin	1	FIELD_INTERNAL	1	0	0	0	0	0
f31r.8	f31	HB	2	1	7	shedy	sh	e	e	0	SINGLE	0	0	0	0	1	0
f31r.8	f31	HB	2	3	7	cheol	che	ol	ol	0	FIELD_START	0	1	0	1	0	0
f31r.8	f31	HB	2	4	7	cheod	che	od	od	0	PRECLOSE	1	0	1	0	1	0
f31r.8	f31	HB	2	6	7	cheol	che	ol	ol	0	FIELD_START	1	1	0	1	0	0
f31r.8	f31	HB	2	7	7	checthy	che	cthy	cthy	0	OPEN_FIELD_END	1	0	0	0	0	1
f31r.9	f31	HB	2	2	4	sheeo	sh	eeo	eeo	0	FIELD_INTERNAL	0	0	0	0	0	0
f31r.9	f31	HB	2	3	4	shcthey	sh	cthey	cthey	0	FIELD_INTERNAL	1	0	0	0	0	0
f33r.7	f33	HB	2	2	9	chos	ch	os	os	0	FIELD_INTERNAL	0	0	0	0	0	0
f33r.7	f33	HB	2	6	9	cheekaiin	che	ekaiin	ekaiin	0	FIELD_INTERNAL	1	0	0	0	0	0
f33v.2	f33	HB	2	10	10	cham	ch	am	am	0	OPEN_FIELD_END	1	0	0	0	0	1
f34r.1	f34	HB	2	6	9	shod	sh	od	od	0	FIELD_START	1	1	0	1	1	0
f34r.13	f34	HB	2	8	11	chor	ch	or	or	0	FIELD_START	1	1	0	1	0	0
f34r.15	f34	HB	2	2	8	chekar	che	kar	kar	0	FIELD_INTERNAL	0	0	0	0	0	0
f34r.15	f34	HB	2	3	8	cheky	che	ky	ky	0	FIELD_INTERNAL	0	0	0	0	0	0
f34r.15	f34	HB	2	4	8	shek	sh	ek	ek	0	PRECLOSE	0	0	1	0	1	0
f34r.15	f34	HB	2	5	8	cholchedy	ch	olche	olche	0	FIELD_CLOSE	1	0	1	0	1	0
f34r.15	f34	HB	2	8	8	cheolchcthy	che	olchcthy	olchcthy	0	OPEN_FIELD_END	1	0	0	0	0	1
f34r.3	f34	HB	2	2	11	chyty	ch	yty	yty	0	FIELD_START	0	1	0	1	0	0
f34r.3	f34	HB	2	3	11	chdaly	ch	daly	aly	1	FIELD_INTERNAL	0	0	0	0	0	0
f34r.3	f34	HB	2	5	11	chd	ch	d	d	0	PRECLOSE	0	0	1	0	1	0
f34r.4	f34	HB	2	6	10	chckhy	ch	ckhy	ckhy	0	PRECLOSE	1	0	1	0	1	0
f34r.4	f34	HB	2	10	10	checthy	che	cthy	cthy	0	OPEN_FIELD_END	1	0	0	0	0	1
f34v.2	f34	HB	2	5	11	chckhdy	ch	ckh	ckh	0	FIELD_CLOSE	0	0	1	0	0	0
f34v.2	f34	HB	2	6	11	chdaiin	ch	daiin	aiin	1	FIELD_START	1	1	0	1	0	0
f34v.4	f34	HB	2	2	10	chekal	che	kal	kal	0	PRECLOSE	0	0	1	0	1	0
f34v.4	f34	HB	2	3	10	shedy	sh	e	e	0	FIELD_CLOSE	0	0	1	0	0	0
f34v.4	f34	HB	2	5	10	chdaiin	ch	daiin	aiin	1	FIELD_INTERNAL	0	0	0	0	0	0
f34v.9	f34	HB	2	10	11	shs	sh	s	s	0	FIELD_INTERNAL	1	0	0	0	0	0
f39r.14	f39	HB	2	2	11	shckhy	sh	ckhy	ckhy	0	FIELD_INTERNAL	0	0	0	0	0	0
f39r.14	f39	HB	2	3	11	chekl	che	kl	kl	0	FIELD_INTERNAL	0	0	0	0	0	0
f39r.14	f39	HB	2	10	11	chdam	ch	dam	am	1	FIELD_INTERNAL	1	0	0	0	0	0
f39r.16	f39	HB	2	2	5	cholkal	ch	olkal	olkal	0	FIELD_INTERNAL	0	0	0	0	0	0
f39r.9	f39	HB	2	2	5	shol	sh	ol	ol	0	FIELD_START	0	1	0	1	0	0
f39r.9	f39	HB	2	5	5	shdaiin	sh	daiin	aiin	1	OPEN_FIELD_END	1	0	0	0	0	1
f39v.10	f39	HB	2	10	11	sheedy	sh	ee	ee	0	FIELD_CLOSE	1	0	1	0	0	0
