system	scope_type	scope_value	occurrence_bin	total_groups	total_next_events	eligible_hosts	eligible_next_events	event_coverage	physical_folios	held_gain_bits	held_bits_per_event	mean_partner_set_overlap	mean_null_overlap	mean_overlap_excess	mean_pairwise_jsd_bits	mean_null_jsd_bits	mean_jsd_excess	mean_pooled_target_entropy_bits	mean_within_folio_entropy_bits	powered	source	held_placement	overlap_placement	jsd_placement
FACTORIAL_B	GLOBAL	ALL	N2_4	15214	12805	1454	3313	0.25872705974228816	176	16118.627050017634	4.865266239063578	0.5221228794131132	0.5181763310981201	0.003946548314993122	0.08573463107706475	0.08723400768903374	-0.001499376611968992	0.5846390525724932	0.023786081499808223	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
HUMAN_GROWN_B2	GLOBAL	ALL	N2_4	15214	12805	1479	3393	0.2649746192893401	176	16717.386866589364	4.927022359737508	0.4783637592968222	0.4746956523270227	0.003668106969799414	0.09317377334162448	0.09458609670539782	-0.001412323363773337	0.640244302986591	0.025159416554709307	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
LEXICAL_A	GLOBAL	ALL	N2_4	15214	12805	1563	3666	0.2862944162436548	176	18085.685813069216	4.9333567411536325	0.46171891661335035	0.45789514022179567	0.0038237763915547024	0.09461345653369767	0.09600241289578175	-0.0013889563620840897	0.6847892435579079	0.027273879026532024	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
VOYNICH	GLOBAL	ALL	N2_4	8448	7305	207	557	0.07624914442162901	91	-112.25219568969054	-0.20152997430824154	0.0249597423510467	0.027350040257648953	-0.002390297906602254	0.1639474333165371	0.16295302164249054	0.0009944116740465748	1.3261802135850216	0.028985507246376812	1	VOYNICH_APPLICATION	BELOW_CONTROL_RANGE	BELOW_CONTROL_RANGE	ABOVE_CONTROL_RANGE
FACTORIAL_B	GLOBAL	ALL	N5_15	15214	12805	69	443	0.03459586099180008	176	1086.3224958733915	2.4521952502785362	0.1252976894281242	0.12043363741733307	0.004864052010791141	0.10264912065476908	0.10490420416410122	-0.0022550835093321417	2.135218293193072	0.14169162681681496	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
HUMAN_GROWN_B2	GLOBAL	ALL	N5_15	15214	12805	137	941	0.07348691917219836	176	2823.912511843216	3.000969725656978	0.10120121160267145	0.09437651036362259	0.006824701239048867	0.10270297080544225	0.10491896805247589	-0.0022159972470336365	2.272859683793692	0.19360782987719416	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
LEXICAL_A	GLOBAL	ALL	N5_15	15214	12805	274	2066	0.16134322530261616	176	4622.492385274544	2.2374116095230128	0.06769281070375961	0.06441278772123177	0.0032800229825278296	0.09652340758319661	0.09742861422449128	-0.0009052066412946763	2.507016455349517	0.17868519346150205	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
VOYNICH	GLOBAL	ALL	N5_15	8448	7305	117	950	0.1300479123887748	91	-472.99165223336036	-0.4978859497193267	0.0248315628657509	0.025751726565862516	-0.0009201637001116166	0.08876633254893516	0.08877694108430977	-1.0608535374594879e-05	2.7870332849629977	0.15776210093458376	1	VOYNICH_APPLICATION	BELOW_CONTROL_RANGE	BELOW_CONTROL_RANGE	ABOVE_CONTROL_RANGE
FACTORIAL_B	GLOBAL	ALL	N16_63	15214	12805	8	316	0.024677860210855135	176	130.50571630539233	0.41299277311833016	0.026611213292613182	0.02805365117811199	-0.001442437885498805	0.03360832379438902	0.033101587860642843	0.0005067359337461797	4.510726988174435	0.25312707522032557	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
HUMAN_GROWN_B2	GLOBAL	ALL	N16_63	15214	12805	28	971	0.07582975400234283	176	413.19193693665875	0.42553237583589987	0.026574451348393237	0.027070446610383516	-0.0004959952619902785	0.037362186249177295	0.036749761912036896	0.00061242433714039	4.4970141604873595	0.2736069222227878	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
LEXICAL_A	GLOBAL	ALL	N16_63	15214	12805	44	1199	0.09363529871144084	176	686.886381000067	0.5728827197665279	0.018446840268732497	0.019469203873638437	-0.0010223636049059412	0.04433942861830428	0.043828011759196706	0.0005114168591075803	4.292714146165869	0.32267009350948944	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
VOYNICH	GLOBAL	ALL	N16_63	8448	7305	42	1222	0.1672826830937714	91	-911.7570568874141	-0.746118704490519	0.029688105089370174	0.030935186590904835	-0.0012470815015346623	0.04602789962860084	0.04589241302473715	0.00013548660386369539	4.176752269892355	0.4123355110198434	1	VOYNICH_APPLICATION	BELOW_CONTROL_RANGE	INSIDE_CONTROL_RANGE	BELOW_CONTROL_RANGE
FACTORIAL_B	GLOBAL	ALL	N64_PLUS	15214	12805	15	3925	0.30652089027723545	176	-3840.1212246895752	-0.9783748343158154	0.02107562328132703	0.021745163917403144	-0.000669540636076113	0.013748638964767782	0.013581772667212826	0.00016686629755495688	6.302586187862789	0.8161477292218631	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
HUMAN_GROWN_B2	GLOBAL	ALL	N64_PLUS	15214	12805	13	2638	0.2060132760640375	176	-2635.7916783182886	-0.9991628803329373	0.00976600123358462	0.01010494162491458	-0.00033894039132995946	0.013238806514584263	0.01306448840850799	0.00017431810607627154	6.55827175406669	0.7430399573978684	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
LEXICAL_A	GLOBAL	ALL	N64_PLUS	15214	12805	10	1011	0.0789535337758688	176	99.83929827269284	0.09875301510652111	0.007392596680639183	0.0086728587577817	-0.0012802620771425169	0.016183305627859974	0.01600819041561189	0.00017511521224808265	6.061772961740933	0.4990153892901553	1	FROZEN_CONTROL	CALIBRATION	CALIBRATION	CALIBRATION
VOYNICH	GLOBAL	ALL	N64_PLUS	8448	7305	22	3923	0.5370294318959616	91	-3438.4912404835663	-0.8764953455221938	0.03306026314854204	0.03840408784280361	-0.0053438246942615775	0.029316879494074313	0.028529851182160035	0.0007870283119142777	5.532552501848181	1.1688310701424547	1	VOYNICH_APPLICATION	INSIDE_CONTROL_RANGE	BELOW_CONTROL_RANGE	ABOVE_CONTROL_RANGE
