page	physical_folio	feature	feature_class	source_field	matched_rule	source_field_sha256	source_url	raw_human_description	provenance	claim_state
f26r	f26	BLUE_FLOWERS_OR_BUDS	VISIBLE_PLANT_FEATURE	illustrations	RULE: blue and flower/bud	a8a28075bbd6d1445b092677036ffeefba883fe0ac2b05a1487e4529058e6819	https://www.voynich.nu/q04/index.html#f26r	A plant with plain roots and blue flowers on two stalks. || Herbal drawing characterisation (Gheuens/Rapaport): (none)	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f26r	f26	MULTIPLE_STEMS_OR_STALKS	VISIBLE_PLANT_FEATURE	illustrations	REGEX: numbered/several stems or stalks	a8a28075bbd6d1445b092677036ffeefba883fe0ac2b05a1487e4529058e6819	https://www.voynich.nu/q04/index.html#f26r	A plant with plain roots and blue flowers on two stalks. || Herbal drawing characterisation (Gheuens/Rapaport): (none)	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f26v	f26	BROAD_CALYX	VISIBLE_PLANT_FEATURE	illustrations	EXACT: beta broad-many-fingered-calyx tag	0ec05b316e39bec7d2ee3687bf3b7093b0a36df8e5cb24758da9d84572d25604	https://www.voynich.nu/q04/index.html#f26v	A plant with lots of symmetrically arranged small leaves and many small blue flowers. || Herbal drawing characterisation (Gheuens/Rapaport): ! β: broad many-fingered calyx	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f26v	f26	FLOWER_HEAD_ARCHITECTURE	POSTHOC_COMPOSITE_VISIBLE_FEATURE	illustrations	UNION: DAISY_CUP or BROAD_CALYX	0ec05b316e39bec7d2ee3687bf3b7093b0a36df8e5cb24758da9d84572d25604	https://www.voynich.nu/q04/index.html#f26v	A plant with lots of symmetrically arranged small leaves and many small blue flowers. || Herbal drawing characterisation (Gheuens/Rapaport): ! β: broad many-fingered calyx	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f26v	f26	BLUE_FLOWERS_OR_BUDS	VISIBLE_PLANT_FEATURE	illustrations	RULE: blue and flower/bud	0ec05b316e39bec7d2ee3687bf3b7093b0a36df8e5cb24758da9d84572d25604	https://www.voynich.nu/q04/index.html#f26v	A plant with lots of symmetrically arranged small leaves and many small blue flowers. || Herbal drawing characterisation (Gheuens/Rapaport): ! β: broad many-fingered calyx	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f26v	f26	TEXT_ABOVE_PLANT	PAGE_LAYOUT_RELATION	text_description	REGEX: above plant/drawing	d04b80a327f4161133b67c44d0f92373225ffc6c8a455cb6f39511c5aa417c33	https://www.voynich.nu/q04/index.html#f26v	This page has 9 text items (loci), as follows: 9 lines of standard text in paragraphs. || The text is in a single paragraph, written above the plant. || Currier language: B RZ language: B (page) / B (folio) / B (bifolio) LFD hand: 2 || Browse interlinear transliteration of f26v	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f31r	f31	DAISY_CUP	VISIBLE_PLANT_FEATURE	illustrations	EXACT: beta daisy-in-a-cup tag	d42876e93e322da0483ae5068f236a9f8e59dc2fa46039d38e1204872d0ebfd4	https://www.voynich.nu/q04/index.html#f31r	Plant drawing. A long twisted brown root, all leaves to the left and unpainted flowers to the right and to the top. The leaves have been painted green very inaccurately. || Herbal drawing characterisation (Gheuens/Rapaport): β: 'daisy in a cup' β: broad many-fingered calyx β: all leaves point to one side	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f31r	f31	BROAD_CALYX	VISIBLE_PLANT_FEATURE	illustrations	EXACT: beta broad-many-fingered-calyx tag	d42876e93e322da0483ae5068f236a9f8e59dc2fa46039d38e1204872d0ebfd4	https://www.voynich.nu/q04/index.html#f31r	Plant drawing. A long twisted brown root, all leaves to the left and unpainted flowers to the right and to the top. The leaves have been painted green very inaccurately. || Herbal drawing characterisation (Gheuens/Rapaport): β: 'daisy in a cup' β: broad many-fingered calyx β: all leaves point to one side	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f31r	f31	FLOWER_HEAD_ARCHITECTURE	POSTHOC_COMPOSITE_VISIBLE_FEATURE	illustrations	UNION: DAISY_CUP or BROAD_CALYX	d42876e93e322da0483ae5068f236a9f8e59dc2fa46039d38e1204872d0ebfd4	https://www.voynich.nu/q04/index.html#f31r	Plant drawing. A long twisted brown root, all leaves to the left and unpainted flowers to the right and to the top. The leaves have been painted green very inaccurately. || Herbal drawing characterisation (Gheuens/Rapaport): β: 'daisy in a cup' β: broad many-fingered calyx β: all leaves point to one side	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
f31r	f31	LEAVES_ONE_SIDE	VISIBLE_PLANT_FEATURE	illustrations	EXACT: beta all-leaves-one-side tag	d42876e93e322da0483ae5068f236a9f8e59dc2fa46039d38e1204872d0ebfd4	https://www.voynich.nu/q04/index.html#f31r	Plant drawing. A long twisted brown root, all leaves to the left and unpainted flowers to the right and to the top. The leaves have been painted green very inaccurately. || Herbal drawing characterisation (Gheuens/Rapaport): β: 'daisy in a cup' β: broad many-fingered calyx β: all leaves point to one side	EXISTING_HUMAN_ANNOTATION	VISIBLE_OR_LAYOUT_FEATURE_NOT_INTERPRETATION
