evidence_type	page	physical_folio	tokens	human_feature	source_url	note	claim_state
HOST_WITHOUT_FEATURE	f33v	f33	chckhy	0	https://www.voynich.nu/q05/index.html#f33v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f34r	f34	chckhy	1	https://www.voynich.nu/q05/index.html#f34r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f34v	f34	checkhy|ckhy	1	https://www.voynich.nu/q05/index.html#f34v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f39r	f39	checkhy|shckhy	1	https://www.voynich.nu/q05/index.html#f39r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
FEATURE_WITHOUT_HOST	f39v	f39		1	https://www.voynich.nu/q05/index.html#f39v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
FEATURE_WITHOUT_HOST	f40r	f40		1	https://www.voynich.nu/q05/index.html#f40r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f40v	f40	chckhy	1	https://www.voynich.nu/q05/index.html#f40v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
FEATURE_WITHOUT_HOST	f43v	f43		1	https://www.voynich.nu/q06/index.html#f43v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f46r	f46	chckhy	1	https://www.voynich.nu/q06/index.html#f46r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_WITHOUT_FEATURE	f46v	f46	chckhy	0	https://www.voynich.nu/q06/index.html#f46v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f48r	f48	ckhy	1	https://www.voynich.nu/q06/index.html#f48r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_WITHOUT_FEATURE	f50r	f50	chckhy	0	https://www.voynich.nu/q07/index.html#f50r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_WITHOUT_FEATURE	f50v	f50	chckhy|checkhy|shckhy	0	https://www.voynich.nu/q07/index.html#f50v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f55r	f55	chckhy|ckhy	1	https://www.voynich.nu/q07/index.html#f55r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
FEATURE_WITHOUT_HOST	f94r	f94		1	https://www.voynich.nu/q17/index.html#f94r	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_WITHOUT_FEATURE	f94v	f94	chckhy	0	https://www.voynich.nu/q17/index.html#f94v	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HOST_AND_FEATURE	f95r2	f95	chckhy	1	https://www.voynich.nu/q17/index.html#f95r2	Existing human beta tag; page-level association only.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
CROSS_CURRIER_A_CAPACITY_COUNTEREXAMPLE	f52r	f52		1	https://www.voynich.nu/q07/index.html#f52r	Only Currier-A Herbal page with the same human tag; CKHY absent. One page is insufficient transfer capacity.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
HERBAL_B_EXACT_LABEL_CAPACITY	NONE	NONE		0		Four exact-local Herbal-B plant rows exist, but none is a label or authorially owned inscription; CKHY has zero exact label rows in the non-f84 atlas.	SUPPORT_OR_COUNTEREXAMPLE_NOT_TRANSLATION
