regime	wrapper_class	occurrences	class_binary_bits	base_minus_class_binary_bits_per_event
HELD_HAND_PUBLISHED	NONE	3400	72479.204038070849	0.002335861122
HELD_HAND_PUBLISHED	q	1462	72463.728063015937	0.004167771048
HELD_HAND_PUBLISHED	ch	848	72510.505052887063	-0.001369277942
HELD_HAND_PUBLISHED	d	833	72500.240579802892	-0.000154259822
HELD_HAND_PUBLISHED	sh	791	72421.855183074964	0.009124314602
HELD_HAND_PUBLISHED	che	630	72503.646841020935	-0.000557463091
HELD_HAND_PUBLISHED	t	252	72510.053317498736	-0.001315805477
HELD_HAND_PUBLISHED	s	232	72504.013939054974	-0.000600916930
HELD_SECTION_PUBLISHED	NONE	3400	71953.378031864602	0.010076595188
HELD_SECTION_PUBLISHED	q	1462	71972.432433640657	0.007821102553
HELD_SECTION_PUBLISHED	ch	848	72056.607041278519	-0.002142747782
HELD_SECTION_PUBLISHED	d	833	72018.159937775737	0.002408282462
HELD_SECTION_PUBLISHED	sh	791	71876.358426293416	0.019193499256
HELD_SECTION_PUBLISHED	che	630	72041.131118292629	-0.000310844020
HELD_SECTION_PUBLISHED	t	252	72060.887530751395	-0.002649434510
HELD_SECTION_PUBLISHED	s	232	72064.244493632606	-0.003046802275
LOFO_SAFE_HELD_FOLIO	NONE	3400	65499.198226934306	0.091259718213
LOFO_SAFE_HELD_FOLIO	q	1462	65930.332024997799	0.040225887950
LOFO_SAFE_HELD_FOLIO	ch	848	66358.599244037861	-0.010468621880
LOFO_SAFE_HELD_FOLIO	d	833	65819.481254826111	0.053347427980
LOFO_SAFE_HELD_FOLIO	sh	791	65714.003335133151	0.065832977186
LOFO_SAFE_HELD_FOLIO	che	630	66276.556011230394	-0.000757064966
LOFO_SAFE_HELD_FOLIO	t	252	66248.222573214371	0.002596798436
LOFO_SAFE_HELD_FOLIO	s	232	66314.894802042472	-0.005295274106
PUBLISHED_HELD_FOLIO	NONE	3400	64671.031862565091	0.066768489625
PUBLISHED_HELD_FOLIO	q	1462	64999.780776206979	0.027854082234
PUBLISHED_HELD_FOLIO	ch	848	65468.535619070499	-0.027632996703
PUBLISHED_HELD_FOLIO	d	833	64866.943319356644	0.043578213017
PUBLISHED_HELD_FOLIO	sh	791	64780.906919762121	0.053762445923
PUBLISHED_HELD_FOLIO	che	630	65318.584588631755	-0.009883111472
PUBLISHED_HELD_FOLIO	t	252	65250.663632866388	-0.001843225609
PUBLISHED_HELD_FOLIO	s	232	65316.334780810583	-0.009616798993
