operation	pairs	hosts	capacity
b3:0>1	1	1	UNSCORED
dy_closure:0>1	9	5	POWERED
inner_d:0>1	4	2	UNSCORED
local_frame:NONE>O	5	2	UNSCORED
local_frame:NONE>OT	5	3	UNSCORED
right_family:NONE>aiin	4	4	POWERED
right_family:NONE>ain	2	2	UNSCORED
right_family:NONE>al	1	1	UNSCORED
right_family:aiin>ain	12	8	POWERED
right_family:aiin>al	6	3	UNSCORED
right_family:aiin>ar	10	7	POWERED
right_family:ain>al	5	3	UNSCORED
right_family:ain>ar	8	6	POWERED
right_family:al>ar	6	3	UNSCORED
wrapper:NONE>ch	23	19	POWERED
wrapper:NONE>che	10	9	POWERED
wrapper:NONE>d	11	10	POWERED
wrapper:NONE>q	38	31	POWERED
wrapper:NONE>s	8	8	POWERED
wrapper:NONE>sh	10	9	POWERED
wrapper:NONE>t	4	4	POWERED
wrapper:ch>che	12	10	POWERED
wrapper:ch>d	10	9	POWERED
wrapper:ch>q	11	10	POWERED
wrapper:ch>s	7	7	POWERED
wrapper:ch>sh	12	10	POWERED
wrapper:ch>t	4	4	POWERED
wrapper:che>d	5	5	POWERED
wrapper:che>q	3	3	UNSCORED
wrapper:che>s	5	5	POWERED
wrapper:che>sh	12	10	POWERED
wrapper:che>t	4	4	POWERED
wrapper:d>q	2	2	UNSCORED
wrapper:d>s	8	8	POWERED
wrapper:d>sh	5	5	POWERED
wrapper:d>t	8	8	POWERED
wrapper:q>s	2	2	UNSCORED
wrapper:q>sh	4	4	POWERED
wrapper:q>t	2	2	UNSCORED
wrapper:s>sh	5	5	POWERED
wrapper:s>t	4	4	POWERED
wrapper:sh>t	7	7	POWERED
