candidate_id	evidence_priority_rank	evidence_panel	source_page	target_page	relation_class	component	assertion_strength	cross_source_corroborated	local_query_locus	candidate_pool_pages	host_exact_similarity	host_exact_rank	host_exact_tail	host_exact_z	host_char2_similarity	host_char2_rank	host_char2_tail	host_char2_z	host_char3_similarity	host_char3_rank	host_char3_tail	host_char3_z	raw_char3_similarity	raw_char3_rank	raw_char3_tail	raw_char3_z	host_length_similarity	host_length_rank	host_length_tail	host_length_z
GDT151_HP004	1	HERBAL_TO_PHARMA	f18v	f102r2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	f102r2.21	15	0.126984127	2	0.133333333	1.066603031	0.310344828	6	0.400000000	0.400648931	0.170854271	5	0.333333333	0.362960534	0.178030303	7	0.466666667	0.363120343	0.651162791	4	0.266666667	0.878561836
GDT151_HP005	2	HERBAL_TO_PHARMA	f19r	f102v1	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	f102v1.17	15	0.040000000	14	0.933333333	-1.507930789	0.232472325	12	0.800000000	-0.409549076	0.089361702	13	0.866666667	-1.055848053	0.136094675	12	0.800000000	-0.665041555	0.500000000	8	0.533333333	0.033374910
GDT151_HP007	3	HERBAL_TO_PHARMA	f23r	f102r2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	f102r2.22	15	0.159090909	3	0.200000000	1.159692541	0.341317365	1	0.066666667	1.276526547	0.193103448	3	0.200000000	0.951021902	0.195876289	3	0.200000000	0.929551659	0.593750000	1	0.133333333	1.323775244
GDT151_HP017	4	HERBAL_TO_PHARMA	f37v	f102r1	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	f102r1.2	15	0.117117117	8	0.600000000	0.027490260	0.275555556	7	0.466666667	0.389092780	0.168831169	5	0.333333333	0.398922645	0.254269450	3	0.200000000	1.112216239	0.653333333	2	0.133333333	1.030547031
GDT151_HP021	5	HERBAL_TO_PHARMA	f48v	f89v2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	f89v2.6	15	0.119565217	5	0.333333333	0.584026125	0.229299363	12	0.800000000	-0.712876221	0.159836066	13	0.866666667	-0.600390289	0.146919431	12	0.800000000	-0.582844795	0.256097561	11	0.733333333	-0.592484964
GDT151_HP006	6	HERBAL_TO_PHARMA	f1v	f102r1	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	NONE	15	0.082352941	12	0.800000000	-0.779177689	0.202453988	12	0.800000000	-0.559038271	0.098901099	14	0.933333333	-0.774589111	0.167070218	11	0.733333333	-0.366464317	0.352941176	11	0.733333333	-0.164506798
GDT151_HP011	7	HERBAL_TO_PHARMA	f32v	f102r2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	NONE	15	0.215686275	2	0.133333333	1.661417731	0.454545455	1	0.066666667	1.457491084	0.302013423	2	0.133333333	1.366953783	0.213043478	5	0.333333333	0.309781996	0.550000000	3	0.200000000	0.916357417
GDT151_HP019	8	HERBAL_TO_PHARMA	f47v	f102r2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	NONE	15	0.150684932	7	0.466666667	0.319868065	0.376470588	5	0.333333333	0.386126941	0.202702703	8	0.533333333	0.057206676	0.218461538	9	0.600000000	-0.169625531	0.500000000	8	0.533333333	0.068263374
GDT151_HP020	9	HERBAL_TO_PHARMA	f48r	f89v2	SAME_PLANT_FRAGMENT_ASSERTION	WHOLE_PLANT_OR_FRAGMENT	ASSERTED_SAME	1	NONE	15	0.044117647	13	0.866666667	-1.232382488	0.243137255	13	0.866666667	-0.803189445	0.118181818	13	0.866666667	-1.075741446	0.220779221	12	0.800000000	-0.313029485	0.420000000	12	0.800000000	-0.422862336
MHI001	10	INTERNAL_HERBAL	f39r	f95r2	SAME_PLANT_ASSERTION	WHOLE_PLANT	STRONG	1	NONE	6	0.292682927	1	0.166666667	1.465556245	0.542372881	1	0.166666667	1.772065876	0.343750000	1	0.166666667	1.836934208	0.437673130	1	0.166666667	1.215694759	0.630769231	2	0.333333333	0.386300617
GDT151_HP001	11	HERBAL_TO_PHARMA	f10v	f89v2	PLANT_FRAGMENT_SIMILARITY	WHOLE_PLANT_OR_FRAGMENT	SIMILARITY_ONLY	0	NONE	15	0.166666667	3	0.200000000	0.716373910	0.339080460	4	0.266666667	0.416257421	0.212328767	4	0.333333333	0.233514376	0.204444444	9	0.600000000	-0.050281862	0.600000000	1	0.133333333	1.086540243
GDT151_HP002	12	HERBAL_TO_PHARMA	f13v	f100v	PLANT_FRAGMENT_SIMILARITY	WHOLE_PLANT_OR_FRAGMENT	SIMILARITY_ONLY	0	NONE	15	0.083333333	7	0.466666667	-0.071833642	0.275700935	8	0.533333333	0.065920427	0.130434783	11	0.733333333	-0.380195270	0.146428571	11	0.733333333	-0.372348904	0.585365854	5	0.333333333	0.614197239
GDT151_HP003	13	HERBAL_TO_PHARMA	f17v	f99r	PLANT_FRAGMENT_SIMILARITY	WHOLE_PLANT_OR_FRAGMENT	SIMILARITY_ONLY	0	NONE	15	0.201257862	3	0.200000000	0.954778015	0.507798960	4	0.266666667	0.951612890	0.363453815	4	0.266666667	1.094677407	0.422727273	1	0.066666667	1.313526185	0.632478632	3	0.200000000	0.987153460
