host	register	wrapper	frame	right_family	supported_pairs	mean_context_similarity	mean_matched_control_similarity	gain_vs_control
a	HERBAL_A	d	NONE	NONE	6	0.153248977278	0.119179241994	0.0340697352843
a	HERBAL_A	sh	NONE	NONE	1	0.207792207792	0.0958904109589	0.111901796833
a	OTHER_B	d	NONE	NONE	2	0.285714285714	0.261827128585	0.0238871571294
aii	STARS_RECIPE_B	d	NONE	NONE	1	0.251612903226	0.285714285714	-0.0341013824885
ckho	STARS_RECIPE_B	ch	NONE	NONE	1	0.238219895288	0.266318537859	-0.028098642571
ctho	HERBAL_A	NONE	NONE	NONE	30	0.166474729061	0.15314204717	0.0133326818912
lo	OTHER_B	NONE	NONE	NONE	9	0.344184884456	0.267041844893	0.0771430395627
o	HERBAL_A	ch	NONE	NONE	50	0.125993961951	0.147575932918	-0.0215819709664
o	HERBAL_A	d	NONE	NONE	12	0.144547435728	0.146253327197	-0.00170589146853
o	HERBAL_A	sh	NONE	NONE	41	0.110810298261	0.150066212035	-0.0392559137739
o	STARS_RECIPE_B	NONE	NONE	NONE	8	0.315511594356	0.268216597158	0.0472949971976
o	STARS_RECIPE_B	che	NONE	NONE	18	0.295585311239	0.288130645933	0.00745466530643
okeeo	STARS_RECIPE_B	NONE	NONE	NONE	5	0.261294981698	0.251036986628	0.0102579950702
okeo	HERBAL_A	q	NONE	NONE	2	0.159226190476	0.157741082018	0.00148510845813
oko	HERBAL_A	NONE	NONE	NONE	2	0.124633431085	0.120297734173	0.00433569691253
oko	HERBAL_A	q	NONE	NONE	2	0.162777777778	0.17199017199	-0.00921239421239
olo	HERBAL_A	NONE	NONE	NONE	1	0.178217821782	0.153086872246	0.0251309495361
oro	HERBAL_A	NONE	NONE	NONE	1	0.0952380952381	0.19259029501	-0.0973521997716
y	OTHER_B	d	NONE	NONE	16	0.298364360987	0.262573931634	0.0357904293534
ycho	HERBAL_A	NONE	NONE	NONE	2	0.143233082707	0.188563235579	-0.0453301528723
