representation	held_folio	gain_bits	positive
SIZE2	f75	-0.212740239993	0
SIZE2	f76	-0.170726222933	0
SIZE2	f77	-5.970647790706	0
SIZE2	f78	2.267781682075	1
SIZE2	f79	-1.532005846650	0
SIZE2	f80	0.602741903391	1
SIZE2	f81	-4.128304980046	0
SIZE2	f82	-0.000099926118	0
SIZE2	f83	1.854022295293	1
SIZE4	f75	-3.867812085528	0
SIZE4	f76	-10.354036128669	0
SIZE4	f77	-12.773839286669	0
SIZE4	f78	-0.132143174932	0
SIZE4	f79	-6.075364949232	0
SIZE4	f80	0.419024017921	1
SIZE4	f81	-4.853888283347	0
SIZE4	f82	4.923696724383	1
SIZE4	f83	-9.276323824280	0
END2	f75	-0.291392382622	0
END2	f76	-1.091569677077	0
END2	f77	-0.308102569771	0
END2	f78	-5.531962992236	0
END2	f79	0.436487782782	1
END2	f80	-0.165631190622	0
END2	f81	0.549482265026	1
END2	f82	1.017441326547	1
END2	f83	-1.804665194422	0
JOINT4	f75	-3.155644267141	0
JOINT4	f76	-4.428781757311	0
JOINT4	f77	-5.053070400120	0
JOINT4	f78	4.804092191587	1
JOINT4	f79	-7.016408485458	0
JOINT4	f80	2.987662647054	1
JOINT4	f81	-7.341734684312	0
JOINT4	f82	7.316454468221	1
JOINT4	f83	1.971887701764	1
